entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-03-12 04:00:00,2024-03-12 04:00:00,direct_entry,2024-03-27 16:00:00,expiry,175,185,3.4825,0.7851,2.6974,0.0000,0.0000,2.6974
2024-05-07 10:00:00,2024-05-07 10:00:00,direct_entry,2024-05-22 16:00:00,expiry,185,195,3.3793,0.7978,2.5816,5.5000,0.0000,-2.9184
2024-05-10 06:00:00,2024-05-10 06:00:00,direct_entry,2024-05-29 16:00:00,expiry,190,200,2.9563,0.7966,2.1597,0.0000,0.0000,2.1597
2024-05-13 15:00:00,2024-05-13 15:00:00,direct_entry,2024-05-29 16:00:00,expiry,190,200,3.0623,0.7418,2.3205,0.0000,0.0000,2.3205
2024-06-17 09:00:00,2024-06-17 09:00:00,direct_entry,2024-07-03 16:00:00,expiry,215,230,4.7140,0.7883,3.9257,6.0800,0.0000,-2.1543
2024-07-05 19:00:00,2024-07-05 19:00:00,direct_entry,2024-07-24 16:00:00,expiry,230,245,4.6084,0.9459,3.6625,0.0000,0.0000,3.6625
2024-08-12 06:00:00,2024-08-12 06:00:00,direct_entry,2024-08-28 16:00:00,expiry,220,235,4.0867,0.6610,3.4257,5.7000,0.0000,-2.2743
2024-08-12 12:00:00,2024-08-12 12:00:00,direct_entry,2024-08-28 16:00:00,expiry,220,235,4.1921,0.6781,3.5140,5.7000,0.0000,-2.1860
2024-08-15 15:00:00,2024-08-15 15:00:00,direct_entry,2024-09-04 16:00:00,expiry,230,245,4.0542,0.8216,3.2326,0.0000,0.0000,3.2326
2024-08-20 10:00:00,2024-08-20 10:00:00,direct_entry,2024-09-04 16:00:00,expiry,230,245,3.7523,0.5857,3.1666,0.0000,0.0000,3.1666
2024-08-20 14:00:00,2024-08-20 14:00:00,direct_entry,2024-09-04 16:00:00,expiry,230,245,3.9572,0.6287,3.3285,0.0000,0.0000,3.3285
2024-10-01 04:00:00,2024-10-01 04:00:00,direct_entry,2024-10-16 16:00:00,expiry,235,250,4.8493,0.9056,3.9437,0.0000,0.0000,3.9437
2024-12-03 18:00:00,2024-12-03 18:00:00,direct_entry,2024-12-18 16:00:00,expiry,245,260,4.8421,0.9320,3.9101,1.9500,0.0000,1.9601
2024-12-04 05:00:00,2024-12-04 05:00:00,direct_entry,2024-12-18 16:00:00,expiry,245,260,5.0066,0.9569,4.0497,1.9500,0.0000,2.0997
2025-01-24 09:00:00,2025-01-24 09:00:00,direct_entry,2025-02-12 16:00:00,expiry,230,245,3.8596,0.7434,3.1162,6.9100,0.0000,-3.7938
2025-03-18 10:00:00,2025-03-18 10:00:00,direct_entry,2025-04-02 16:00:00,expiry,215,230,4.6152,0.7202,3.8950,0.0000,0.0000,3.8950
2025-04-28 09:00:00,2025-04-28 09:00:00,direct_entry,2025-05-14 16:00:00,expiry,215,225,2.9798,0.8332,2.1466,0.0000,0.0000,2.1466
2025-05-01 16:00:00,2025-05-01 16:00:00,direct_entry,2025-05-21 16:00:00,expiry,210,225,4.7741,0.9158,3.8584,0.0000,0.0000,3.8584
2025-05-29 08:00:00,2025-05-29 08:00:00,direct_entry,2025-06-18 16:00:00,expiry,205,225,5.2278,0.5238,4.7041,0.0000,0.0000,4.7041
2025-09-22 06:00:00,2025-09-22 06:00:00,direct_entry,2025-10-08 16:00:00,expiry,250,265,4.6611,0.9737,3.6874,8.0500,0.0000,-4.3626
2025-10-02 15:00:00,2025-10-02 15:00:00,direct_entry,2025-10-22 16:00:00,expiry,260,280,5.9129,0.9770,4.9359,0.0000,0.0000,4.9359
2025-10-27 10:00:00,2025-10-27 10:00:00,direct_entry,2025-11-12 16:00:00,expiry,270,285,4.6716,1.0738,3.5977,3.4700,0.0000,0.1277
2025-10-30 08:00:00,2025-10-30 08:00:00,direct_entry,2025-11-19 16:00:00,expiry,275,295,5.8837,1.0705,4.8132,0.0000,0.0000,4.8132
2026-03-25 09:00:00,2026-03-25 09:00:00,direct_entry,2026-03-27 19:00:00,force_close,255,270,4.5354,0.8668,3.6686,0.0000,0.0000,3.6686
