entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-22 08:00:00,2024-01-22 08:00:00,direct_entry,2024-01-31 16:00:00,expiry,195,205,2.4909,0.3756,2.1154,0.0000,0.0000,2.1154
2024-02-01 16:30:00,2024-02-01 16:30:00,direct_entry,2024-02-14 16:00:00,expiry,185,195,3.5198,0.7583,2.7615,0.0000,0.0000,2.7615
2024-02-05 09:30:00,2024-02-05 09:30:00,direct_entry,2024-02-14 16:00:00,expiry,190,195,1.8974,0.7365,1.1610,0.0000,0.0000,1.1610
2024-02-07 08:45:00,2024-02-07 08:45:00,direct_entry,2024-02-14 16:00:00,expiry,190,200,3.2506,0.4349,2.8157,0.0000,0.0000,2.8157
2024-03-14 11:15:00,2024-03-14 11:15:00,direct_entry,2024-03-27 16:00:00,expiry,175,185,3.1646,0.6067,2.5579,0.0000,0.0000,2.5579
2024-04-24 12:30:00,2024-04-24 12:30:00,direct_entry,2024-05-01 16:00:00,expiry,170,175,2.0361,0.6506,1.3855,0.0000,0.0000,1.3855
2024-05-13 13:15:00,2024-05-13 13:15:00,direct_entry,2024-05-22 16:00:00,expiry,190,200,2.0917,0.2682,1.8235,1.0500,0.0000,0.7735
2024-05-14 15:45:00,2024-05-14 15:45:00,direct_entry,2024-05-22 16:00:00,expiry,190,200,2.1516,0.2450,1.9065,1.0500,0.0000,0.8565
2024-05-15 13:15:00,2024-05-15 13:15:00,direct_entry,2024-05-22 16:00:00,expiry,190,200,3.3354,0.4428,2.8926,1.0500,0.0000,1.8426
2024-05-21 15:15:00,2024-05-21 15:15:00,direct_entry,2024-05-29 16:00:00,expiry,195,205,2.2988,0.2872,2.0117,0.0000,0.0000,2.0117
2024-06-04 09:30:00,2024-06-04 09:30:00,direct_entry,2024-06-12 16:00:00,expiry,195,205,2.7150,0.3837,2.3313,17.8800,7.8800,-7.6687
2024-07-10 07:45:00,2024-07-10 07:45:00,direct_entry,2024-07-17 16:00:00,expiry,230,240,3.7116,0.7343,2.9773,0.0000,0.0000,2.9773
2024-07-30 09:15:00,2024-07-30 09:15:00,direct_entry,2024-08-07 16:00:00,expiry,220,230,3.5259,0.6971,2.8288,0.0000,0.0000,2.8288
2024-08-01 07:45:00,2024-08-01 07:45:00,direct_entry,2024-08-14 16:00:00,expiry,225,240,4.7550,0.7234,4.0317,0.0000,0.0000,4.0317
2024-08-13 11:45:00,2024-08-13 11:45:00,direct_entry,2024-08-21 16:00:00,expiry,225,235,2.2956,0.3767,1.9188,1.4800,0.0000,0.4388
2024-08-15 09:30:00,2024-08-15 09:30:00,direct_entry,2024-08-28 16:00:00,expiry,225,240,4.1577,0.5813,3.5765,0.8800,0.0000,2.6965
2024-10-04 09:30:00,2024-10-04 09:30:00,direct_entry,2024-10-16 16:00:00,expiry,230,240,3.1964,0.8354,2.3610,1.6400,0.0000,0.7210
2024-11-14 13:45:00,2024-11-14 13:45:00,direct_entry,2024-11-27 16:00:00,expiry,230,245,4.2486,0.6175,3.6311,5.3300,0.0000,-1.6989
2024-11-18 13:00:00,2024-11-18 13:00:00,direct_entry,2024-11-27 16:00:00,expiry,230,245,3.9858,0.3816,3.6042,5.3300,0.0000,-1.7258
2024-11-26 08:00:00,2024-11-26 08:00:00,direct_entry,2024-12-04 16:00:00,expiry,235,245,3.2649,0.6848,2.5801,7.8500,0.0000,-5.2699
2024-12-04 11:00:00,2024-12-04 11:00:00,direct_entry,2024-12-11 16:00:00,expiry,245,255,3.2808,0.6577,2.6231,1.4500,0.0000,1.1731
2024-12-05 09:30:00,2024-12-05 09:30:00,direct_entry,2024-12-18 16:00:00,expiry,245,260,4.6638,0.8019,3.8619,1.8000,0.0000,2.0619
2025-01-06 11:30:00,2025-01-06 11:30:00,direct_entry,2025-01-15 16:00:00,expiry,250,260,2.9784,0.6972,2.2812,0.0000,0.0000,2.2812
2025-01-16 04:00:00,2025-01-16 04:00:00,direct_entry,2025-01-29 16:00:00,expiry,245,260,3.3731,0.4975,2.8757,0.0000,0.0000,2.8757
2025-01-23 10:45:00,2025-01-23 10:45:00,direct_entry,2025-02-05 16:00:00,expiry,230,240,3.1300,0.8489,2.2811,2.2600,0.0000,0.0211
2025-01-28 12:00:00,2025-01-28 12:00:00,direct_entry,2025-02-05 16:00:00,expiry,240,255,3.9251,0.3585,3.5666,0.0000,0.0000,3.5666
2025-02-12 13:15:00,2025-02-12 13:15:00,direct_entry,2025-02-19 16:00:00,expiry,240,250,2.0533,0.3156,1.7377,4.6000,0.0000,-2.8623
2025-02-13 09:45:00,2025-02-13 09:45:00,direct_entry,2025-02-26 16:00:00,expiry,240,255,3.7430,0.5527,3.1903,0.0000,0.0000,3.1903
