entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-22 05:00:00,2024-01-22 05:00:00,direct_entry,2024-02-02 16:00:00,expiry,180,200,4.9519,0.7756,4.1764,0.0000,0.0000,4.1764
2024-02-15 04:00:00,2024-02-15 04:00:00,direct_entry,2024-02-23 16:00:00,expiry,180,200,5.2426,0.6337,4.6089,0.0000,0.0000,4.6089
2024-03-06 14:00:00,2024-03-06 14:00:00,direct_entry,2024-03-15 16:00:00,expiry,215,235,5.0769,0.8722,4.2047,0.0000,0.0000,4.2047
2024-03-08 11:00:00,2024-03-08 11:00:00,direct_entry,2024-03-15 16:00:00,expiry,215,230,4.6352,1.0909,3.5443,0.0000,0.0000,3.5443
2024-04-01 10:00:00,2024-04-01 10:00:00,direct_entry,2024-04-12 16:00:00,expiry,185,205,5.8650,1.0303,4.8348,0.0000,0.0000,4.8348
2024-04-04 09:00:00,2024-04-04 09:00:00,direct_entry,2024-04-12 16:00:00,expiry,185,200,3.7450,0.7285,3.0165,0.0000,0.0000,3.0165
2024-04-24 10:00:00,2024-04-24 10:00:00,direct_entry,2024-05-03 16:00:00,expiry,155,170,4.3187,0.7549,3.5639,0.0000,0.0000,3.5639
2024-05-20 13:00:00,2024-05-20 13:00:00,direct_entry,2024-05-31 16:00:00,expiry,170,190,4.9453,0.6829,4.2624,0.0000,0.0000,4.2624
2024-08-22 09:00:00,2024-08-22 09:00:00,direct_entry,2024-08-30 16:00:00,expiry,160,175,4.4699,0.7618,3.7081,0.0000,0.0000,3.7081
2024-08-26 07:00:00,2024-08-26 07:00:00,direct_entry,2024-09-06 16:00:00,expiry,160,175,3.6896,0.7412,2.9484,0.0000,0.0000,2.9484
2024-09-03 04:00:00,2024-09-03 04:00:00,direct_entry,2024-09-13 16:00:00,expiry,150,165,4.2203,0.7707,3.4496,2.2700,0.0000,1.1796
2024-09-12 06:00:00,2024-09-12 06:00:00,direct_entry,2024-09-20 16:00:00,expiry,155,165,3.0898,0.8767,2.2131,0.6700,0.0000,1.5431
2024-09-17 09:00:00,2024-09-17 09:00:00,direct_entry,2024-09-27 16:00:00,expiry,155,170,4.1572,0.7782,3.3790,9.3100,0.0000,-5.9310
2024-10-01 09:00:00,2024-10-01 09:00:00,direct_entry,2024-10-11 16:00:00,expiry,165,185,4.8617,0.5811,4.2806,2.6300,0.0000,1.6506
2024-10-09 09:00:00,2024-10-09 09:00:00,direct_entry,2024-10-18 16:00:00,expiry,175,190,4.1765,0.8597,3.3168,0.0000,0.0000,3.3168
2024-10-28 09:00:00,2024-10-28 09:00:00,direct_entry,2024-11-08 16:00:00,expiry,160,180,5.2689,0.6876,4.5813,0.0000,0.0000,4.5813
2024-10-29 16:00:00,2024-10-29 16:00:00,direct_entry,2024-11-08 16:00:00,expiry,155,175,5.1495,0.5472,4.6023,0.0000,0.0000,4.6023
2024-11-26 09:00:00,2024-11-26 09:00:00,direct_entry,2024-12-06 16:00:00,expiry,140,155,4.5431,0.7633,3.7798,0.0000,0.0000,3.7798
2025-01-17 19:00:00,2025-01-17 19:00:00,direct_entry,2025-01-24 16:00:00,expiry,125,135,2.2510,0.3649,1.8861,0.0000,0.0000,1.8861
2025-01-21 14:00:00,2025-01-21 14:00:00,direct_entry,2025-01-31 16:00:00,expiry,125,140,3.6238,0.4304,3.1934,0.0000,0.0000,3.1934
2025-01-22 12:00:00,2025-01-22 12:00:00,direct_entry,2025-01-31 16:00:00,expiry,125,140,3.8046,0.4203,3.3843,0.0000,0.0000,3.3843
2025-01-24 09:00:00,2025-01-24 09:00:00,direct_entry,2025-01-31 16:00:00,expiry,125,135,3.2081,0.6466,2.5616,0.0000,0.0000,2.5616
2025-01-31 09:00:00,2025-01-31 09:00:00,direct_entry,2025-02-07 16:00:00,expiry,120,130,2.9268,0.5316,2.3952,0.0000,0.0000,2.3952
2025-02-04 16:00:00,2025-02-04 16:00:00,direct_entry,2025-02-14 16:00:00,expiry,115,130,3.7212,0.3770,3.3441,0.0000,0.0000,3.3441
2025-02-19 08:00:00,2025-02-19 08:00:00,direct_entry,2025-02-28 16:00:00,expiry,120,130,2.1066,0.4025,1.7041,0.0000,0.0000,1.7041
2025-05-16 10:00:00,2025-05-16 10:00:00,direct_entry,2025-05-23 16:00:00,expiry,120,130,2.2749,0.3633,1.9116,0.0000,0.0000,1.9116
2025-06-25 05:00:00,2025-06-25 05:00:00,direct_entry,2025-07-07 04:00:00,expiry,145,155,2.7901,0.7617,2.0284,0.0000,0.0000,2.0284
2025-06-25 13:00:00,2025-06-25 13:00:00,direct_entry,2025-07-07 04:00:00,expiry,145,160,3.8787,0.5678,3.3109,0.0000,0.0000,3.3109
2025-06-26 08:00:00,2025-06-26 08:00:00,direct_entry,2025-07-07 04:00:00,expiry,150,165,3.5634,0.4841,3.0793,0.0000,0.0000,3.0793
2025-07-10 14:00:00,2025-07-10 14:00:00,direct_entry,2025-07-18 16:00:00,expiry,145,160,4.0464,0.5400,3.5063,11.8400,0.0000,-8.3337
2025-10-29 10:00:00,2025-10-29 10:00:00,direct_entry,2025-11-07 16:00:00,expiry,270,295,6.2144,1.0811,5.1333,0.0000,0.0000,5.1333
