entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-08 10:25:00,2024-01-08 10:25:00,direct_entry,2024-01-17 16:00:00,expiry,145,155,4.5580,1.4589,3.0991,15.1100,5.1100,-6.9009
2024-01-22 04:20:00,2024-01-22 04:20:00,direct_entry,2024-01-31 16:00:00,expiry,180,190,4.7705,1.8775,2.8930,0.0000,0.0000,2.8930
2024-01-24 05:00:00,2024-01-24 05:00:00,direct_entry,2024-01-31 16:00:00,expiry,175,185,4.3779,1.4760,2.9019,0.0000,0.0000,2.9019
2024-02-02 14:20:00,2024-02-02 14:20:00,direct_entry,2024-02-14 16:00:00,expiry,185,195,4.5464,1.9761,2.5704,0.0000,0.0000,2.5704
2024-02-14 16:05:00,2024-02-14 16:05:00,direct_entry,2024-02-21 16:00:00,expiry,180,190,4.6215,1.5782,3.0433,0.0000,0.0000,3.0433
2024-02-22 14:30:00,2024-02-22 14:30:00,direct_entry,2024-03-06 16:00:00,expiry,190,200,4.9149,2.2732,2.6417,20.4900,10.4900,-7.3583
2024-02-29 12:45:00,2024-02-29 12:45:00,direct_entry,2024-03-13 16:00:00,expiry,195,205,5.3219,2.5477,2.7742,0.0000,0.0000,2.7742
2024-03-01 08:00:00,2024-03-01 08:00:00,direct_entry,2024-03-13 16:00:00,expiry,200,215,6.1545,2.0315,4.1230,0.0000,0.0000,4.1230
2024-03-04 10:45:00,2024-03-04 10:45:00,direct_entry,2024-03-13 16:00:00,expiry,215,225,4.9248,2.1883,2.7364,0.0000,0.0000,2.7364
2024-03-21 09:30:00,2024-03-21 09:30:00,direct_entry,2024-04-03 16:00:00,expiry,190,200,4.9901,2.3277,2.6623,0.0000,0.0000,2.6623
2024-03-25 14:20:00,2024-03-25 14:20:00,direct_entry,2024-04-03 16:00:00,expiry,185,195,4.3192,1.6577,2.6616,0.0000,0.0000,2.6616
2024-04-01 14:10:00,2024-04-01 14:10:00,direct_entry,2024-04-10 16:00:00,expiry,190,200,3.9231,1.4987,2.4245,0.0000,0.0000,2.4245
2024-04-16 11:30:00,2024-04-16 11:30:00,direct_entry,2024-04-24 16:00:00,expiry,165,175,4.9260,1.7153,3.2106,0.0000,0.0000,3.2106
