entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-12 09:00:00,2024-01-12 09:00:00,direct_entry,2024-01-19 16:00:00,expiry,110,115,3.3640,1.2659,2.0981,11.2200,6.2200,-2.9019
2024-02-06 06:00:00,2024-02-06 06:00:00,direct_entry,2024-02-16 16:00:00,expiry,130,135,2.2255,0.9082,1.3173,0.0000,0.0000,1.3173
2024-02-06 09:00:00,2024-02-06 09:00:00,direct_entry,2024-02-16 16:00:00,expiry,125,130,3.6351,1.6729,1.9622,0.0000,0.0000,1.9622
2024-02-15 09:00:00,2024-02-15 09:00:00,direct_entry,2024-02-23 16:00:00,expiry,125,135,3.7512,0.6464,3.1048,4.6400,0.0000,-1.5352
2024-03-07 16:00:00,2024-03-07 16:00:00,direct_entry,2024-03-15 16:00:00,expiry,140,145,2.5104,1.0208,1.4896,0.0000,0.0000,1.4896
2024-06-10 13:00:00,2024-06-10 13:00:00,direct_entry,2024-06-21 16:00:00,expiry,145,155,3.9340,1.0034,2.9306,21.2200,11.2200,-7.0694
2024-06-12 09:00:00,2024-06-12 09:00:00,direct_entry,2024-06-21 16:00:00,expiry,150,160,3.8226,0.8994,2.9232,16.2200,6.2200,-7.0768
2024-06-13 08:00:00,2024-06-13 08:00:00,direct_entry,2024-06-21 16:00:00,expiry,175,180,2.9064,1.3943,1.5121,0.0000,0.0000,1.5121
2024-06-14 17:00:00,2024-06-14 17:00:00,direct_entry,2024-06-21 16:00:00,expiry,175,185,4.4163,1.1157,3.3007,0.0000,0.0000,3.3007
2024-06-17 10:00:00,2024-06-17 10:00:00,direct_entry,2024-06-28 16:00:00,expiry,185,190,3.9850,2.2294,1.7556,0.0000,0.0000,1.7556
2024-06-17 15:00:00,2024-06-17 15:00:00,direct_entry,2024-06-28 16:00:00,expiry,185,195,5.4490,1.9522,3.4968,0.0000,0.0000,3.4968
2024-06-17 19:00:00,2024-06-17 19:00:00,direct_entry,2024-06-28 16:00:00,expiry,190,200,4.0837,1.3313,2.7523,0.0000,0.0000,2.7523
2024-06-18 07:00:00,2024-06-18 07:00:00,direct_entry,2024-06-28 16:00:00,expiry,190,200,5.0175,1.7333,3.2842,0.0000,0.0000,3.2842
2024-07-10 15:00:00,2024-07-10 15:00:00,direct_entry,2024-07-19 16:00:00,expiry,180,185,3.2081,1.6243,1.5838,0.0000,0.0000,1.5838
2024-07-23 17:00:00,2024-07-23 17:00:00,direct_entry,2024-08-02 16:00:00,expiry,165,175,4.6610,1.3711,3.2900,0.0000,0.0000,3.2900
2024-12-04 09:00:00,2024-12-04 09:00:00,direct_entry,2024-12-13 16:00:00,expiry,175,180,3.7504,1.9605,1.7899,49.8400,44.8400,-3.2101
2024-12-13 17:00:00,2024-12-13 17:00:00,direct_entry,2024-12-20 16:00:00,expiry,230,235,3.9910,2.2060,1.7851,0.0000,0.0000,1.7851
2024-12-16 10:00:00,2024-12-16 10:00:00,direct_entry,2024-12-27 16:00:00,expiry,245,255,5.3563,2.2827,3.0736,0.0000,0.0000,3.0736
2024-12-16 17:00:00,2024-12-16 17:00:00,direct_entry,2024-12-27 16:00:00,expiry,255,270,6.5107,1.9925,4.5183,0.0000,0.0000,4.5183
2025-01-21 09:00:00,2025-01-21 09:00:00,direct_entry,2025-01-31 16:00:00,expiry,245,255,5.8845,2.5131,3.3714,0.0000,0.0000,3.3714
2025-01-22 09:00:00,2025-01-22 09:00:00,direct_entry,2025-01-31 16:00:00,expiry,250,260,5.0841,2.0346,3.0495,0.0000,0.0000,3.0495
2025-02-13 04:00:00,2025-02-13 04:00:00,direct_entry,2025-02-21 16:00:00,expiry,240,250,5.1037,1.9352,3.1685,0.0000,0.0000,3.1685
2025-05-07 13:00:00,2025-05-07 13:00:00,direct_entry,2025-05-16 16:00:00,expiry,205,215,4.7768,1.6279,3.1489,21.7000,11.7000,-6.8511
2025-06-04 11:00:00,2025-06-04 11:00:00,direct_entry,2025-06-13 16:00:00,expiry,265,275,5.7536,2.4655,3.2881,0.0000,0.0000,3.2881
2025-07-30 14:00:00,2025-07-30 14:00:00,direct_entry,2025-08-08 16:00:00,expiry,305,320,7.3218,2.4960,4.8258,0.3000,0.0000,4.5258
2025-07-30 17:00:00,2025-07-30 17:00:00,direct_entry,2025-08-08 16:00:00,expiry,305,320,7.5734,2.6011,4.9723,0.3000,0.0000,4.6723
2025-07-31 09:00:00,2025-07-31 09:00:00,direct_entry,2025-08-08 16:00:00,expiry,310,320,6.1680,2.8386,3.3294,0.0000,0.0000,3.3294
2025-08-05 05:00:00,2025-08-05 05:00:00,direct_entry,2025-08-15 16:00:00,expiry,305,320,7.1949,2.5738,4.6211,1.2000,0.0000,3.4211
2025-08-05 08:00:00,2025-08-05 08:00:00,direct_entry,2025-08-15 16:00:00,expiry,305,320,7.3883,2.6561,4.7322,1.2000,0.0000,3.5322
2025-08-06 17:00:00,2025-08-06 17:00:00,direct_entry,2025-08-15 16:00:00,expiry,305,320,7.1341,2.3946,4.7395,1.2000,0.0000,3.5395
2025-08-07 10:00:00,2025-08-07 10:00:00,direct_entry,2025-08-15 16:00:00,expiry,310,325,6.7152,2.1545,4.5607,0.0000,0.0000,4.5607
2025-08-13 09:00:00,2025-08-13 09:00:00,direct_entry,2025-08-22 16:00:00,expiry,320,335,7.0383,2.4707,4.5677,0.0000,0.0000,4.5677
2025-10-10 10:00:00,2025-10-10 10:00:00,direct_entry,2025-10-17 16:00:00,expiry,350,365,7.2881,2.5117,4.7764,0.2500,0.0000,4.5264
2025-10-16 08:00:00,2025-10-16 08:00:00,direct_entry,2025-10-24 16:00:00,expiry,365,380,7.1363,2.6482,4.4881,0.0000,0.0000,4.4881
2025-10-16 11:00:00,2025-10-16 11:00:00,direct_entry,2025-10-24 16:00:00,expiry,360,375,8.6034,3.3554,5.2481,0.0000,0.0000,5.2481
