entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-11 10:30:00,2024-01-11 10:30:00,direct_entry,2024-01-19 16:00:00,expiry,110,115,2.3901,0.8240,1.5661,11.0800,6.0800,-3.4339
2024-01-12 08:30:00,2024-01-12 08:30:00,direct_entry,2024-01-19 16:00:00,expiry,115,115,1.4520,1.3104,0.1416,6.0800,6.0800,0.1416
2024-02-06 09:30:00,2024-02-06 09:30:00,direct_entry,2024-02-16 16:00:00,expiry,125,130,3.6308,1.6695,1.9613,0.0000,0.0000,1.9613
2024-02-15 08:00:00,2024-02-15 08:00:00,direct_entry,2024-02-23 16:00:00,expiry,130,135,2.6184,1.0457,1.5727,0.0000,0.0000,1.5727
2024-03-22 14:00:00,2024-03-22 14:00:00,direct_entry,2024-04-01 04:00:00,expiry,140,145,2.3094,0.8793,1.4301,0.0000,0.0000,1.4301
2024-04-25 14:00:00,2024-04-25 14:00:00,direct_entry,2024-05-03 16:00:00,expiry,130,135,3.5719,1.5628,2.0091,0.0000,0.0000,2.0091
2024-04-26 13:30:00,2024-04-26 13:30:00,direct_entry,2024-05-03 16:00:00,expiry,135,140,3.3067,1.3868,1.9200,0.0000,0.0000,1.9200
2024-06-10 13:00:00,2024-06-10 13:00:00,direct_entry,2024-06-21 16:00:00,expiry,145,150,3.7137,1.8693,1.8445,21.0200,16.0200,-3.1555
2024-06-12 08:00:00,2024-06-12 08:00:00,direct_entry,2024-06-21 16:00:00,expiry,150,160,4.0414,0.9803,3.0611,16.0200,6.0200,-6.9389
2024-06-14 15:30:00,2024-06-14 15:30:00,direct_entry,2024-06-21 16:00:00,expiry,175,185,4.1110,1.0068,3.1042,0.0000,0.0000,3.1042
2024-06-17 08:00:00,2024-06-17 08:00:00,direct_entry,2024-06-28 16:00:00,expiry,185,190,3.8854,2.1647,1.7207,0.0000,0.0000,1.7207
2024-07-03 14:30:00,2024-07-03 14:30:00,direct_entry,2024-07-12 16:00:00,expiry,175,185,4.5117,1.3173,3.1943,0.0000,0.0000,3.1943
2024-07-10 15:30:00,2024-07-10 15:30:00,direct_entry,2024-07-19 16:00:00,expiry,180,185,3.2021,1.6198,1.5824,0.0000,0.0000,1.5824
2024-07-22 16:00:00,2024-07-22 16:00:00,direct_entry,2024-08-02 16:00:00,expiry,165,170,3.6395,1.9113,1.7282,0.0000,0.0000,1.7282
2024-07-23 15:30:00,2024-07-23 15:30:00,direct_entry,2024-08-02 16:00:00,expiry,165,175,4.8658,1.4632,3.4026,0.0000,0.0000,3.4026
2024-08-07 09:30:00,2024-08-07 09:30:00,direct_entry,2024-08-16 16:00:00,expiry,150,155,3.0109,1.3943,1.6167,15.7200,10.7200,-3.3833
2024-08-14 12:00:00,2024-08-14 12:00:00,direct_entry,2024-08-23 16:00:00,expiry,160,170,3.9484,1.0023,2.9461,6.3800,0.0000,-3.4339
2024-08-15 14:30:00,2024-08-15 14:30:00,direct_entry,2024-08-23 16:00:00,expiry,170,175,3.1669,1.5211,1.6458,0.0000,0.0000,1.6458
2024-09-10 15:30:00,2024-09-10 15:30:00,direct_entry,2024-09-20 16:00:00,expiry,150,160,4.0741,1.0325,3.0416,20.6600,10.6600,-6.9584
2024-09-12 15:00:00,2024-09-12 15:00:00,direct_entry,2024-09-20 16:00:00,expiry,170,175,3.1879,1.5329,1.6550,0.6600,0.0000,0.9950
2024-09-13 17:30:00,2024-09-13 17:30:00,direct_entry,2024-09-20 16:00:00,expiry,170,175,3.4486,1.6351,1.8135,0.6600,0.0000,1.1535
2024-09-17 09:30:00,2024-09-17 09:30:00,direct_entry,2024-09-27 16:00:00,expiry,165,175,4.3788,1.2717,3.1071,7.5100,0.0000,-4.4029
2024-09-26 08:00:00,2024-09-26 08:00:00,direct_entry,2024-10-04 16:00:00,expiry,180,190,4.8375,1.4355,3.4020,0.0000,0.0000,3.4020
2024-11-12 09:30:00,2024-11-12 09:30:00,direct_entry,2024-11-22 16:00:00,expiry,180,190,4.9662,1.6341,3.3321,0.0000,0.0000,3.3321
2024-12-16 14:30:00,2024-12-16 14:30:00,direct_entry,2024-12-27 16:00:00,expiry,255,265,5.8000,2.5709,3.2291,0.0000,0.0000,3.2291
2025-01-17 09:30:00,2025-01-17 09:30:00,direct_entry,2025-01-24 16:00:00,expiry,235,245,5.6336,2.0648,3.5689,9.8000,0.0000,-6.2311
2025-02-07 09:30:00,2025-02-07 09:30:00,direct_entry,2025-02-14 16:00:00,expiry,235,245,4.6703,1.5962,3.0742,0.0000,0.0000,3.0742
2025-04-08 10:30:00,2025-04-08 10:30:00,direct_entry,2025-04-21 04:00:00,expiry,170,175,3.5386,1.8398,1.6988,0.0000,0.0000,1.6988
2025-04-11 10:00:00,2025-04-11 10:00:00,direct_entry,2025-04-21 04:00:00,expiry,175,185,4.3704,1.1230,3.2474,0.0000,0.0000,3.2474
2025-04-15 12:30:00,2025-04-15 12:30:00,direct_entry,2025-04-25 16:00:00,expiry,185,190,3.5385,1.8940,1.6446,7.4900,2.4900,-3.3554
2025-04-22 13:00:00,2025-04-22 13:00:00,direct_entry,2025-05-02 16:00:00,expiry,170,180,4.5035,1.3497,3.1538,33.6400,23.6400,-6.8462
2025-04-23 04:30:00,2025-04-23 04:30:00,direct_entry,2025-05-02 16:00:00,expiry,180,185,3.1949,1.6321,1.5628,23.6400,18.6400,-3.4372
2025-04-24 15:00:00,2025-04-24 15:00:00,direct_entry,2025-05-02 16:00:00,expiry,190,200,4.2773,1.2400,3.0372,13.6400,3.6400,-6.9628
2025-05-02 08:00:00,2025-05-02 08:00:00,direct_entry,2025-05-09 16:00:00,expiry,205,210,3.5379,1.8461,1.6918,3.0100,0.0000,-1.3182
2025-06-25 10:00:00,2025-06-25 10:00:00,direct_entry,2025-07-07 04:00:00,expiry,270,285,7.0643,2.1732,4.8911,3.0400,0.0000,1.8511
2025-07-30 11:00:00,2025-07-30 11:00:00,direct_entry,2025-08-08 16:00:00,expiry,305,320,6.7391,2.2386,4.5005,0.4000,0.0000,4.1005
