entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-05 08:00:00,2024-01-05 08:00:00,direct_entry,2024-02-07 16:00:00,expiry,52,46,1.7360,0.2841,1.4519,0.0000,0.0000,1.4519
2024-02-13 14:55:00,2024-02-13 14:55:00,direct_entry,2024-03-13 16:00:00,expiry,51,45,1.6946,0.2351,1.4595,0.0000,0.0000,1.4595
2024-03-14 14:40:00,2024-03-14 14:40:00,direct_entry,2024-04-17 16:00:00,expiry,55,49,1.8142,0.3394,1.4749,0.0000,0.0000,1.4749
2024-04-02 13:55:00,2024-04-02 13:55:00,direct_entry,2024-05-01 16:00:00,expiry,61,54,1.9131,0.2741,1.6390,0.0000,0.0000,1.6390
2024-04-03 15:40:00,2024-04-03 15:40:00,direct_entry,2024-05-01 16:00:00,expiry,60,53,1.9293,0.2599,1.6694,0.0000,0.0000,1.6694
2024-04-09 14:05:00,2024-04-09 14:05:00,direct_entry,2024-05-08 16:00:00,expiry,60,53,2.1029,0.3072,1.7957,0.0000,0.0000,1.7957
2024-04-10 13:15:00,2024-04-10 13:15:00,direct_entry,2024-05-08 16:00:00,expiry,59,52,2.0485,0.2769,1.7716,0.0000,0.0000,1.7716
2024-04-10 15:05:00,2024-04-10 15:05:00,direct_entry,2024-05-08 16:00:00,expiry,58,52,1.6949,0.2901,1.4048,0.0000,0.0000,1.4048
2024-04-15 14:30:00,2024-04-15 14:30:00,direct_entry,2024-05-15 16:00:00,expiry,57,50,1.9359,0.2508,1.6851,0.0000,0.0000,1.6851
2024-04-16 14:05:00,2024-04-16 14:05:00,direct_entry,2024-05-15 16:00:00,expiry,56,49,1.9713,0.2410,1.7303,0.0000,0.0000,1.7303
2024-04-16 15:55:00,2024-04-16 15:55:00,direct_entry,2024-05-15 16:00:00,expiry,55,49,1.6294,0.2556,1.3738,0.0000,0.0000,1.3738
2024-04-30 09:35:00,2024-04-30 09:35:00,direct_entry,2024-05-29 16:00:00,expiry,60,53,1.8353,0.2503,1.5851,0.0000,0.0000,1.5851
2024-04-30 15:45:00,2024-04-30 15:45:00,direct_entry,2024-05-29 16:00:00,expiry,60,53,1.9808,0.2794,1.7015,0.0000,0.0000,1.7015
2024-05-01 12:45:00,2024-05-01 12:45:00,direct_entry,2024-05-29 16:00:00,expiry,59,53,1.7618,0.3171,1.4447,0.0000,0.0000,1.4447
2024-05-08 08:00:00,2024-05-08 08:00:00,direct_entry,2024-06-05 16:00:00,expiry,60,54,1.8124,0.3416,1.4708,0.0000,0.0000,1.4708
2024-05-20 09:30:00,2024-05-20 09:30:00,direct_entry,2024-06-20 05:00:00,expiry,62,55,1.9439,0.2998,1.6442,1.0600,0.0000,0.5842
2024-05-23 13:25:00,2024-05-23 13:25:00,direct_entry,2024-06-26 16:00:00,expiry,61,54,2.0324,0.3426,1.6898,0.0000,0.0000,1.6898
2024-05-23 14:30:00,2024-05-23 14:30:00,direct_entry,2024-06-26 16:00:00,expiry,61,53,2.2247,0.2827,1.9420,0.0000,0.0000,1.9420
2024-05-29 09:50:00,2024-05-29 09:50:00,direct_entry,2024-06-26 16:00:00,expiry,60,53,1.9854,0.2739,1.7114,0.0000,0.0000,1.7114
2024-06-11 12:20:00,2024-06-11 12:20:00,direct_entry,2024-07-10 16:00:00,expiry,58,51,2.0500,0.2767,1.7734,0.0000,0.0000,1.7734
2024-07-18 12:25:00,2024-07-18 12:25:00,direct_entry,2024-08-21 16:00:00,expiry,64,56,2.4076,0.3534,2.0542,3.5000,0.0000,-1.4458
2024-07-18 15:45:00,2024-07-18 15:45:00,direct_entry,2024-08-21 16:00:00,expiry,63,55,2.1783,0.2921,1.8862,2.5000,0.0000,-0.6138
2024-07-19 09:25:00,2024-07-19 09:25:00,direct_entry,2024-08-21 16:00:00,expiry,63,55,2.1617,0.2830,1.8787,2.5000,0.0000,-0.6213
2024-07-24 15:55:00,2024-07-24 15:55:00,direct_entry,2024-08-21 16:00:00,expiry,62,55,2.0100,0.2954,1.7146,1.5000,0.0000,0.2146
2024-07-25 09:45:00,2024-07-25 09:45:00,direct_entry,2024-08-28 16:00:00,expiry,62,54,2.2608,0.3016,1.9592,0.3300,0.0000,1.6292
2024-08-01 15:05:00,2024-08-01 15:05:00,direct_entry,2024-09-04 16:00:00,expiry,60,53,2.0048,0.3253,1.6794,0.0000,0.0000,1.6794
2024-10-01 13:30:00,2024-10-01 13:30:00,direct_entry,2024-10-30 16:00:00,expiry,59,53,1.7268,0.3158,1.4110,0.0000,0.0000,1.4110
2024-10-15 15:50:00,2024-10-15 15:50:00,direct_entry,2024-11-13 16:00:00,expiry,61,54,1.9717,0.2865,1.6852,0.0000,0.0000,1.6852
2024-10-21 10:35:00,2024-10-21 10:35:00,direct_entry,2024-11-20 16:00:00,expiry,61,54,2.1777,0.3454,1.8323,0.0000,0.0000,1.8323
2024-10-21 15:55:00,2024-10-21 15:55:00,direct_entry,2024-11-20 16:00:00,expiry,60,53,1.9424,0.2791,1.6633,0.0000,0.0000,1.6633
2024-11-26 12:50:00,2024-11-26 12:50:00,direct_entry,2024-12-26 07:00:00,expiry,68,60,2.3415,0.3322,2.0093,0.0000,0.0000,2.0093
2025-02-03 07:40:00,2025-02-03 07:40:00,direct_entry,2025-03-05 16:00:00,expiry,76,67,2.5691,0.3677,2.2014,3.0400,0.0000,-0.8386
2025-02-28 10:20:00,2025-02-28 10:20:00,direct_entry,2025-04-02 16:00:00,expiry,76,67,2.5130,0.3841,2.1289,4.2400,0.0000,-2.1111
2025-03-10 10:20:00,2025-03-10 10:20:00,direct_entry,2025-04-09 16:00:00,expiry,66,58,2.2764,0.3095,1.9669,1.8500,0.0000,0.1169
2025-03-10 13:20:00,2025-03-10 13:20:00,direct_entry,2025-04-09 16:00:00,expiry,65,58,2.0458,0.3509,1.6949,0.8500,0.0000,0.8449
2025-04-04 06:55:00,2025-04-04 06:55:00,direct_entry,2025-05-07 16:00:00,expiry,58,51,1.9368,0.2852,1.6516,0.0000,0.0000,1.6516
2025-04-04 10:50:00,2025-04-04 10:50:00,direct_entry,2025-05-07 16:00:00,expiry,55,49,1.8509,0.3431,1.5077,0.0000,0.0000,1.5077
2025-05-21 14:05:00,2025-05-21 14:05:00,direct_entry,2025-06-18 16:00:00,expiry,72,64,2.3525,0.3618,1.9907,0.0000,0.0000,1.9907
2025-10-01 14:10:00,2025-10-01 14:10:00,direct_entry,2025-10-29 16:00:00,expiry,96,86,2.9518,0.5105,2.4413,0.0000,0.0000,2.4413
2025-10-09 15:35:00,2025-10-09 15:35:00,direct_entry,2025-11-12 16:00:00,expiry,93,82,3.3048,0.5357,2.7691,0.0000,0.0000,2.7691
2025-11-13 15:25:00,2025-11-13 15:25:00,direct_entry,2025-12-17 16:00:00,expiry,98,86,3.5613,0.5380,3.0233,0.0000,0.0000,3.0233
2025-11-18 10:35:00,2025-11-18 10:35:00,direct_entry,2025-12-17 16:00:00,expiry,94,83,3.0265,0.4205,2.6060,0.0000,0.0000,2.6060
2026-01-12 04:50:00,2026-01-12 04:50:00,direct_entry,2026-02-11 16:00:00,expiry,113,100,3.5457,0.5256,3.0201,0.0000,0.0000,3.0201
2026-01-20 12:25:00,2026-01-20 12:25:00,direct_entry,2026-02-18 16:00:00,expiry,112,99,3.6725,0.5249,3.1476,0.0000,0.0000,3.1476
