entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-15 08:00:00,2024-02-15 08:00:00,direct_entry,2024-02-23 16:00:00,expiry,175,185,5.6053,2.7927,2.8126,0.0000,0.0000,2.8126
2024-02-16 08:00:00,2024-02-16 08:00:00,direct_entry,2024-02-23 16:00:00,expiry,195,205,5.8822,3.0198,2.8624,0.0000,0.0000,2.8624
2024-03-06 19:00:00,2024-03-06 19:00:00,direct_entry,2024-03-15 16:00:00,expiry,245,265,8.4921,3.2048,5.2873,0.0000,0.0000,5.2873
2024-03-13 13:00:00,2024-03-13 13:00:00,direct_entry,2024-03-22 16:00:00,expiry,265,285,10.0009,4.2252,5.7758,0.0000,0.0000,5.7758
2024-05-23 08:00:00,2024-05-23 08:00:00,direct_entry,2024-05-31 16:00:00,expiry,240,260,8.7985,3.2102,5.5884,0.0000,0.0000,5.5884
2024-07-22 04:00:00,2024-07-22 04:00:00,direct_entry,2024-08-02 16:00:00,expiry,265,290,11.0805,4.2342,6.8463,0.0000,0.0000,6.8463
2024-07-22 06:00:00,2024-07-22 06:00:00,direct_entry,2024-08-02 16:00:00,expiry,265,290,11.5696,4.4627,7.1069,0.0000,0.0000,7.1069
2024-07-22 09:00:00,2024-07-22 09:00:00,direct_entry,2024-08-02 16:00:00,expiry,265,285,10.1505,4.6455,5.5050,0.0000,0.0000,5.5050
2024-07-22 17:00:00,2024-07-22 17:00:00,direct_entry,2024-08-02 16:00:00,expiry,275,300,10.5647,4.0131,6.5517,0.0000,0.0000,6.5517
2024-08-16 18:00:00,2024-08-16 18:00:00,direct_entry,2024-08-23 16:00:00,expiry,210,225,6.7664,2.5897,4.1767,1.0000,0.0000,3.1767
2024-08-20 09:00:00,2024-08-20 09:00:00,direct_entry,2024-08-30 16:00:00,expiry,215,230,7.4396,3.4434,3.9963,0.0000,0.0000,3.9963
2024-09-13 12:00:00,2024-09-13 12:00:00,direct_entry,2024-09-20 16:00:00,expiry,170,180,5.6841,2.6667,3.0174,0.0000,0.0000,3.0174
2024-09-17 12:00:00,2024-09-17 12:00:00,direct_entry,2024-09-27 16:00:00,expiry,170,180,5.5779,2.8966,2.6813,21.1700,11.1700,-7.3187
2024-09-23 08:00:00,2024-09-23 08:00:00,direct_entry,2024-10-04 16:00:00,expiry,180,195,6.4734,2.6738,3.7995,0.0000,0.0000,3.7995
2024-09-23 10:00:00,2024-09-23 10:00:00,direct_entry,2024-10-04 16:00:00,expiry,175,190,7.6245,3.2126,4.4119,0.0000,0.0000,4.4119
2024-10-16 16:00:00,2024-10-16 16:00:00,direct_entry,2024-10-25 16:00:00,expiry,215,235,8.2973,2.8091,5.4882,0.0000,0.0000,5.4882
2024-11-08 15:00:00,2024-11-08 15:00:00,direct_entry,2024-11-15 16:00:00,expiry,280,295,8.1784,3.9905,4.1879,25.8800,10.8800,-10.8121
2024-11-11 15:00:00,2024-11-11 15:00:00,direct_entry,2024-11-22 16:00:00,expiry,335,365,13.5643,5.3281,8.2362,0.0000,0.0000,8.2362
2025-01-15 19:00:00,2025-01-15 19:00:00,direct_entry,2025-01-24 16:00:00,expiry,285,305,10.0723,4.4279,5.6444,13.8200,0.0000,-8.1756
2025-01-17 12:00:00,2025-01-17 12:00:00,direct_entry,2025-01-24 16:00:00,expiry,300,325,10.5589,3.5440,7.0149,0.0000,0.0000,7.0149
2025-01-17 14:00:00,2025-01-17 14:00:00,direct_entry,2025-01-24 16:00:00,expiry,305,325,9.3621,3.8910,5.4710,0.0000,0.0000,5.4710
2025-01-24 08:00:00,2025-01-24 08:00:00,direct_entry,2025-01-31 16:00:00,expiry,310,330,9.9924,4.3245,5.6679,0.0000,0.0000,5.6679
2025-01-24 13:00:00,2025-01-24 13:00:00,direct_entry,2025-01-31 16:00:00,expiry,315,335,9.5547,4.0901,5.4646,0.0000,0.0000,5.4646
2025-02-04 14:00:00,2025-02-04 14:00:00,direct_entry,2025-02-14 16:00:00,expiry,290,315,11.3751,4.4335,6.9415,0.0000,0.0000,6.9415
2025-03-12 09:00:00,2025-03-12 09:00:00,direct_entry,2025-03-21 16:00:00,expiry,195,210,7.9177,3.3725,4.5452,0.0000,0.0000,4.5452
2025-05-01 09:00:00,2025-05-01 09:00:00,direct_entry,2025-05-09 16:00:00,expiry,210,225,6.7267,2.7672,3.9595,0.0000,0.0000,3.9595
2025-06-25 09:00:00,2025-06-25 09:00:00,direct_entry,2025-07-07 04:00:00,expiry,370,395,12.4367,5.6740,6.7627,0.0000,0.0000,6.7627
2025-07-16 15:00:00,2025-07-16 15:00:00,direct_entry,2025-07-25 16:00:00,expiry,410,445,15.0468,5.5460,9.5008,0.0000,0.0000,9.5008
2025-07-18 08:00:00,2025-07-18 08:00:00,direct_entry,2025-07-25 16:00:00,expiry,435,460,12.9780,6.0941,6.8839,0.0000,0.0000,6.8839
2025-07-21 11:00:00,2025-07-21 11:00:00,direct_entry,2025-08-01 16:00:00,expiry,445,485,17.6351,6.9029,10.7322,0.0000,0.0000,10.7322
2025-08-13 10:00:00,2025-08-13 10:00:00,direct_entry,2025-08-22 16:00:00,expiry,340,365,11.7398,4.9936,6.7462,0.0000,0.0000,6.7462
2025-09-11 11:00:00,2025-09-11 11:00:00,direct_entry,2025-09-19 16:00:00,expiry,330,355,11.3095,4.4498,6.8597,12.5100,0.0000,-5.6503
2025-09-12 09:00:00,2025-09-12 09:00:00,direct_entry,2025-09-19 16:00:00,expiry,335,360,10.8126,4.0415,6.7710,7.5100,0.0000,-0.7390
2025-09-16 08:00:00,2025-09-16 08:00:00,direct_entry,2025-09-26 16:00:00,expiry,340,370,12.8203,4.8736,7.9466,0.0000,0.0000,7.9466
2025-09-18 15:00:00,2025-09-18 15:00:00,direct_entry,2025-09-26 16:00:00,expiry,355,380,11.2944,4.6461,6.6483,0.0000,0.0000,6.6483
2025-10-02 08:00:00,2025-10-02 08:00:00,direct_entry,2025-10-10 16:00:00,expiry,365,390,12.0758,5.2188,6.8570,0.0000,0.0000,6.8570
2025-10-06 08:00:00,2025-10-06 08:00:00,direct_entry,2025-10-17 16:00:00,expiry,405,440,15.4163,6.2375,9.1788,0.0000,0.0000,9.1788
2025-10-10 10:00:00,2025-10-10 10:00:00,direct_entry,2025-10-17 16:00:00,expiry,390,415,12.1890,5.2439,6.9452,0.0000,0.0000,6.9452
2025-12-02 15:00:00,2025-12-02 15:00:00,direct_entry,2025-12-12 16:00:00,expiry,270,295,11.0803,4.0477,7.0326,0.0000,0.0000,7.0326
2025-12-08 09:00:00,2025-12-08 09:00:00,direct_entry,2025-12-19 16:00:00,expiry,285,305,10.3622,4.9739,5.3883,0.0000,0.0000,5.3883
