entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-31 05:15:00,2024-01-31 05:15:00,direct_entry,2024-02-07 16:00:00,expiry,125,120,4.610068136878908,2.6775270651880803,1.932541071690828,2.700000000000003,0.0,-0.7674589283091748
2024-02-20 12:45:00,2024-02-20 12:45:00,direct_entry,2024-02-28 16:00:00,expiry,160,155,4.8486634768690635,3.1618502822991843,1.6868131945698792,0.0,0.0,1.6868131945698792
2024-02-21 10:00:00,2024-02-21 10:00:00,direct_entry,2024-02-28 16:00:00,expiry,160,155,5.207371126096746,3.366210545428544,1.8411605806682019,0.0,0.0,1.8411605806682019
2024-02-21 14:00:00,2024-02-21 14:00:00,direct_entry,2024-02-28 16:00:00,expiry,160,155,5.353556708542101,3.461083237401681,1.8924734711404199,0.0,0.0,1.8924734711404199
2024-03-15 07:30:00,2024-03-15 07:30:00,direct_entry,2024-03-27 16:00:00,expiry,210,205,8.291797325372244,6.417282160395089,1.8745151649771543,0.0,0.0,1.8745151649771543
2024-04-02 09:45:00,2024-04-02 09:45:00,direct_entry,2024-04-10 16:00:00,expiry,235,225,9.034591421553344,5.196659847543245,3.837931574010099,0.0,0.0,3.837931574010099
2024-04-05 16:30:00,2024-04-05 16:30:00,direct_entry,2024-04-17 16:00:00,expiry,235,225,10.71476033266481,6.766776269605089,3.947984063059721,22.00999999999999,12.009999999999991,-6.052015936940279
2024-04-30 07:45:00,2024-04-30 07:45:00,direct_entry,2024-05-08 16:00:00,expiry,210,200,7.812423545527054,4.159024595234115,3.6533989502929387,0.0,0.0,3.6533989502929387
2024-04-30 10:30:00,2024-04-30 10:30:00,direct_entry,2024-05-08 16:00:00,expiry,205,200,6.808000826824838,4.951119195636451,1.8568816311883865,0.0,0.0,1.8568816311883865
2024-04-30 12:00:00,2024-04-30 12:00:00,direct_entry,2024-05-08 16:00:00,expiry,205,195,7.630371810749509,3.9732007750939005,3.657171035655608,0.0,0.0,3.657171035655608
2024-04-30 13:45:00,2024-04-30 13:45:00,direct_entry,2024-05-08 16:00:00,expiry,200,195,7.060277184762313,5.112922678128513,1.9473545066338005,0.0,0.0,1.9473545066338005
2024-05-08 09:30:00,2024-05-08 09:30:00,direct_entry,2024-05-15 16:00:00,expiry,205,200,6.843447176671603,4.910138933015375,1.9333082436562279,0.0,0.0,1.9333082436562279
2024-08-02 15:00:00,2024-08-02 15:00:00,direct_entry,2024-08-14 16:00:00,expiry,195,190,7.855863296681733,5.950847405971942,1.905015890709791,0.0,0.0,1.905015890709791
2024-08-05 07:45:00,2024-08-05 07:45:00,direct_entry,2024-08-14 16:00:00,expiry,165,160,5.266037354921458,3.5733008445195367,1.6927365104019216,0.0,0.0,1.6927365104019216
2024-08-05 08:45:00,2024-08-05 08:45:00,direct_entry,2024-08-14 16:00:00,expiry,165,160,6.6734235834115765,4.648662663803904,2.0247609196076723,0.0,0.0,2.0247609196076723
2024-09-04 10:00:00,2024-09-04 10:00:00,direct_entry,2024-09-11 16:00:00,expiry,160,155,4.789118955206604,3.061768898904525,1.727350056302079,3.0600000000000023,0.0,-1.3326499436979233
2024-09-04 15:30:00,2024-09-04 15:30:00,direct_entry,2024-09-11 16:00:00,expiry,160,155,5.59700468124872,3.635519321603681,1.9614853596450388,3.0600000000000023,0.0,-1.0985146403549635
2024-09-05 12:00:00,2024-09-05 12:00:00,direct_entry,2024-09-18 16:00:00,expiry,155,150,6.554748403604279,4.673666288433466,1.8810821151708126,0.0,0.0,1.8810821151708126
2024-11-04 10:45:00,2024-11-04 10:45:00,direct_entry,2024-11-13 16:00:00,expiry,175,170,6.791892950413583,4.809555567495572,1.9823373829180113,0.0,0.0,1.9823373829180113
