entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,long_prem,short_prem,net_debit,long_settle,short_settle,final_pnl
2024-01-03 06:55:00,2024-01-03 06:55:00,direct_entry,2024-01-17 16:00:00,expiry,4770,4890,61.8795,18.4371,43.4424,0.0000,0.0000,-43.4424
2024-01-05 05:50:00,2024-01-05 05:50:00,direct_entry,2024-01-19 16:00:00,expiry,4720,4840,58.3175,16.7890,41.5285,153.2500,33.2500,78.4715
2024-02-25 18:05:00,2024-02-25 18:05:00,direct_entry,2024-03-11 16:00:00,expiry,5100,5230,64.5555,19.0372,45.5183,85.8500,0.0000,40.3317
2024-03-14 15:35:00,2024-03-14 15:35:00,direct_entry,2024-03-28 16:00:00,expiry,5200,5330,63.5435,18.3780,45.1655,105.5000,0.0000,60.3345
2024-03-15 12:35:00,2024-03-15 12:35:00,direct_entry,2024-03-31 18:00:00,expiry,5180,5310,63.9897,18.5762,45.4135,144.5000,14.5000,84.5865
2024-04-03 06:40:00,2024-04-03 06:40:00,direct_entry,2024-04-17 16:00:00,expiry,5250,5380,65.8684,19.7959,46.0724,0.0000,0.0000,-46.0724
2024-04-11 08:05:00,2024-04-11 08:05:00,direct_entry,2024-04-25 16:00:00,expiry,5190,5320,63.1473,18.3921,44.7552,0.0000,0.0000,-44.7552
2024-04-12 13:10:00,2024-04-12 13:10:00,direct_entry,2024-04-26 16:00:00,expiry,5160,5290,67.3944,19.9095,47.4849,0.0000,0.0000,-47.4849
2024-04-19 15:05:00,2024-04-19 15:05:00,direct_entry,2024-05-03 16:00:00,expiry,5000,5130,63.5908,17.6731,45.9177,158.5000,28.5000,84.0823
2024-05-09 02:40:00,2024-05-09 02:40:00,direct_entry,2024-05-23 16:00:00,expiry,5200,5340,68.6945,18.7896,49.9048,82.0000,0.0000,32.0952
2024-05-28 23:45:00,2024-05-28 23:45:00,direct_entry,2024-06-11 16:00:00,expiry,5310,5440,63.9289,18.6945,45.2344,139.5600,9.5600,84.7656
2024-05-29 12:15:00,2024-05-29 12:15:00,direct_entry,2024-06-12 16:00:00,expiry,5290,5420,66.4539,20.0298,46.4240,201.0600,71.0600,83.5760
2024-05-30 01:30:00,2024-05-30 01:30:00,direct_entry,2024-06-13 16:00:00,expiry,5250,5390,68.6456,18.9984,49.6471,255.4900,115.4900,90.3529
2024-06-17 09:30:00,2024-06-17 09:30:00,direct_entry,2024-07-01 16:00:00,expiry,5500,5640,68.6846,19.7172,48.9674,33.7500,0.0000,-15.2174
2024-07-05 08:00:00,2024-07-05 08:00:00,direct_entry,2024-07-19 16:00:00,expiry,5590,5730,70.9517,21.0447,49.9070,0.0000,0.0000,-49.9070
2024-07-19 12:55:00,2024-07-19 12:55:00,direct_entry,2024-08-02 16:00:00,expiry,5560,5700,68.0736,19.5815,48.4920,0.0000,0.0000,-48.4920
2024-08-01 13:50:00,2024-08-01 13:50:00,direct_entry,2024-08-15 16:00:00,expiry,5470,5610,67.8882,19.1485,48.7397,95.2500,0.0000,46.5103
2024-08-05 00:25:00,2024-08-05 00:25:00,direct_entry,2024-08-19 16:00:00,expiry,5290,5420,67.4110,20.7930,46.6181,335.2500,205.2500,83.3819
2024-08-06 05:40:00,2024-08-06 05:40:00,direct_entry,2024-08-20 16:00:00,expiry,5240,5370,65.4515,19.6106,45.8409,383.5000,253.5000,84.1591
2024-08-21 04:35:00,2024-08-21 04:35:00,direct_entry,2024-09-04 16:00:00,expiry,5620,5760,72.3677,21.8694,50.4983,0.0000,0.0000,-50.4983
2024-09-03 11:00:00,2024-09-03 11:00:00,direct_entry,2024-09-17 16:00:00,expiry,5580,5720,71.8252,21.2807,50.5446,122.7500,0.0000,72.2054
2024-09-05 03:00:00,2024-09-05 03:00:00,direct_entry,2024-09-19 16:00:00,expiry,5520,5660,71.2666,21.0689,50.1977,254.7500,114.7500,89.8023
2024-09-10 01:00:00,2024-09-10 01:00:00,direct_entry,2024-09-24 16:00:00,expiry,5470,5610,70.7089,20.7052,50.0037,319.2500,179.2500,89.9963
2024-09-29 22:15:00,2024-09-29 22:15:00,direct_entry,2024-10-14 16:00:00,expiry,5790,5940,73.7870,21.1857,52.6013,116.7500,0.0000,64.1487
2024-10-01 10:35:00,2024-10-01 10:35:00,direct_entry,2024-10-15 16:00:00,expiry,5750,5900,74.9496,21.1068,53.8427,111.2500,0.0000,57.4073
2024-10-16 23:35:00,2024-10-16 23:35:00,direct_entry,2024-10-30 16:00:00,expiry,5880,6020,70.2016,21.2859,48.9157,0.0000,0.0000,-48.9157
2024-10-23 09:15:00,2024-10-23 09:15:00,direct_entry,2024-11-06 16:00:00,expiry,5870,6020,75.0108,21.6341,53.3768,89.7500,0.0000,36.3732
2024-10-25 16:35:00,2024-10-25 16:35:00,direct_entry,2024-11-08 16:00:00,expiry,5840,5990,73.3923,20.6140,52.7783,185.5000,35.5000,97.2217
2024-10-31 00:10:00,2024-10-31 00:10:00,direct_entry,2024-11-14 16:00:00,expiry,5830,5980,73.2996,21.0744,52.2252,145.5000,0.0000,93.2748
2024-11-14 20:30:00,2024-11-14 20:30:00,direct_entry,2024-11-28 18:00:00,expiry,5960,6110,72.3302,20.4917,51.8385,66.0000,0.0000,14.1615
2024-12-02 05:10:00,2024-12-02 05:10:00,direct_entry,2024-12-16 16:00:00,expiry,6040,6190,76.9760,23.2418,53.7342,38.7500,0.0000,-14.9842
2024-12-18 22:10:00,2024-12-18 22:10:00,direct_entry,2025-01-01 18:00:00,expiry,5950,6090,71.1037,21.9699,49.1337,4.2500,0.0000,-44.8837
2024-12-19 20:00:00,2024-12-19 20:00:00,direct_entry,2025-01-02 16:00:00,expiry,5920,6060,71.8930,22.2770,49.6160,2.0000,0.0000,-47.6160
2025-01-07 14:40:00,2025-01-07 14:40:00,direct_entry,2025-01-21 16:00:00,expiry,5970,6120,76.7034,22.5351,54.1683,120.5000,0.0000,66.3317
2025-01-09 03:05:00,2025-01-09 03:05:00,direct_entry,2025-01-23 16:00:00,expiry,5940,6090,73.4624,21.4556,52.0068,210.0000,60.0000,97.9932
2025-01-10 11:40:00,2025-01-10 11:40:00,direct_entry,2025-01-24 16:00:00,expiry,5870,6010,71.5888,22.2360,49.3528,262.0000,122.0000,90.6472
2025-01-26 20:05:00,2025-01-26 20:05:00,direct_entry,2025-02-10 16:00:00,expiry,6090,6240,77.2367,23.8479,53.3888,0.0000,0.0000,-53.3888
