entry_dt,settlement_dt,close_reason,k_call,k_put,k_put_short,call_prem,put_prem,put_short_prem,net_debit,call_settle,put_settle,put_short_settle,final_pnl
2024-01-05 05:45:00,2024-01-19 16:00:00,expiry,4720,4650,4610,55.3714,22.6017,13.1932,64.7799,151.7500,0.0000,0.0000,86.9701
2024-02-13 10:15:00,2024-02-27 16:00:00,expiry,4980,4910,4860,58.0528,24.6617,12.9607,69.7538,174.7200,0.0000,0.0000,104.9662
2024-03-05 15:30:00,2024-03-19 16:00:00,expiry,5130,5060,5020,61.8240,24.3486,14.7840,71.3886,110.7500,0.0000,0.0000,39.3614
2024-03-24 19:00:00,2024-04-08 16:00:00,expiry,5290,5210,5170,64.6414,24.7813,15.4303,73.9924,0.0000,0.0000,0.0000,-73.9924
2024-05-08 09:30:00,2024-05-22 16:00:00,expiry,5200,5120,5080,60.5930,23.8820,14.5866,69.8885,194.3800,0.0000,0.0000,124.4915
2024-05-29 09:45:00,2024-06-12 16:00:00,expiry,5350,5280,5230,64.5216,26.9220,14.8891,76.5545,142.5800,0.0000,0.0000,66.0255
2024-07-18 12:30:00,2024-08-01 16:00:00,expiry,5610,5530,5480,63.8318,28.0181,15.9024,75.9475,0.0000,5.8300,0.0000,-70.1175
2024-08-02 03:15:00,2024-08-16 16:00:00,expiry,5480,5400,5360,67.7172,25.1420,15.8267,77.0325,161.4300,0.0000,0.0000,84.3975
2024-09-03 12:00:00,2024-09-17 16:00:00,expiry,5640,5560,5510,67.3480,26.6569,15.0664,78.9385,62.7500,0.0000,0.0000,-16.1885
2024-10-21 08:00:00,2024-11-04 16:00:00,expiry,5890,5800,5750,68.3948,27.5362,15.9805,79.9505,0.0000,53.0000,3.0000,-29.9505
2024-11-15 03:30:00,2024-12-01 18:00:00,expiry,5940,5850,5800,70.6572,27.6904,16.1891,82.1585,108.7500,0.0000,0.0000,26.5915
2024-12-06 06:45:00,2024-12-20 16:00:00,expiry,6080,5990,5940,73.6917,27.8195,16.4104,85.1007,0.0000,0.0000,0.0000,-85.1007
2024-12-27 12:45:00,2025-01-10 16:00:00,expiry,6000,5910,5860,68.5239,28.5060,16.7078,80.3221,0.0000,45.2500,0.0000,-35.0721
2025-01-27 02:30:00,2025-02-10 16:00:00,expiry,6040,5960,5900,74.0889,30.4126,16.2437,88.2579,44.0000,0.0000,0.0000,-44.2579
2025-02-20 12:00:00,2025-03-06 16:00:00,expiry,6120,6030,5980,71.3242,28.9335,17.1478,83.1099,0.0000,271.7500,221.7500,-33.1099
2025-03-10 12:00:00,2025-03-24 16:00:00,expiry,5660,5580,5530,66.9574,27.1598,15.4169,78.7003,157.2500,0.0000,0.0000,78.5497
2025-04-03 09:15:00,2025-04-17 16:00:00,expiry,5510,5430,5390,66.4000,25.5431,16.0900,75.8531,0.0000,104.0000,64.0000,-35.8531
2025-05-06 05:45:00,2025-05-20 16:00:00,expiry,5630,5550,5500,68.8519,26.4995,15.0153,80.3362,322.2500,0.0000,0.0000,241.9138
2025-05-21 03:00:00,2025-06-04 16:00:00,expiry,5930,5840,5790,70.7239,27.5701,16.1024,82.1916,48.5000,0.0000,0.0000,-33.6916
2025-06-11 22:00:00,2025-06-25 16:00:00,expiry,6000,5920,5870,71.9812,28.3210,16.4984,83.8039,145.2500,0.0000,0.0000,61.4461
2025-07-15 18:45:00,2025-07-29 16:00:00,expiry,6270,6180,6130,73.3590,29.1877,17.4264,85.1203,133.7500,0.0000,0.0000,48.6297
2025-08-01 05:30:00,2025-08-15 16:00:00,expiry,6310,6220,6170,77.5073,29.4684,17.8041,89.1716,158.5000,0.0000,0.0000,69.3284
2025-08-29 12:00:00,2025-09-12 16:00:00,expiry,6470,6380,6320,75.9739,31.7656,17.5552,90.1843,117.2500,0.0000,0.0000,27.0657
2025-10-17 04:15:00,2025-10-31 16:00:00,expiry,6590,6490,6430,76.6256,31.4875,17.6176,90.4955,282.0000,0.0000,0.0000,191.5045
2025-11-03 03:00:00,2025-11-17 16:00:00,expiry,6880,6780,6720,82.6040,32.9437,18.9472,96.6005,0.0000,80.0000,20.0000,-36.6005
2025-11-18 02:15:00,2025-12-02 16:00:00,expiry,6650,6550,6500,79.5501,31.1597,19.3827,91.3272,190.0000,0.0000,0.0000,98.6728
2025-12-09 09:30:00,2025-12-23 16:00:00,expiry,6860,6760,6700,79.0543,33.5399,19.2308,93.3634,97.7500,0.0000,0.0000,4.3866
2025-12-29 02:15:00,2026-01-12 16:00:00,expiry,6970,6870,6810,84.4388,33.4681,19.4142,98.4927,46.5000,0.0000,0.0000,-51.9927
2026-01-14 07:00:00,2026-01-28 16:00:00,expiry,6970,6870,6810,84.9005,32.5233,18.7365,98.6873,40.2500,0.0000,0.0000,-58.4373
2026-02-05 19:15:00,2026-02-19 16:00:00,expiry,6780,6680,6620,76.4952,32.2166,18.1466,90.5653,98.2500,0.0000,0.0000,7.6847
2026-03-19 04:45:00,2026-03-31 23:45:00,force_close,6660,6560,6500,78.0513,31.7288,17.8570,91.9231,0.0000,0.0000,0.0000,-91.9231
