entry_dt,settlement_dt,close_reason,k_call,k_put,call_prem,put_prem,net_debit,call_settle,put_settle,final_pnl
2024-01-03 06:55:00,2024-01-24 16:00:00,expiry,4770,4640,71.5852,15.9306,87.5158,124.0000,0.0000,36.4842
2024-02-25 18:05:00,2024-03-18 16:00:00,expiry,5100,4950,74.6356,16.4617,91.0973,112.5000,0.0000,21.4027
2024-03-18 21:35:00,2024-04-08 16:00:00,expiry,5200,5060,77.3913,16.9106,94.3019,56.0000,0.0000,-38.3019
2024-04-11 08:05:00,2024-05-02 16:00:00,expiry,5190,5040,73.6735,17.0687,90.7422,0.0000,0.0000,-90.7422
2024-05-09 02:40:00,2024-05-30 16:00:00,expiry,5200,5060,79.1959,17.5929,96.7888,50.2500,0.0000,-46.5388
2024-05-31 12:30:00,2024-06-21 16:00:00,expiry,5210,5070,76.9255,17.8213,94.7468,323.5000,0.0000,228.7532
2024-06-28 15:05:00,2024-07-19 16:00:00,expiry,5530,5380,81.1098,18.6426,99.7524,21.7500,0.0000,-78.0024
2024-07-23 02:35:00,2024-08-13 16:00:00,expiry,5600,5440,80.6912,18.7564,99.4476,0.0000,0.0000,-99.4476
2024-08-16 06:40:00,2024-09-06 16:00:00,expiry,5560,5410,83.4867,18.8607,102.3474,0.0000,0.0000,-102.3474
2024-09-10 01:00:00,2024-10-01 16:00:00,expiry,5470,5320,81.6990,18.6448,100.3438,294.0000,0.0000,193.6562
2024-10-01 23:25:00,2024-10-22 16:00:00,expiry,5760,5600,81.1877,19.1905,100.3782,131.7500,0.0000,31.3718
2024-10-23 09:15:00,2024-11-13 16:00:00,expiry,5870,5710,86.9993,19.7871,106.7864,146.7500,0.0000,39.9636
2024-11-13 20:40:00,2024-12-04 16:00:00,expiry,6010,5850,89.4662,19.9488,109.4150,86.5000,0.0000,-22.9150
2024-12-09 15:55:00,2024-12-30 16:00:00,expiry,6070,5900,86.1120,20.3762,106.4882,0.0000,0.0000,-106.4882
2025-01-07 14:40:00,2025-01-28 16:00:00,expiry,5970,5810,89.0410,20.0289,109.0699,122.2500,0.0000,13.1801
2025-01-29 11:20:00,2025-02-19 16:00:00,expiry,6080,5910,87.3498,20.4556,107.8053,75.5000,0.0000,-32.3053
2025-02-21 14:40:00,2025-03-14 16:00:00,expiry,6030,5860,88.3002,19.2105,107.5107,0.0000,177.0000,69.4893
2025-03-17 23:40:00,2025-04-07 16:00:00,expiry,5710,5560,84.5818,19.2484,103.8302,0.0000,432.5000,328.6698
2025-04-08 15:50:00,2025-04-29 16:00:00,expiry,5010,4870,72.5396,16.3854,88.9250,577.2500,0.0000,488.3250
2025-04-29 22:05:00,2025-05-20 16:00:00,expiry,5560,5410,80.0033,18.9091,98.9124,393.7500,0.0000,294.8376
2025-05-21 02:25:00,2025-06-11 16:00:00,expiry,5930,5760,88.1036,18.8917,106.9953,98.2500,0.0000,-8.7453
2025-06-11 20:30:00,2025-07-02 16:00:00,expiry,6020,5850,85.4800,19.5547,105.0346,253.0000,0.0000,147.9654
2025-07-03 20:40:00,2025-07-24 16:00:00,expiry,6310,6140,92.7293,20.9656,113.6949,90.0000,0.0000,-23.6949
2025-07-28 09:55:00,2025-08-18 16:00:00,expiry,6430,6250,93.1404,21.4530,114.5934,39.5000,0.0000,-75.0934
2025-08-19 14:40:00,2025-09-09 16:00:00,expiry,6420,6240,95.5997,20.1238,115.7234,99.0000,0.0000,-16.7234
2025-09-10 14:30:00,2025-10-01 16:00:00,expiry,6540,6360,94.0209,22.2521,116.2730,218.0000,0.0000,101.7270
2025-10-02 02:40:00,2025-10-23 16:00:00,expiry,6770,6580,99.0137,22.8160,121.8297,7.0000,0.0000,-114.8297
2025-10-30 13:20:00,2025-11-20 16:00:00,expiry,6890,6700,103.1346,22.1182,125.2528,0.0000,142.7500,17.4972
2025-11-20 16:15:00,2025-12-11 16:00:00,expiry,6560,6370,93.6050,20.6485,114.2535,408.2500,0.0000,293.9965
2025-12-15 20:05:00,2026-01-05 16:00:00,expiry,6870,6680,97.8364,23.0080,120.8444,76.0000,0.0000,-44.8444
2026-01-05 19:20:00,2026-01-26 16:00:00,expiry,6940,6750,101.9982,22.6097,124.6080,39.5000,0.0000,-85.1080
2026-01-28 08:15:00,2026-02-18 16:00:00,expiry,7020,6830,105.4517,23.5389,128.9906,0.0000,0.0000,-128.9906
2026-02-18 19:30:00,2026-03-11 16:00:00,expiry,6890,6700,101.2551,22.1815,123.4366,0.0000,0.0000,-123.4366
2026-03-12 10:40:00,2026-03-31 23:55:00,force_close,6700,6520,100.7755,22.4643,123.2399,0.0000,0.0000,-123.2399
