entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-12 13:00:00,2024-02-12 13:00:00,direct_entry,2024-02-19 18:00:00,expiry,5090,5230,38.3556,6.5385,31.8172,0.0000,0.0000,31.8172
2024-03-14 08:00:00,2024-03-14 08:00:00,direct_entry,2024-03-21 16:00:00,expiry,5280,5430,41.4040,6.8855,34.5185,27.5000,0.0000,7.0185
2024-05-09 19:00:00,2024-05-09 19:00:00,direct_entry,2024-05-16 16:00:00,expiry,5340,5490,42.6153,6.9384,35.6769,41.9800,0.0000,-6.3031
2024-06-05 02:00:00,2024-06-05 02:00:00,direct_entry,2024-06-12 10:00:00,stop_loss,5410,5570,44.3965,7.1266,37.2699,0.0000,0.0000,-64.7694
2024-06-05 22:00:00,2024-06-05 22:00:00,direct_entry,2024-06-12 16:00:00,expiry,5470,5620,42.6234,7.1096,35.5138,35.7400,0.0000,-0.2262
2024-06-17 04:00:00,2024-06-17 04:00:00,direct_entry,2024-06-24 16:00:00,expiry,5540,5700,44.0428,7.2552,36.7876,0.0000,0.0000,36.7876
2024-06-20 07:00:00,2024-06-20 07:00:00,direct_entry,2024-06-27 16:00:00,expiry,5620,5780,43.8000,7.2626,36.5374,0.0000,0.0000,36.5374
2024-07-08 10:00:00,2024-07-08 10:00:00,direct_entry,2024-07-15 16:00:00,expiry,5670,5820,42.8899,8.0444,34.8456,18.2500,0.0000,16.5956
2024-07-09 01:00:00,2024-07-09 01:00:00,direct_entry,2024-07-16 16:00:00,expiry,5680,5840,45.1965,7.9610,37.2356,35.5000,0.0000,1.7356
2024-08-15 20:00:00,2024-08-15 20:00:00,direct_entry,2024-08-22 16:00:00,expiry,5670,5820,43.0491,7.7196,35.3294,0.0000,0.0000,35.3294
2024-08-18 21:00:00,2024-08-18 21:00:00,direct_entry,2024-08-26 16:00:00,expiry,5690,5850,45.7979,8.2844,37.5135,0.4500,0.0000,37.0635
2024-08-21 10:00:00,2024-08-21 10:00:00,direct_entry,2024-08-28 16:00:00,expiry,5730,5890,43.6994,7.3641,36.3353,0.0000,0.0000,36.3353
2024-08-26 07:00:00,2024-08-26 07:00:00,direct_entry,2024-09-02 18:00:00,expiry,5760,5920,45.9410,8.1173,37.8237,0.0000,0.0000,37.8237
2024-09-13 14:00:00,2024-09-13 14:00:00,direct_entry,2024-09-20 16:00:00,expiry,5720,5880,46.6123,7.9386,38.6737,38.2500,0.0000,0.4237
2024-09-17 09:00:00,2024-09-17 09:00:00,direct_entry,2024-09-24 16:00:00,expiry,5750,5920,47.5714,7.4174,40.1540,42.7500,0.0000,-2.5960
2024-11-21 09:00:00,2024-11-21 09:00:00,direct_entry,2024-11-28 18:00:00,expiry,5970,6140,47.9374,7.9903,39.9471,59.7500,0.0000,-19.8029
2024-11-22 15:00:00,2024-11-22 15:00:00,direct_entry,2024-12-01 18:00:00,expiry,6030,6190,45.4692,8.2729,37.1963,15.5000,0.0000,21.6963
2025-04-23 11:00:00,2025-04-23 11:00:00,direct_entry,2025-04-28 21:00:00,stop_loss,5460,5610,42.0032,7.3218,34.6814,0.0000,0.0000,-62.5310
2025-05-01 06:00:00,2025-05-01 06:00:00,direct_entry,2025-05-08 16:00:00,expiry,5690,5850,46.0840,8.0359,38.0481,0.0000,0.0000,38.0481
