entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-18 19:30:00,2024-01-18 19:30:00,direct_entry,2024-01-23 16:00:00,expiry,4840,4950,31.2774,5.3802,25.8972,59.5000,0.0000,-33.6028
2024-01-19 07:00:00,2024-01-19 07:00:00,direct_entry,2024-01-24 16:00:00,expiry,4860,4980,32.7891,5.2543,27.5348,32.5000,0.0000,-4.9652
2024-01-19 08:30:00,2024-01-19 08:30:00,direct_entry,2024-01-24 16:00:00,expiry,4860,4980,32.5229,5.1372,27.3856,32.5000,0.0000,-5.1144
2024-01-19 16:30:00,2024-01-19 16:30:00,direct_entry,2024-01-24 16:00:00,expiry,4900,5010,30.8222,5.4799,25.3423,0.0000,0.0000,25.3423
2024-01-23 09:30:00,2024-01-23 09:30:00,direct_entry,2024-01-29 16:00:00,expiry,4920,5040,34.4874,6.5508,27.9367,33.0000,0.0000,-5.0633
2024-01-25 07:30:00,2024-01-25 07:30:00,direct_entry,2024-01-30 16:00:00,expiry,4930,5040,31.6142,6.0783,25.5359,10.5000,0.0000,15.0359
2024-01-29 20:00:00,2024-01-29 20:00:00,direct_entry,2024-02-05 16:00:00,expiry,4990,5120,37.2992,6.8484,30.4509,0.0000,0.0000,30.4509
2024-02-09 09:00:00,2024-02-09 09:00:00,direct_entry,2024-02-14 16:00:00,expiry,5050,5170,33.7529,5.7710,27.9820,0.0000,0.0000,27.9820
2024-02-12 13:00:00,2024-02-12 13:00:00,direct_entry,2024-02-19 18:00:00,expiry,5090,5230,40.3134,7.0452,33.2682,0.0000,0.0000,33.2682
2024-02-16 06:30:00,2024-02-16 06:30:00,direct_entry,2024-02-21 16:00:00,expiry,5090,5210,33.1532,5.7815,27.3717,0.0000,0.0000,27.3717
2024-03-27 09:30:00,2024-03-27 09:30:00,direct_entry,2024-04-01 16:00:00,expiry,5320,5440,33.8734,6.2764,27.5970,0.0000,0.0000,27.5970
2024-04-04 07:00:00,2024-04-04 07:00:00,direct_entry,2024-04-09 16:00:00,expiry,5310,5440,37.8915,6.3683,31.5232,0.0000,0.0000,31.5232
