entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-08 15:05:00,2024-01-08 15:05:00,direct_entry,2024-01-26 16:00:00,expiry,4860,5090,77.0452,11.4908,65.5544,55.0000,0.0000,10.5544
2024-02-02 14:25:00,2024-02-02 14:25:00,direct_entry,2024-02-16 16:00:00,expiry,5050,5260,69.7180,10.3020,59.4160,0.0000,0.0000,59.4160
2024-02-22 13:10:00,2024-02-22 13:10:00,direct_entry,2024-03-08 16:00:00,expiry,5150,5370,74.0690,11.2155,62.8535,50.0200,0.0000,12.8335
2024-03-12 01:40:00,2024-03-12 01:40:00,direct_entry,2024-03-31 18:00:00,expiry,5280,5520,82.3357,12.9273,69.4084,44.5000,0.0000,24.9084
2024-04-04 04:35:00,2024-04-04 04:35:00,direct_entry,2024-04-19 16:00:00,expiry,5350,5580,78.4686,12.0871,66.3815,0.0000,0.0000,66.3815
2024-04-23 11:00:00,2024-04-23 11:00:00,direct_entry,2024-05-10 16:00:00,expiry,5160,5400,81.6290,12.1923,69.4367,84.0000,0.0000,-14.5633
2024-06-06 08:20:00,2024-06-06 08:20:00,direct_entry,2024-06-21 16:00:00,expiry,5500,5740,80.8378,12.0236,68.8142,33.5000,0.0000,35.3142
2024-06-26 01:45:00,2024-06-26 01:45:00,direct_entry,2024-07-12 16:00:00,expiry,5620,5870,84.1061,12.8684,71.2377,48.0000,0.0000,23.2377
2024-07-23 07:35:00,2024-07-23 07:35:00,direct_entry,2024-08-09 16:00:00,expiry,5690,5950,89.6749,13.9138,75.7611,0.0000,0.0000,75.7611
2024-09-12 00:15:00,2024-09-12 00:15:00,direct_entry,2024-09-27 16:00:00,expiry,5700,5950,84.3952,12.6764,71.7188,89.5000,0.0000,-17.7812
2024-10-06 18:30:00,2024-10-06 18:30:00,direct_entry,2024-10-25 16:00:00,expiry,5880,6170,98.4109,14.5052,83.9057,0.0000,0.0000,83.9057
2024-10-28 09:30:00,2024-10-28 09:30:00,direct_entry,2024-11-15 16:00:00,expiry,5960,6240,95.2455,14.6239,80.6216,0.0000,0.0000,80.6216
2024-11-20 02:00:00,2024-11-20 02:00:00,direct_entry,2024-12-06 16:00:00,expiry,6030,6300,92.9070,14.3257,78.5813,67.5000,0.0000,11.0813
2024-12-11 09:35:00,2024-12-11 09:35:00,direct_entry,2024-12-27 16:00:00,expiry,6160,6430,91.4005,14.1224,77.2781,0.0000,0.0000,77.2781
2025-01-03 14:40:00,2025-01-03 14:40:00,direct_entry,2025-01-17 16:00:00,expiry,6070,6320,84.1003,12.6967,71.4036,0.0000,0.0000,71.4036
2025-01-22 08:50:00,2025-01-22 08:50:00,direct_entry,2025-02-07 16:00:00,expiry,6200,6470,93.0813,14.7066,78.3747,0.0000,0.0000,78.3747
2025-02-10 00:35:00,2025-02-10 00:35:00,direct_entry,2025-02-28 16:00:00,expiry,6150,6450,101.5574,15.0159,86.5415,0.0000,0.0000,86.5415
2025-03-03 00:05:00,2025-03-03 00:05:00,direct_entry,2025-03-21 16:00:00,expiry,6050,6340,100.4901,15.4672,85.0229,0.0000,0.0000,85.0229
2025-03-23 23:15:00,2025-03-23 23:15:00,direct_entry,2025-04-11 16:00:00,expiry,5840,6120,93.6220,14.0521,79.5699,0.0000,0.0000,79.5699
2025-04-14 04:25:00,2025-04-14 04:25:00,direct_entry,2025-05-02 16:00:00,expiry,5550,5810,88.3777,13.7140,74.6638,161.7500,0.0000,-87.0862
2025-05-07 23:55:00,2025-05-07 23:55:00,direct_entry,2025-05-23 16:00:00,expiry,5770,6020,85.5324,13.1821,72.3503,40.0000,0.0000,32.3503
2025-05-25 22:30:00,2025-05-25 22:30:00,direct_entry,2025-06-13 16:00:00,expiry,5950,6240,98.9396,14.7762,84.1634,29.5000,0.0000,54.6634
2025-06-16 08:30:00,2025-06-16 08:30:00,direct_entry,2025-07-06 18:00:00,expiry,6160,6450,97.5610,14.8432,82.7178,142.5000,0.0000,-59.7822
2025-07-09 08:50:00,2025-07-09 08:50:00,direct_entry,2025-07-25 16:00:00,expiry,6370,6650,96.3734,15.0361,81.3373,53.0000,0.0000,28.3373
2025-07-28 01:55:00,2025-07-28 01:55:00,direct_entry,2025-08-15 16:00:00,expiry,6550,6860,104.4531,15.9616,88.4915,0.0000,0.0000,88.4915
2025-08-22 13:45:00,2025-08-22 13:45:00,direct_entry,2025-09-05 16:00:00,expiry,6570,6840,92.3434,14.1746,78.1688,0.0000,0.0000,78.1688
2025-09-09 16:00:00,2025-09-09 16:00:00,direct_entry,2025-09-26 16:00:00,expiry,6610,6910,100.8231,15.2743,85.5489,89.7500,0.0000,-4.2011
2025-09-28 18:50:00,2025-09-28 18:50:00,direct_entry,2025-10-17 16:00:00,expiry,6800,7120,110.2346,17.4160,92.8186,0.0000,0.0000,92.8186
2025-10-20 00:30:00,2025-10-20 00:30:00,direct_entry,2025-11-07 16:00:00,expiry,6820,7140,110.6526,17.4496,93.2029,0.0000,0.0000,93.2029
2025-11-10 10:10:00,2025-11-10 10:10:00,direct_entry,2025-11-30 18:00:00,expiry,6920,7250,112.7528,17.0270,95.7258,0.0000,0.0000,95.7258
2025-12-03 13:05:00,2025-12-03 13:05:00,direct_entry,2025-12-19 16:00:00,expiry,6950,7260,105.3135,15.8644,89.4491,0.0000,0.0000,89.4491
2025-12-21 20:40:00,2025-12-21 20:40:00,direct_entry,2026-01-09 16:00:00,expiry,7000,7340,116.2837,17.5230,98.7606,4.0000,0.0000,94.7606
2026-01-12 15:00:00,2026-01-12 15:00:00,direct_entry,2026-01-30 16:00:00,expiry,7120,7450,113.4754,17.7096,95.7657,0.0000,0.0000,95.7657
2026-02-02 10:40:00,2026-02-02 10:40:00,direct_entry,2026-02-20 16:00:00,expiry,7100,7430,112.3559,17.4631,94.8927,0.0000,0.0000,94.8927
2026-02-25 12:05:00,2026-02-25 12:05:00,direct_entry,2026-03-13 16:00:00,expiry,7040,7350,106.3982,16.4398,89.9584,0.0000,0.0000,89.9584
