entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-08 15:05:00,2024-01-08 15:05:00,direct_entry,2024-01-19 16:00:00,expiry,4840,5020,61.6542,9.1374,52.5168,33.2500,0.0000,19.2668
2024-01-11 02:10:00,2024-01-11 02:10:00,direct_entry,2024-01-19 16:00:00,expiry,4880,5030,51.9650,8.3583,43.6066,0.0000,0.0000,43.6066
2024-01-22 07:35:00,2024-01-22 07:35:00,direct_entry,2024-02-02 16:00:00,expiry,4940,5120,62.5316,9.7887,52.7429,36.5000,0.0000,16.2429
2024-01-22 10:00:00,2024-01-22 10:00:00,direct_entry,2024-02-02 16:00:00,expiry,4940,5130,63.0984,8.8555,54.2429,36.5000,0.0000,17.7429
2024-01-23 16:50:00,2024-01-23 16:50:00,direct_entry,2024-02-02 16:00:00,expiry,4950,5120,58.7215,9.0537,49.6678,26.5000,0.0000,23.1678
2024-02-09 07:50:00,2024-02-09 07:50:00,direct_entry,2024-02-16 16:00:00,expiry,5070,5220,50.8189,7.6281,43.1908,0.0000,0.0000,43.1908
2024-02-15 02:35:00,2024-02-15 02:35:00,direct_entry,2024-02-23 16:00:00,expiry,5070,5240,56.3656,7.8417,48.5239,28.0000,0.0000,20.5239
2024-02-15 13:40:00,2024-02-15 13:40:00,direct_entry,2024-02-23 16:00:00,expiry,5080,5240,55.0458,8.2330,46.8128,18.0000,0.0000,28.8128
2024-02-22 13:10:00,2024-02-22 13:10:00,direct_entry,2024-03-01 16:00:00,expiry,5130,5290,54.3917,8.1799,46.2118,75.3400,0.0000,-29.1282
2024-02-29 14:05:00,2024-02-29 14:05:00,direct_entry,2024-03-08 16:00:00,expiry,5210,5370,53.0983,7.9783,45.1200,0.0000,0.0000,45.1200
2024-02-29 15:55:00,2024-02-29 15:55:00,direct_entry,2024-03-08 16:00:00,expiry,5210,5370,53.4621,8.0221,45.4400,0.0000,0.0000,45.4400
2024-03-07 09:40:00,2024-03-07 09:40:00,direct_entry,2024-03-15 16:00:00,expiry,5250,5420,56.5194,8.0579,48.4615,0.0000,0.0000,48.4615
2024-03-12 01:40:00,2024-03-12 01:40:00,direct_entry,2024-03-22 16:00:00,expiry,5260,5450,64.5251,9.5989,54.9262,30.7500,0.0000,24.1762
2024-03-20 23:25:00,2024-03-20 23:25:00,direct_entry,2024-03-31 18:00:00,expiry,5360,5530,57.3129,8.7730,48.5399,0.0000,0.0000,48.5399
2024-03-21 01:00:00,2024-03-21 01:00:00,direct_entry,2024-03-31 18:00:00,expiry,5360,5530,57.7248,8.8376,48.8871,0.0000,0.0000,48.8871
2024-03-28 10:05:00,2024-03-28 10:05:00,direct_entry,2024-04-05 16:00:00,expiry,5360,5530,56.9648,8.3831,48.5817,0.0000,0.0000,48.5817
2024-04-04 04:35:00,2024-04-04 04:35:00,direct_entry,2024-04-12 16:00:00,expiry,5330,5500,58.1396,8.7826,49.3570,0.0000,0.0000,49.3570
2024-04-04 09:35:00,2024-04-04 09:35:00,direct_entry,2024-04-12 16:00:00,expiry,5350,5520,57.0236,8.3921,48.6315,0.0000,0.0000,48.6315
2024-04-09 09:30:00,2024-04-09 09:30:00,direct_entry,2024-04-19 16:00:00,expiry,5320,5510,64.4970,9.5297,54.9673,0.0000,0.0000,54.9673
2024-04-23 11:00:00,2024-04-23 11:00:00,direct_entry,2024-05-03 16:00:00,expiry,5150,5330,60.0172,8.9618,51.0554,8.5000,0.0000,42.5554
2024-04-23 14:05:00,2024-04-23 14:05:00,direct_entry,2024-05-03 16:00:00,expiry,5160,5340,62.2537,9.4912,52.7626,0.0000,0.0000,52.7626
2024-04-23 19:30:00,2024-04-23 19:30:00,direct_entry,2024-05-03 16:00:00,expiry,5170,5340,59.0568,9.5740,49.4827,0.0000,0.0000,49.4827
2024-05-06 05:55:00,2024-05-06 05:55:00,direct_entry,2024-05-17 16:00:00,expiry,5220,5420,67.7183,9.7956,57.9227,105.5000,0.0000,-47.5773
2024-05-06 10:15:00,2024-05-06 10:15:00,direct_entry,2024-05-17 16:00:00,expiry,5240,5430,65.2178,10.1178,55.1001,85.5000,0.0000,-30.3999
2024-05-06 23:30:00,2024-05-06 23:30:00,direct_entry,2024-05-17 16:00:00,expiry,5260,5450,65.0679,9.7952,55.2727,65.5000,0.0000,-10.2273
2024-06-06 08:20:00,2024-06-06 08:20:00,direct_entry,2024-06-14 16:00:00,expiry,5480,5660,59.5189,8.3290,51.1899,23.4700,0.0000,27.7199
2024-06-07 13:25:00,2024-06-07 13:25:00,direct_entry,2024-06-14 16:00:00,expiry,5490,5650,55.0240,8.3327,46.6913,13.4700,0.0000,33.2213
2024-06-11 21:55:00,2024-06-11 21:55:00,direct_entry,2024-06-21 16:00:00,expiry,5510,5700,62.7826,9.1900,53.5926,23.5000,0.0000,30.0926
