entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2025-08-06 21:45:00,2025-08-06 21:45:00,direct_entry,2025-08-11 16:00:00,expiry,3465,3545,22.7066,4.0714,18.6352,0.0000,0.0000,18.6352
2025-08-07 09:45:00,2025-08-07 09:45:00,direct_entry,2025-08-11 16:00:00,expiry,3475,3555,22.0088,3.5606,18.4482,0.0000,0.0000,18.4482
2025-08-13 06:05:00,2025-08-13 06:05:00,direct_entry,2025-08-18 16:00:00,expiry,3435,3525,24.7523,3.9589,20.7934,0.0000,0.0000,20.7934
2025-08-26 04:40:00,2025-08-26 04:40:00,direct_entry,2025-08-29 16:00:00,expiry,3440,3510,19.9467,3.3897,16.5570,76.0000,6.0000,-53.4430
2025-08-27 13:05:00,2025-08-27 13:05:00,direct_entry,2025-09-01 18:00:00,expiry,3470,3555,24.0701,4.1653,19.9048,77.2000,0.0000,-57.2952
2025-08-29 16:30:00,2025-08-29 16:30:00,direct_entry,2025-09-01 18:00:00,expiry,3530,3595,19.0950,3.4118,15.6832,17.2000,0.0000,-1.5168
2025-09-01 21:45:00,2025-09-01 21:45:00,direct_entry,2025-09-04 16:00:00,expiry,3580,3645,18.5614,3.1427,15.4187,26.5000,0.0000,-11.0813
2025-09-02 12:15:00,2025-09-02 12:15:00,direct_entry,2025-09-05 16:00:00,expiry,3605,3675,19.0824,3.1615,15.9209,37.1000,0.0000,-21.1791
2025-09-08 11:15:00,2025-09-08 11:15:00,direct_entry,2025-09-11 16:00:00,expiry,3700,3770,20.0010,3.5754,16.4255,0.0000,0.0000,16.4255
2025-09-09 01:50:00,2025-09-09 01:50:00,direct_entry,2025-09-12 16:00:00,expiry,3715,3790,21.7387,3.8772,17.8615,0.0000,0.0000,17.8615
2025-09-15 12:35:00,2025-09-15 12:35:00,direct_entry,2025-09-18 16:00:00,expiry,3735,3805,19.8927,3.5494,16.3434,0.0000,0.0000,16.3434
2025-09-16 04:50:00,2025-09-16 04:50:00,direct_entry,2025-09-19 16:00:00,expiry,3750,3825,21.6942,3.8127,17.8815,0.0000,0.0000,17.8815
2025-09-21 18:45:00,2025-09-21 18:45:00,direct_entry,2025-09-24 16:00:00,expiry,3740,3810,19.7100,3.2711,16.4390,23.4000,0.0000,-6.9610
2025-09-22 14:05:00,2025-09-22 14:05:00,direct_entry,2025-09-25 16:00:00,expiry,3800,3870,19.7220,3.5430,16.1790,0.0000,0.0000,16.1790
2025-09-26 14:00:00,2025-09-26 14:00:00,direct_entry,2025-09-29 16:00:00,expiry,3825,3900,21.1096,3.4295,17.6802,31.9000,0.0000,-14.2198
2025-09-28 23:15:00,2025-09-28 23:15:00,direct_entry,2025-10-01 16:00:00,expiry,3840,3910,19.7983,3.2509,16.5474,51.7000,0.0000,-35.1526
2025-09-30 22:10:00,2025-09-30 22:10:00,direct_entry,2025-10-03 16:00:00,expiry,3910,3980,20.6285,3.6115,17.0171,2.3000,0.0000,14.7171
2025-10-06 00:05:00,2025-10-06 00:05:00,direct_entry,2025-10-09 16:00:00,expiry,3975,4060,23.2376,3.7260,19.5116,17.6000,0.0000,1.9116
2025-10-06 12:10:00,2025-10-06 12:10:00,direct_entry,2025-10-09 16:00:00,expiry,3990,4065,21.7624,3.9218,17.8405,2.6000,0.0000,15.2405
2025-10-12 19:10:00,2025-10-12 19:10:00,direct_entry,2025-10-15 16:00:00,expiry,4085,4160,20.4104,3.4191,16.9913,141.9000,66.9000,-58.0087
