entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2025-07-25 08:30:00,2025-07-25 08:30:00,direct_entry,2025-08-22 16:00:00,expiry,3350,3245,48.8674,18.9385,29.9289,0.0000,0.0000,29.9289
2025-08-11 05:00:00,2025-08-11 05:00:00,direct_entry,2025-09-08 16:00:00,expiry,3370,3265,49.1738,19.2186,29.9552,0.0000,0.0000,29.9552
2025-08-11 06:00:00,2025-08-11 06:00:00,direct_entry,2025-09-08 16:00:00,expiry,3370,3260,50.2299,18.7551,31.4749,0.0000,0.0000,31.4749
2025-08-11 08:30:00,2025-08-11 08:30:00,direct_entry,2025-09-08 16:00:00,expiry,3365,3255,49.9758,18.5825,31.3933,0.0000,0.0000,31.3933
2025-08-12 07:30:00,2025-08-12 07:30:00,direct_entry,2025-09-09 16:00:00,expiry,3350,3240,50.0189,18.5438,31.4751,0.0000,0.0000,31.4751
2025-12-02 06:00:00,2025-12-02 06:00:00,direct_entry,2025-12-30 16:00:00,expiry,4170,4035,62.1488,23.4189,38.7299,0.0000,0.0000,38.7299
2026-02-01 20:30:00,2026-02-01 20:30:00,direct_entry,2026-03-02 16:00:00,expiry,4695,4545,68.8538,26.3531,42.5007,0.0000,0.0000,42.5007
2026-02-01 23:00:00,2026-02-01 23:00:00,direct_entry,2026-03-02 16:00:00,expiry,4625,4475,68.8998,26.0133,42.8864,0.0000,0.0000,42.8864
2026-02-02 02:00:00,2026-02-02 02:00:00,direct_entry,2026-03-02 16:00:00,expiry,4520,4370,67.7089,24.9058,42.8031,0.0000,0.0000,42.8031
2026-03-11 20:00:00,2026-03-11 20:00:00,direct_entry,2026-03-27 16:30:00,force_close,5130,4965,75.8639,28.4956,47.3683,608.7000,443.7000,-117.6317
2026-03-19 09:30:00,2026-03-19 09:30:00,direct_entry,2026-03-27 16:30:00,force_close,4595,4445,67.8863,25.2291,42.6572,73.7000,0.0000,-31.0428
2026-03-26 06:00:00,2026-03-26 06:00:00,direct_entry,2026-03-27 16:30:00,force_close,4410,4265,65.6985,24.3261,41.3724,0.0000,0.0000,41.3724
2026-03-26 16:00:00,2026-03-26 16:00:00,direct_entry,2026-03-27 16:30:00,force_close,4370,4230,63.5533,23.9225,39.6308,0.0000,0.0000,39.6308
