entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-04-09 10:00:00,2024-04-09 10:00:00,direct_entry,2024-04-19 16:00:00,expiry,160,170,2.5482,0.3997,2.1485,0.0000,0.0000,2.1485
2024-04-11 19:00:00,2024-04-11 19:00:00,direct_entry,2024-04-19 16:00:00,expiry,165,170,1.5171,0.5269,0.9903,0.0000,0.0000,0.9903
2024-05-17 17:00:00,2024-05-17 17:00:00,direct_entry,2024-05-24 16:00:00,expiry,180,190,2.2346,0.2793,1.9553,0.0000,0.0000,1.9553
2024-05-21 19:00:00,2024-05-21 19:00:00,direct_entry,2024-05-31 16:00:00,expiry,180,195,3.8686,0.3333,3.5354,0.0000,0.0000,3.5354
2024-06-12 10:00:00,2024-06-12 10:00:00,direct_entry,2024-06-21 16:00:00,expiry,180,190,3.2920,0.6484,2.6436,1.0400,0.0000,1.6036
2024-08-12 09:00:00,2024-08-12 09:00:00,direct_entry,2024-08-23 16:00:00,expiry,170,180,2.1042,0.3621,1.7421,0.0000,0.0000,1.7421
2024-09-13 14:00:00,2024-09-13 14:00:00,direct_entry,2024-09-20 16:00:00,expiry,160,170,2.2737,0.2299,2.0437,4.5800,0.0000,-2.5363
2024-09-18 09:00:00,2024-09-18 09:00:00,direct_entry,2024-09-27 16:00:00,expiry,165,175,1.9663,0.2602,1.7061,0.0000,0.0000,1.7061
2024-09-19 09:00:00,2024-09-19 09:00:00,direct_entry,2024-09-27 16:00:00,expiry,165,175,2.3713,0.3096,2.0618,0.0000,0.0000,2.0618
2024-09-23 09:00:00,2024-09-23 09:00:00,direct_entry,2024-10-04 16:00:00,expiry,170,180,2.1581,0.3755,1.7826,0.0000,0.0000,1.7826
2024-10-30 08:00:00,2024-10-30 08:00:00,direct_entry,2024-11-08 16:00:00,expiry,185,195,2.6414,0.4909,2.1505,0.0000,0.0000,2.1505
2024-12-12 04:00:00,2024-12-12 04:00:00,direct_entry,2024-12-20 16:00:00,expiry,200,210,3.0869,0.6422,2.4447,0.0000,0.0000,2.4447
2025-01-31 05:00:00,2025-01-31 05:00:00,direct_entry,2025-02-07 16:00:00,expiry,205,215,3.2829,0.6611,2.6218,0.0000,0.0000,2.6218
2025-02-04 16:00:00,2025-02-04 16:00:00,direct_entry,2025-02-14 16:00:00,expiry,195,210,3.5933,0.3566,3.2367,0.0000,0.0000,3.2367
2025-03-25 18:00:00,2025-03-25 18:00:00,direct_entry,2025-04-04 16:00:00,expiry,175,185,3.0720,0.5922,2.4798,0.0000,0.0000,2.4798
2025-05-05 15:00:00,2025-05-05 15:00:00,direct_entry,2025-05-16 16:00:00,expiry,170,180,2.3878,0.4266,1.9612,0.0000,0.0000,1.9612
2025-05-20 07:00:00,2025-05-20 07:00:00,direct_entry,2025-05-30 16:00:00,expiry,170,180,3.1461,0.6091,2.5370,2.5800,0.0000,-0.0430
2025-05-28 04:00:00,2025-05-28 04:00:00,direct_entry,2025-06-06 16:00:00,expiry,175,185,3.4133,0.6711,2.7422,0.0000,0.0000,2.7422
2025-06-10 13:00:00,2025-06-10 13:00:00,direct_entry,2025-06-20 16:00:00,expiry,185,195,2.1797,0.3973,1.7824,0.0000,0.0000,1.7824
2025-06-30 09:00:00,2025-06-30 09:00:00,direct_entry,2025-07-11 16:00:00,expiry,180,195,3.6322,0.3514,3.2808,1.1700,0.0000,2.1108
2025-07-03 04:00:00,2025-07-03 04:00:00,direct_entry,2025-07-11 16:00:00,expiry,180,190,3.5623,0.6854,2.8770,1.1700,0.0000,1.7070
2025-07-15 12:00:00,2025-07-15 12:00:00,direct_entry,2025-07-25 16:00:00,expiry,185,200,3.7847,0.3536,3.4311,8.9900,0.0000,-5.5589
2025-07-18 09:00:00,2025-07-18 09:00:00,direct_entry,2025-07-25 16:00:00,expiry,190,195,1.8361,0.7280,1.1081,3.9900,0.0000,-2.8819
2025-07-21 18:00:00,2025-07-21 18:00:00,direct_entry,2025-08-01 16:00:00,expiry,195,205,2.9698,0.6996,2.2702,0.0000,0.0000,2.2702
2025-07-24 09:00:00,2025-07-24 09:00:00,direct_entry,2025-08-01 16:00:00,expiry,195,210,3.7720,0.3089,3.4631,0.0000,0.0000,3.4631
2025-11-12 06:00:00,2025-11-12 06:00:00,direct_entry,2025-11-21 16:00:00,expiry,300,315,3.8013,0.7826,3.0186,0.0000,0.0000,3.0186
2025-11-20 11:00:00,2025-11-20 11:00:00,direct_entry,2025-11-28 16:00:00,expiry,300,315,3.9830,0.7536,3.2294,19.8500,4.8500,-11.7706
2025-12-23 18:00:00,2025-12-23 18:00:00,direct_entry,2026-01-02 16:00:00,expiry,320,340,5.5519,0.8845,4.6673,0.0000,0.0000,4.6673
2026-01-15 09:00:00,2026-01-15 09:00:00,direct_entry,2026-01-23 16:00:00,expiry,340,355,4.5006,1.0723,3.4283,0.0000,0.0000,3.4283
2026-02-25 10:00:00,2026-02-25 10:00:00,direct_entry,2026-03-06 16:00:00,expiry,315,330,4.6225,1.0870,3.5356,0.0000,0.0000,3.5356
