entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-09 13:15:00,2024-01-09 13:15:00,direct_entry,2024-01-26 16:00:00,expiry,145,155,3.1827,0.7178,2.4649,8.6600,0.0000,-6.1951
2024-01-10 05:00:00,2024-01-10 05:00:00,direct_entry,2024-01-26 16:00:00,expiry,145,155,3.2868,0.7318,2.5550,8.6600,0.0000,-6.1050
2024-01-18 08:30:00,2024-01-18 08:30:00,direct_entry,2024-02-02 16:00:00,expiry,145,155,3.5198,0.7690,2.7508,0.0000,0.0000,2.7508
2024-01-18 19:30:00,2024-01-18 19:30:00,direct_entry,2024-02-02 16:00:00,expiry,150,160,2.2361,0.4081,1.8281,0.0000,0.0000,1.8281
2024-01-19 07:00:00,2024-01-19 07:00:00,direct_entry,2024-02-02 16:00:00,expiry,150,160,2.6032,0.4948,2.1084,0.0000,0.0000,2.1084
2024-01-24 11:00:00,2024-01-24 11:00:00,direct_entry,2024-02-09 16:00:00,expiry,155,165,2.6560,0.5833,2.0727,0.0000,0.0000,2.0727
2024-01-25 08:00:00,2024-01-25 08:00:00,direct_entry,2024-02-09 16:00:00,expiry,155,165,2.7278,0.5820,2.1458,0.0000,0.0000,2.1458
2024-01-25 12:00:00,2024-01-25 12:00:00,direct_entry,2024-02-09 16:00:00,expiry,155,170,4.0200,0.4258,3.5942,0.0000,0.0000,3.5942
2024-02-01 10:00:00,2024-02-01 10:00:00,direct_entry,2024-02-16 16:00:00,expiry,145,155,3.3569,0.7151,2.6418,0.0000,0.0000,2.6418
2024-02-02 08:00:00,2024-02-02 08:00:00,direct_entry,2024-02-16 16:00:00,expiry,145,155,3.3509,0.6818,2.6691,0.0000,0.0000,2.6691
2024-02-05 08:15:00,2024-02-05 08:15:00,direct_entry,2024-02-23 16:00:00,expiry,145,160,4.0408,0.4621,3.5786,0.2500,0.0000,3.3286
2024-02-07 15:45:00,2024-02-07 15:45:00,direct_entry,2024-02-23 16:00:00,expiry,150,160,2.8830,0.6216,2.2615,0.0000,0.0000,2.2615
2024-02-09 13:15:00,2024-02-09 13:15:00,direct_entry,2024-02-23 16:00:00,expiry,155,165,2.2530,0.4160,1.8370,0.0000,0.0000,1.8370
2024-03-13 11:15:00,2024-03-13 11:15:00,direct_entry,2024-04-01 04:00:00,expiry,145,155,2.4749,0.4807,1.9942,7.5800,0.0000,-5.5858
2024-03-13 13:00:00,2024-03-13 13:00:00,direct_entry,2024-04-01 04:00:00,expiry,145,155,2.7986,0.5716,2.2270,7.5800,0.0000,-5.3530
2024-03-14 11:30:00,2024-03-14 11:30:00,direct_entry,2024-04-01 04:00:00,expiry,145,155,3.4180,0.7322,2.6858,7.5800,0.0000,-4.8942
2024-04-09 18:45:00,2024-04-09 18:45:00,direct_entry,2024-04-26 16:00:00,expiry,160,175,4.1195,0.5287,3.5907,13.5000,0.0000,-9.9093
2024-04-24 16:00:00,2024-04-24 16:00:00,direct_entry,2024-05-10 16:00:00,expiry,160,170,3.2522,0.7999,2.4524,10.1200,0.1200,-7.5476
2024-05-03 09:15:00,2024-05-03 09:15:00,direct_entry,2024-05-17 16:00:00,expiry,170,185,4.4290,0.5629,3.8661,7.2500,0.0000,-3.3839
2024-05-07 12:45:00,2024-05-07 12:45:00,direct_entry,2024-05-24 16:00:00,expiry,175,190,4.2848,0.6677,3.6171,1.4100,0.0000,2.2071
2024-05-15 11:00:00,2024-05-15 11:00:00,direct_entry,2024-05-31 16:00:00,expiry,175,190,4.2360,0.6234,3.6125,0.0000,0.0000,3.6125
2024-05-15 16:00:00,2024-05-15 16:00:00,direct_entry,2024-05-31 16:00:00,expiry,175,190,4.3578,0.6442,3.7136,0.0000,0.0000,3.7136
2024-05-16 11:45:00,2024-05-16 11:45:00,direct_entry,2024-05-31 16:00:00,expiry,180,190,3.1589,0.8527,2.3061,0.0000,0.0000,2.3061
2024-05-17 13:15:00,2024-05-17 13:15:00,direct_entry,2024-05-31 16:00:00,expiry,180,195,3.6319,0.4491,3.1828,0.0000,0.0000,3.1828
2024-06-12 10:00:00,2024-06-12 10:00:00,direct_entry,2024-06-28 16:00:00,expiry,185,195,3.0658,0.8784,2.1874,0.0000,0.0000,2.1874
