entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-22 10:15:00,2024-01-22 10:15:00,direct_entry,2024-02-14 16:00:00,expiry,405,455,12.8909,2.3682,10.5227,0.0000,0.0000,10.5227
2024-02-15 10:25:00,2024-02-15 10:25:00,direct_entry,2024-03-13 16:00:00,expiry,395,450,15.1969,2.7603,12.4366,0.0000,0.0000,12.4366
2024-03-19 12:55:00,2024-03-19 12:55:00,direct_entry,2024-04-10 16:00:00,expiry,400,450,13.5558,2.4049,11.1510,0.7600,0.0000,10.3910
2024-04-29 09:55:00,2024-04-29 09:55:00,direct_entry,2024-05-22 16:00:00,expiry,445,500,14.0161,2.5579,11.4582,17.9000,0.0000,-6.4418
2024-05-31 13:25:00,2024-05-31 13:25:00,direct_entry,2024-06-26 16:00:00,expiry,465,530,16.8331,2.8386,13.9945,0.0000,0.0000,13.9945
2024-07-01 12:50:00,2024-07-01 12:50:00,direct_entry,2024-07-24 16:00:00,expiry,475,535,16.0031,2.8777,13.1254,11.5800,0.0000,1.5454
2024-07-26 10:10:00,2024-07-26 10:10:00,direct_entry,2024-08-21 16:00:00,expiry,515,585,18.6001,3.3290,15.2710,0.0000,0.0000,15.2710
2024-09-05 14:55:00,2024-09-05 14:55:00,direct_entry,2024-10-02 16:00:00,expiry,505,575,17.9550,3.1468,14.8082,0.0000,0.0000,14.8082
2024-10-09 11:55:00,2024-10-09 11:55:00,direct_entry,2024-10-30 16:00:00,expiry,520,580,16.1307,3.0898,13.0409,4.4000,0.0000,8.6409
2024-11-06 05:30:00,2024-11-06 05:30:00,direct_entry,2024-11-27 16:00:00,expiry,580,650,18.0955,3.2186,14.8769,25.4300,0.0000,-10.5531
2024-12-11 12:15:00,2024-12-11 12:15:00,direct_entry,2025-01-02 04:30:00,expiry,605,680,19.7853,3.3745,16.4109,0.0000,0.0000,16.4109
2025-01-15 14:10:00,2025-01-15 14:10:00,direct_entry,2025-02-05 16:00:00,expiry,620,695,20.8396,3.7727,17.0669,24.2300,0.0000,-7.1631
2025-02-06 10:00:00,2025-02-06 10:00:00,direct_entry,2025-03-05 16:00:00,expiry,675,770,24.3823,4.2046,20.1778,0.0000,0.0000,20.1778
2025-03-17 13:40:00,2025-03-17 13:40:00,direct_entry,2025-04-09 16:00:00,expiry,570,640,18.5093,3.4502,15.0591,0.0000,0.0000,15.0591
2025-04-14 09:00:00,2025-04-14 09:00:00,direct_entry,2025-05-07 16:00:00,expiry,525,590,17.2933,3.2169,14.0764,28.0000,0.0000,-13.9236
2025-05-08 12:15:00,2025-05-08 12:15:00,direct_entry,2025-06-04 16:00:00,expiry,590,670,21.0212,3.8642,17.1570,8.0000,0.0000,9.1570
2025-06-20 13:00:00,2025-06-20 13:00:00,direct_entry,2025-07-16 16:00:00,expiry,660,750,23.6103,4.1632,19.4471,48.8200,0.0000,-29.3729
2025-07-17 14:50:00,2025-07-17 14:50:00,direct_entry,2025-08-13 16:00:00,expiry,735,835,26.0614,4.7326,21.3288,9.6900,0.0000,11.6388
2025-09-04 15:45:00,2025-09-04 15:45:00,direct_entry,2025-10-01 16:00:00,expiry,770,880,28.8580,4.8805,23.9775,15.5600,0.0000,8.4175
2025-10-03 09:55:00,2025-10-03 09:55:00,direct_entry,2025-10-29 16:00:00,expiry,810,920,28.3562,5.0089,23.3473,0.0000,0.0000,23.3473
2025-11-05 15:50:00,2025-11-05 15:50:00,direct_entry,2025-11-26 16:00:00,expiry,815,915,26.7903,4.6494,22.1410,1.0100,0.0000,21.1310
2025-11-28 11:00:00,2025-11-28 11:00:00,direct_entry,2025-12-24 16:20:00,expiry,855,970,30.6475,5.5726,25.0749,55.0200,0.0000,-29.9451
2026-01-02 14:00:00,2026-01-02 14:00:00,direct_entry,2026-01-28 16:00:00,expiry,930,1060,34.1197,5.7880,28.3317,7.0400,0.0000,21.2917
2026-02-02 14:20:00,2026-02-02 14:20:00,direct_entry,2026-02-25 16:00:00,expiry,975,1100,32.7785,5.7036,27.0749,0.0000,0.0000,27.0749
2026-02-26 08:00:00,2026-02-26 08:00:00,direct_entry,2026-03-25 16:00:00,expiry,950,1080,34.5268,6.3288,28.1980,0.0000,0.0000,28.1980
