entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-26 09:30:00,2024-01-26 09:30:00,direct_entry,2024-02-16 16:00:00,expiry,370,355,6.5516,2.4794,4.0722,0.0000,0.0000,4.0722
2024-01-26 10:30:00,2024-01-26 10:30:00,direct_entry,2024-02-16 16:00:00,expiry,370,355,6.7051,2.5514,4.1537,0.0000,0.0000,4.1537
2024-01-29 09:45:00,2024-01-29 09:45:00,direct_entry,2024-02-20 05:20:00,expiry,370,355,7.7761,3.0826,4.6935,0.0000,0.0000,4.6935
2024-02-01 10:25:00,2024-02-01 10:25:00,direct_entry,2024-02-22 16:00:00,expiry,375,360,6.6290,2.5430,4.0859,0.0000,0.0000,4.0859
2024-02-28 09:30:00,2024-02-28 09:30:00,direct_entry,2024-03-20 16:00:00,expiry,380,365,7.0698,2.7902,4.2796,0.0000,0.0000,4.2796
2024-03-05 09:30:00,2024-03-05 09:30:00,direct_entry,2024-03-26 16:00:00,expiry,385,370,7.4227,2.9975,4.4252,0.0000,0.0000,4.4252
2024-03-05 15:30:00,2024-03-05 15:30:00,direct_entry,2024-03-26 16:00:00,expiry,385,370,7.8805,3.2191,4.6614,0.0000,0.0000,4.6614
2024-03-14 15:35:00,2024-03-14 15:35:00,direct_entry,2024-04-04 16:00:00,expiry,380,365,7.6847,3.0870,4.5976,0.0000,0.0000,4.5976
2024-03-18 10:45:00,2024-03-18 10:45:00,direct_entry,2024-04-08 16:00:00,expiry,380,360,8.3909,2.4378,5.9531,0.0000,0.0000,5.9531
2024-03-25 13:05:00,2024-03-25 13:05:00,direct_entry,2024-04-15 16:00:00,expiry,395,380,6.9771,2.8214,4.1557,0.0000,0.0000,4.1557
2024-04-05 10:10:00,2024-04-05 10:10:00,direct_entry,2024-04-26 16:00:00,expiry,395,380,7.6494,3.1725,4.4770,0.0000,0.0000,4.4770
2024-04-10 15:05:00,2024-04-10 15:05:00,direct_entry,2024-05-01 16:00:00,expiry,395,375,8.6218,2.6254,5.9963,0.0000,0.0000,5.9963
2024-04-16 10:40:00,2024-04-16 10:40:00,direct_entry,2024-05-07 16:00:00,expiry,395,375,8.7963,2.7093,6.0871,0.0000,0.0000,6.0871
2024-05-07 15:05:00,2024-05-07 15:05:00,direct_entry,2024-05-28 16:00:00,expiry,435,420,8.3303,3.7612,4.5691,0.0000,0.0000,4.5691
2024-05-20 14:25:00,2024-05-20 14:25:00,direct_entry,2024-06-10 16:00:00,expiry,455,440,8.3016,3.8577,4.4438,0.0000,0.0000,4.4438
2024-05-22 12:50:00,2024-05-22 12:50:00,direct_entry,2024-06-12 16:00:00,expiry,455,435,8.4689,2.9513,5.5175,6.3000,0.0000,-0.7825
2024-06-12 14:30:00,2024-06-12 14:30:00,direct_entry,2024-07-05 08:30:00,expiry,440,425,7.9534,3.5818,4.3715,0.0000,0.0000,4.3715
2024-06-13 10:35:00,2024-06-13 10:35:00,direct_entry,2024-07-05 08:30:00,expiry,435,420,8.2855,3.7468,4.5387,0.0000,0.0000,4.5387
2024-07-09 10:40:00,2024-07-09 10:40:00,direct_entry,2024-07-30 16:00:00,expiry,455,435,9.5192,3.4415,6.0777,0.0000,0.0000,6.0777
2024-07-29 14:15:00,2024-07-29 14:15:00,direct_entry,2024-08-19 16:00:00,expiry,485,465,9.6214,3.6728,5.9486,0.0000,0.0000,5.9486
2024-08-01 13:40:00,2024-08-01 13:40:00,direct_entry,2024-08-22 16:00:00,expiry,490,470,10.3613,4.0733,6.2880,0.0000,0.0000,6.2880
2024-08-02 11:05:00,2024-08-02 11:05:00,direct_entry,2024-08-23 16:00:00,expiry,470,450,9.7757,3.6611,6.1146,0.0000,0.0000,6.1146
2024-08-02 13:50:00,2024-08-02 13:50:00,direct_entry,2024-08-23 16:00:00,expiry,460,440,8.7478,3.1059,5.6419,0.0000,0.0000,5.6419
2024-08-20 15:45:00,2024-08-20 15:45:00,direct_entry,2024-09-10 16:00:00,expiry,490,470,10.3388,4.0557,6.2831,22.8700,2.8700,-13.7169
2024-08-21 13:50:00,2024-08-21 13:50:00,direct_entry,2024-09-11 16:00:00,expiry,485,465,9.2462,3.4918,5.7544,13.8300,0.0000,-8.0756
2024-08-28 14:30:00,2024-08-28 14:30:00,direct_entry,2024-09-18 16:00:00,expiry,490,470,9.7592,3.7709,5.9883,5.4200,0.0000,0.5683
2024-09-03 15:10:00,2024-09-03 15:10:00,direct_entry,2024-09-24 16:00:00,expiry,480,460,9.7600,3.7064,6.0537,0.0000,0.0000,6.0537
2024-09-06 14:40:00,2024-09-06 14:40:00,direct_entry,2024-09-27 16:00:00,expiry,470,450,9.3924,3.4672,5.9253,0.0000,0.0000,5.9253
2024-09-10 12:05:00,2024-09-10 12:05:00,direct_entry,2024-10-01 16:00:00,expiry,455,435,8.7486,3.0803,5.6683,0.0000,0.0000,5.6683
2024-09-18 10:35:00,2024-09-18 10:35:00,direct_entry,2024-10-09 16:00:00,expiry,475,455,9.7816,3.6979,6.0837,0.0000,0.0000,6.0837
2024-10-01 13:30:00,2024-10-01 13:30:00,direct_entry,2024-10-22 16:00:00,expiry,480,460,9.2933,3.4850,5.8082,0.0000,0.0000,5.8082
2024-10-17 15:25:00,2024-10-17 15:25:00,direct_entry,2024-11-07 16:00:00,expiry,520,500,9.7815,3.9605,5.8210,0.0000,0.0000,5.8210
2024-10-18 09:35:00,2024-10-18 09:35:00,direct_entry,2024-11-08 16:00:00,expiry,520,495,10.6924,3.4411,7.2513,0.0000,0.0000,7.2513
2024-10-21 11:35:00,2024-10-21 11:35:00,direct_entry,2024-11-11 16:00:00,expiry,510,490,9.6432,3.8426,5.8006,0.0000,0.0000,5.8006
2024-10-25 13:45:00,2024-10-25 13:45:00,direct_entry,2024-11-15 16:00:00,expiry,505,480,10.7535,3.3535,7.4000,0.0000,0.0000,7.4000
2024-11-07 13:40:00,2024-11-07 13:40:00,direct_entry,2024-11-29 07:20:00,expiry,575,550,11.8193,4.2948,7.5245,0.0000,0.0000,7.5245
2024-11-18 14:40:00,2024-11-18 14:40:00,direct_entry,2024-12-09 16:00:00,expiry,575,550,11.2308,4.0162,7.2145,0.0000,0.0000,7.2145
2024-11-20 10:15:00,2024-11-20 10:15:00,direct_entry,2024-12-11 16:00:00,expiry,570,550,10.7569,4.7797,5.9772,0.0000,0.0000,5.9772
2024-11-20 14:10:00,2024-11-20 14:10:00,direct_entry,2024-12-11 16:00:00,expiry,565,545,10.4290,4.5615,5.8675,0.0000,0.0000,5.8675
2024-12-13 12:40:00,2024-12-13 12:40:00,direct_entry,2025-01-03 16:00:00,expiry,575,550,11.2899,4.0503,7.2396,0.0000,0.0000,7.2396
2024-12-17 13:40:00,2024-12-17 13:40:00,direct_entry,2025-01-07 16:00:00,expiry,565,540,12.0722,4.3478,7.7244,0.0000,0.0000,7.7244
2024-12-20 15:35:00,2024-12-20 15:35:00,direct_entry,2025-01-10 16:00:00,expiry,560,535,11.7639,4.1637,7.6002,0.0000,0.0000,7.6002
2025-02-03 08:00:00,2025-02-03 08:00:00,direct_entry,2025-02-24 16:00:00,expiry,615,590,12.7684,5.0366,7.7317,0.0000,0.0000,7.7317
2025-03-04 10:20:00,2025-03-04 10:20:00,direct_entry,2025-03-25 16:00:00,expiry,560,540,10.5268,4.5974,5.9293,0.0000,0.0000,5.9293
2025-03-06 12:40:00,2025-03-06 12:40:00,direct_entry,2025-03-27 16:00:00,expiry,565,540,11.9490,4.2934,7.6556,6.0800,0.0000,1.5756
2025-03-07 11:55:00,2025-03-07 11:55:00,direct_entry,2025-03-28 16:00:00,expiry,540,515,11.5868,3.9609,7.6260,0.0000,0.0000,7.6260
2025-03-10 12:30:00,2025-03-10 12:30:00,direct_entry,2025-03-31 16:00:00,expiry,525,505,10.6350,4.4406,6.1945,0.0000,0.0000,6.1945
2025-03-10 13:50:00,2025-03-10 13:50:00,direct_entry,2025-03-31 16:00:00,expiry,515,495,9.4881,3.7875,5.7006,0.0000,0.0000,5.7006
2025-03-28 13:35:00,2025-03-28 13:35:00,direct_entry,2025-04-21 04:00:00,expiry,530,505,10.9383,3.6004,7.3379,23.8400,0.0000,-16.5021
2025-04-04 07:00:00,2025-04-04 07:00:00,direct_entry,2025-04-25 16:00:00,expiry,480,460,10.2878,3.9902,6.2976,0.0000,0.0000,6.2976
