entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-05-06 12:00:00,2024-05-06 12:00:00,direct_entry,2024-05-17 16:00:00,expiry,450,490,11.1825,1.9039,9.2785,14.9000,0.0000,-5.6215
2024-05-10 07:00:00,2024-05-10 07:00:00,direct_entry,2024-05-17 16:00:00,expiry,465,495,7.8279,1.4943,6.3336,0.0000,0.0000,6.3336
2024-05-20 12:00:00,2024-05-20 12:00:00,direct_entry,2024-05-31 16:00:00,expiry,480,520,10.8151,1.9986,8.8165,0.0000,0.0000,8.8165
2024-07-03 13:00:00,2024-07-03 13:00:00,direct_entry,2024-07-12 16:00:00,expiry,475,515,10.6156,1.6069,9.0088,5.0000,0.0000,4.0088
2024-07-11 09:00:00,2024-07-11 09:00:00,direct_entry,2024-07-19 16:00:00,expiry,485,525,10.7138,1.5458,9.1679,0.0000,0.0000,9.1679
2024-07-11 11:00:00,2024-07-11 11:00:00,direct_entry,2024-07-19 16:00:00,expiry,490,525,9.4608,1.7176,7.7432,0.0000,0.0000,7.7432
2024-08-09 13:00:00,2024-08-09 13:00:00,direct_entry,2024-08-16 16:00:00,expiry,495,530,9.8232,1.6407,8.1825,9.2600,0.0000,-1.0775
2024-08-14 09:00:00,2024-08-14 09:00:00,direct_entry,2024-08-23 16:00:00,expiry,500,540,10.1298,1.6556,8.4742,9.5500,0.0000,-1.0758
2025-02-06 16:00:00,2025-02-06 16:00:00,direct_entry,2025-02-14 16:00:00,expiry,670,715,12.1412,2.3638,9.7774,0.0000,0.0000,9.7774
2025-05-01 08:00:00,2025-05-01 08:00:00,direct_entry,2025-05-09 16:00:00,expiry,555,595,11.2246,2.0720,9.1526,12.2500,0.0000,-3.0974
2025-05-02 15:00:00,2025-05-02 15:00:00,direct_entry,2025-05-09 16:00:00,expiry,575,615,10.6534,1.7601,8.8933,0.0000,0.0000,8.8933
2025-06-30 09:00:00,2025-06-30 09:00:00,direct_entry,2025-07-11 16:00:00,expiry,725,785,16.0715,3.0142,13.0572,0.0000,0.0000,13.0572
2025-07-28 08:00:00,2025-07-28 08:00:00,direct_entry,2025-08-08 16:00:00,expiry,745,810,17.2287,2.9769,14.2518,0.0000,0.0000,14.2518
2025-07-30 13:00:00,2025-07-30 13:00:00,direct_entry,2025-08-08 16:00:00,expiry,750,805,14.7035,2.7794,11.9241,0.0000,0.0000,11.9241
2025-09-10 13:00:00,2025-09-10 13:00:00,direct_entry,2025-09-19 16:00:00,expiry,785,845,15.4703,2.7003,12.7700,19.9900,0.0000,-7.2200
2025-09-11 14:00:00,2025-09-11 14:00:00,direct_entry,2025-09-19 16:00:00,expiry,795,855,16.3476,2.6993,13.6483,9.9900,0.0000,3.6583
2025-09-17 16:00:00,2025-09-17 16:00:00,direct_entry,2025-09-26 16:00:00,expiry,805,870,17.5036,2.8278,14.6758,0.0000,0.0000,14.6758
2025-09-18 08:00:00,2025-09-18 08:00:00,direct_entry,2025-09-26 16:00:00,expiry,815,875,15.5492,2.6733,12.8760,0.0000,0.0000,12.8760
2025-09-18 11:00:00,2025-09-18 11:00:00,direct_entry,2025-09-26 16:00:00,expiry,815,875,15.7381,2.6873,13.0509,0.0000,0.0000,13.0509
2025-11-28 12:00:00,2025-11-28 12:00:00,direct_entry,2025-12-05 16:00:00,expiry,840,895,15.2026,2.8504,12.3521,14.6100,0.0000,-2.2579
2025-12-08 10:00:00,2025-12-08 10:00:00,direct_entry,2025-12-19 16:00:00,expiry,880,960,21.1558,3.3985,17.7573,14.1800,0.0000,3.5773
2025-12-09 12:00:00,2025-12-09 12:00:00,direct_entry,2025-12-19 16:00:00,expiry,890,965,20.5731,3.4823,17.0908,4.1800,0.0000,12.9108
