entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-07 09:30:00,2024-02-07 09:30:00,direct_entry,2024-02-14 16:00:00,expiry,390,420,7.5489,1.0499,6.4990,0.0000,0.0000,6.4990
2024-02-12 13:15:00,2024-02-12 13:15:00,direct_entry,2024-02-21 16:00:00,expiry,400,435,9.3109,1.3196,7.9913,0.0000,0.0000,7.9913
2024-02-29 09:30:00,2024-02-29 09:30:00,direct_entry,2024-03-13 16:00:00,expiry,405,440,9.2908,1.8504,7.4404,0.0000,0.0000,7.4404
2024-03-21 12:00:00,2024-03-21 12:00:00,direct_entry,2024-04-03 16:00:00,expiry,420,460,11.3804,2.0190,9.3614,0.0000,0.0000,9.3614
2024-04-23 12:30:00,2024-04-23 12:30:00,direct_entry,2024-05-01 16:00:00,expiry,430,460,8.6779,1.6745,7.0035,0.0000,0.0000,7.0035
2024-05-07 09:45:00,2024-05-07 09:45:00,direct_entry,2024-05-15 16:00:00,expiry,455,485,8.1462,1.6731,6.4731,11.0900,0.0000,-4.6169
2024-05-07 11:00:00,2024-05-07 11:00:00,direct_entry,2024-05-15 16:00:00,expiry,455,490,8.7112,1.3486,7.3626,11.0900,0.0000,-3.7274
2024-05-09 15:45:00,2024-05-09 15:45:00,direct_entry,2024-05-22 16:00:00,expiry,465,510,12.0014,1.9895,10.0119,0.0000,0.0000,10.0119
2024-05-17 13:00:00,2024-05-17 13:00:00,direct_entry,2024-05-29 16:00:00,expiry,480,520,10.7997,2.1284,8.6713,0.0000,0.0000,8.6713
2024-05-21 13:00:00,2024-05-21 13:00:00,direct_entry,2024-05-29 16:00:00,expiry,480,515,8.6877,1.4534,7.2343,0.0000,0.0000,7.2343
2024-05-21 14:00:00,2024-05-21 14:00:00,direct_entry,2024-05-29 16:00:00,expiry,480,515,8.9667,1.5167,7.4500,0.0000,0.0000,7.4500
2024-07-16 11:00:00,2024-07-16 11:00:00,direct_entry,2024-07-24 16:00:00,expiry,510,550,10.5200,1.6225,8.8975,0.0000,0.0000,8.8975
2024-07-31 12:45:00,2024-07-31 12:45:00,direct_entry,2024-08-07 16:00:00,expiry,520,555,9.7339,1.7499,7.9840,0.0000,0.0000,7.9840
2024-08-08 15:15:00,2024-08-08 15:15:00,direct_entry,2024-08-21 16:00:00,expiry,495,545,13.3396,2.0663,11.2732,1.4600,0.0000,9.8132
2024-08-09 11:45:00,2024-08-09 11:45:00,direct_entry,2024-08-21 16:00:00,expiry,500,545,11.5163,1.9805,9.5358,0.0000,0.0000,9.5358
2024-08-09 13:30:00,2024-08-09 13:30:00,direct_entry,2024-08-21 16:00:00,expiry,500,545,12.0699,2.1132,9.9566,0.0000,0.0000,9.9566
2024-10-28 13:45:00,2024-10-28 13:45:00,direct_entry,2024-11-06 16:00:00,expiry,535,575,10.2274,1.8343,8.3930,60.6300,20.6300,-31.6070
2024-11-22 12:30:00,2024-11-22 12:30:00,direct_entry,2024-12-04 16:00:00,expiry,615,670,14.7495,2.6149,12.1346,0.0000,0.0000,12.1346
2024-11-29 12:45:00,2024-11-29 12:45:00,direct_entry,2024-12-11 16:00:00,expiry,620,680,15.8730,2.4632,13.4098,0.0000,0.0000,13.4098
2025-01-06 12:30:00,2025-01-06 12:30:00,direct_entry,2025-01-15 16:00:00,expiry,600,645,12.7034,2.3874,10.3160,3.5400,0.0000,6.7760
2025-01-15 08:00:00,2025-01-15 08:00:00,direct_entry,2025-01-22 16:00:00,expiry,590,630,11.4375,2.1074,9.3300,43.0000,3.0000,-30.6700
2025-01-28 15:15:00,2025-01-28 15:15:00,direct_entry,2025-02-05 16:00:00,expiry,650,695,12.0553,2.2444,9.8109,0.0000,0.0000,9.8109
2025-01-29 10:45:00,2025-01-29 10:45:00,direct_entry,2025-02-05 16:00:00,expiry,655,700,12.0953,2.0915,10.0038,0.0000,0.0000,10.0038
2025-01-30 14:15:00,2025-01-30 14:15:00,direct_entry,2025-02-12 16:00:00,expiry,660,725,17.5989,2.8713,14.7276,0.0000,0.0000,14.7276
2025-01-31 09:30:00,2025-01-31 09:30:00,direct_entry,2025-02-12 16:00:00,expiry,660,720,16.6824,2.9615,13.7209,0.0000,0.0000,13.7209
2025-02-06 09:15:00,2025-02-06 09:15:00,direct_entry,2025-02-19 16:00:00,expiry,665,730,16.7717,2.7394,14.0323,3.1500,0.0000,10.8823
2025-02-06 10:15:00,2025-02-06 10:15:00,direct_entry,2025-02-19 16:00:00,expiry,665,730,17.6209,2.9438,14.6771,3.1500,0.0000,11.5271
