entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-15 10:00:00,2024-02-15 10:00:00,direct_entry,2024-03-15 16:00:00,expiry,47.0000,57.0000,2.5129,0.4892,2.0238,0.0000,0.0000,2.0238
2024-03-28 12:00:00,2024-03-28 12:00:00,direct_entry,2024-04-26 16:00:00,expiry,46.5000,56.5000,2.4440,0.4618,1.9822,0.0000,0.0000,1.9822
2024-05-07 12:00:00,2024-05-07 12:00:00,direct_entry,2024-06-07 16:00:00,expiry,32.5000,40.0000,1.9252,0.3571,1.5681,0.0000,0.0000,1.5681
2024-05-20 11:00:00,2024-05-20 11:00:00,direct_entry,2024-06-21 16:00:00,expiry,34.0000,41.5000,1.8638,0.3721,1.4917,0.0000,0.0000,1.4917
2024-06-12 10:00:00,2024-06-12 10:00:00,direct_entry,2024-07-12 16:00:00,expiry,32.5000,39.5000,1.7844,0.3535,1.4309,2.0300,0.0000,-0.5991
2024-08-14 08:00:00,2024-08-14 08:00:00,direct_entry,2024-09-13 16:00:00,expiry,21.5000,26.5000,1.2522,0.2218,1.0304,0.0000,0.0000,1.0304
2024-09-16 12:00:00,2024-09-16 12:00:00,direct_entry,2024-10-18 16:00:00,expiry,21.0000,26.0000,1.3078,0.2408,1.0669,1.7800,0.0000,-0.7131
2024-11-07 16:00:00,2024-11-07 16:00:00,direct_entry,2024-12-06 16:00:00,expiry,27.5000,33.5000,1.5317,0.2881,1.2436,0.0000,0.0000,1.2436
2025-01-02 10:00:00,2025-01-02 10:00:00,direct_entry,2025-01-31 16:00:00,expiry,21.5000,26.0000,1.0822,0.2112,0.8710,0.0000,0.0000,0.8710
2025-01-06 10:00:00,2025-01-06 10:00:00,direct_entry,2025-02-07 16:00:00,expiry,21.5000,26.5000,1.2583,0.2355,1.0228,0.0000,0.0000,1.0228
2025-02-13 14:00:00,2025-02-13 14:00:00,direct_entry,2025-03-14 16:00:00,expiry,25.5000,31.0000,1.4230,0.2743,1.1487,0.0000,0.0000,1.1487
2025-04-24 14:00:00,2025-04-24 14:00:00,direct_entry,2025-05-23 16:00:00,expiry,22.5000,27.5000,1.1782,0.2084,0.9698,0.0000,0.0000,0.9698
2025-05-08 09:00:00,2025-05-08 09:00:00,direct_entry,2025-06-06 16:00:00,expiry,22.0000,26.5000,1.1039,0.2243,0.8795,0.0000,0.0000,0.8795
2025-05-08 15:00:00,2025-05-08 15:00:00,direct_entry,2025-06-06 16:00:00,expiry,22.0000,27.0000,1.2230,0.2130,1.0100,0.0000,0.0000,1.0100
2025-06-18 14:00:00,2025-06-18 14:00:00,direct_entry,2025-07-18 16:00:00,expiry,22.5000,27.5000,1.1937,0.2188,0.9749,0.6500,0.0000,0.3249
2025-06-20 10:00:00,2025-06-20 10:00:00,direct_entry,2025-07-18 16:00:00,expiry,22.0000,26.5000,1.1737,0.2381,0.9356,1.1500,0.0000,-0.2144
2025-07-15 10:00:00,2025-07-15 10:00:00,direct_entry,2025-08-15 16:00:00,expiry,24.5000,30.0000,1.4233,0.2758,1.1475,0.0000,0.0000,1.1475
2025-08-13 16:00:00,2025-08-13 16:00:00,direct_entry,2025-09-12 16:00:00,expiry,23.5000,28.5000,1.2117,0.2369,0.9748,0.5400,0.0000,0.4348
2025-11-10 10:00:00,2025-11-10 10:00:00,direct_entry,2025-12-12 16:00:00,expiry,40.5000,49.5000,2.2461,0.4454,1.8008,0.0000,0.0000,1.8008
2026-01-13 15:00:00,2026-01-13 15:00:00,direct_entry,2026-02-13 16:00:00,expiry,49.5000,61.0000,2.8959,0.5255,2.3705,0.0000,0.0000,2.3705
