entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-03-01 14:30:00,2024-03-01 14:30:00,direct_entry,2024-03-08 16:00:00,expiry,45.0000,48.0000,1.2936,0.4533,0.8403,0.0000,0.0000,0.8403
2024-03-27 08:00:00,2024-03-27 08:00:00,direct_entry,2024-04-05 16:00:00,expiry,43.5000,46.0000,1.2828,0.5861,0.6967,0.0000,0.0000,0.6967
2024-03-28 12:00:00,2024-03-28 12:00:00,direct_entry,2024-04-05 16:00:00,expiry,45.5000,48.5000,1.3486,0.5149,0.8338,0.0000,0.0000,0.8338
2024-04-01 07:00:00,2024-04-01 07:00:00,direct_entry,2024-04-12 16:00:00,expiry,46.0000,49.5000,1.5274,0.5957,0.9317,0.0000,0.0000,0.9317
2024-07-08 10:30:00,2024-07-08 10:30:00,direct_entry,2024-07-19 16:00:00,expiry,34.5000,37.0000,1.1584,0.4733,0.6851,0.0000,0.0000,0.6851
2024-08-19 09:00:00,2024-08-19 09:00:00,direct_entry,2024-08-30 16:00:00,expiry,21.5000,23.0000,0.7447,0.3186,0.4260,0.4800,0.0000,-0.0540
2024-08-19 15:00:00,2024-08-19 15:00:00,direct_entry,2024-08-30 16:00:00,expiry,22.0000,23.5000,0.7742,0.3369,0.4373,0.0000,0.0000,0.4373
2024-08-19 16:30:00,2024-08-19 16:30:00,direct_entry,2024-08-30 16:00:00,expiry,22.0000,24.0000,0.8068,0.2605,0.5463,0.0000,0.0000,0.5463
2024-09-27 10:00:00,2024-09-27 10:00:00,direct_entry,2024-10-04 16:00:00,expiry,24.5000,26.0000,0.7140,0.2790,0.4349,0.0000,0.0000,0.4349
2024-11-07 15:00:00,2024-11-07 15:00:00,direct_entry,2024-11-15 16:00:00,expiry,27.0000,28.5000,0.7347,0.3222,0.4125,0.0000,0.0000,0.4125
2025-01-03 09:30:00,2025-01-03 09:30:00,direct_entry,2025-01-10 16:00:00,expiry,20.5000,22.0000,0.6343,0.2063,0.4280,0.0000,0.0000,0.4280
2025-01-06 08:00:00,2025-01-06 08:00:00,direct_entry,2025-01-17 16:00:00,expiry,21.5000,23.0000,0.7209,0.3064,0.4145,0.0000,0.0000,0.4145
2025-01-06 09:00:00,2025-01-06 09:00:00,direct_entry,2025-01-17 16:00:00,expiry,21.5000,23.0000,0.7191,0.3050,0.4141,0.0000,0.0000,0.4141
2025-01-21 05:00:00,2025-01-21 05:00:00,direct_entry,2025-01-31 16:00:00,expiry,23.0000,24.5000,0.7534,0.3287,0.4246,0.0000,0.0000,0.4246
