entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-15 07:15:00,2024-02-15 07:15:00,direct_entry,2024-02-28 16:00:00,expiry,180.0000,192.5000,3.4598,0.6754,2.7844,4.0000,0.0000,-1.2156
2024-03-06 09:15:00,2024-03-06 09:15:00,direct_entry,2024-03-13 16:00:00,expiry,192.5000,202.5000,2.6331,0.4789,2.1542,0.0000,0.0000,2.1542
2024-03-18 12:45:00,2024-03-18 12:45:00,direct_entry,2024-03-27 16:00:00,expiry,195.0000,207.5000,3.1088,0.4750,2.6338,4.5400,0.0000,-1.9062
2024-03-28 14:30:00,2024-03-28 14:30:00,direct_entry,2024-04-10 16:00:00,expiry,202.5000,217.5000,4.4791,0.8098,3.6693,0.0000,0.0000,3.6693
2024-04-22 10:45:00,2024-04-22 10:45:00,direct_entry,2024-05-01 16:00:00,expiry,190.0000,202.5000,3.2046,0.4798,2.7248,1.8600,0.0000,0.8648
2024-05-07 11:15:00,2024-05-07 11:15:00,direct_entry,2024-05-15 16:00:00,expiry,195.0000,207.5000,3.2100,0.4513,2.7587,6.9200,0.0000,-4.1613
2024-07-01 12:30:00,2024-07-01 12:30:00,direct_entry,2024-07-10 16:00:00,expiry,210.0000,222.5000,3.2054,0.5619,2.6435,0.0000,0.0000,2.6435
2024-08-07 09:15:00,2024-08-07 09:15:00,direct_entry,2024-08-14 16:00:00,expiry,205.0000,217.5000,3.5534,0.5174,3.0360,5.2400,0.0000,-2.2040
2024-08-16 12:15:00,2024-08-16 12:15:00,direct_entry,2024-08-28 16:00:00,expiry,217.5000,232.5000,4.0180,0.7239,3.2941,3.7100,0.0000,-0.4159
2024-09-17 09:00:00,2024-09-17 09:00:00,direct_entry,2024-09-25 16:00:00,expiry,212.5000,225.0000,3.0599,0.4916,2.5683,0.0000,0.0000,2.5683
2024-10-15 09:30:00,2024-10-15 09:30:00,direct_entry,2024-10-23 16:00:00,expiry,225.0000,237.5000,3.8284,0.7480,3.0804,0.0000,0.0000,3.0804
2024-11-13 12:00:00,2024-11-13 12:00:00,direct_entry,2024-11-20 16:00:00,expiry,247.5000,260.0000,3.2877,0.6159,2.6718,0.0000,0.0000,2.6718
2024-11-22 12:15:00,2024-11-22 12:15:00,direct_entry,2024-12-04 16:00:00,expiry,252.5000,270.0000,4.9215,0.9009,4.0206,0.0000,0.0000,4.0206
2025-01-15 07:00:00,2025-01-15 07:00:00,direct_entry,2025-01-22 16:00:00,expiry,252.5000,267.5000,3.9805,0.5904,3.3901,10.1600,0.0000,-6.7699
2025-01-28 11:15:00,2025-01-28 11:15:00,direct_entry,2025-02-05 16:00:00,expiry,270.0000,285.0000,3.9422,0.7113,3.2309,0.0000,0.0000,3.2309
2025-02-05 16:00:00,2025-02-05 16:00:00,direct_entry,2025-02-12 16:00:00,expiry,272.5000,287.5000,4.1906,0.6933,3.4974,2.9500,0.0000,0.5474
2025-03-19 12:45:00,2025-03-19 12:45:00,direct_entry,2025-03-26 16:00:00,expiry,242.5000,255.0000,3.0988,0.5455,2.5532,8.4000,0.0000,-5.8468
2025-04-08 10:30:00,2025-04-08 10:30:00,direct_entry,2025-04-16 16:00:00,expiry,230.0000,242.5000,3.2770,0.6125,2.6645,0.0000,0.0000,2.6645
2025-04-23 10:45:00,2025-04-23 10:45:00,direct_entry,2025-04-30 16:00:00,expiry,247.5000,262.5000,3.9961,0.5621,3.4340,0.0000,0.0000,3.4340
2025-05-02 11:00:00,2025-05-02 11:00:00,direct_entry,2025-05-14 16:00:00,expiry,255.0000,275.0000,5.4694,0.8118,4.6576,11.0000,0.0000,-6.3424
2025-05-27 14:45:00,2025-05-27 14:45:00,direct_entry,2025-06-04 16:00:00,expiry,267.5000,285.0000,4.6115,0.6233,3.9882,0.0000,0.0000,3.9882
2025-06-26 11:45:00,2025-06-26 11:45:00,direct_entry,2025-07-09 16:00:00,expiry,292.5000,315.0000,6.3071,1.0487,5.2584,0.0000,0.0000,5.2584
2025-07-23 14:15:00,2025-07-23 14:15:00,direct_entry,2025-07-30 16:00:00,expiry,300.0000,315.0000,4.1872,0.8098,3.3774,0.0000,0.0000,3.3774
2025-09-11 08:00:00,2025-09-11 08:00:00,direct_entry,2025-09-24 16:00:00,expiry,307.5000,330.0000,5.8820,1.0319,4.8501,6.0200,0.0000,-1.1699
2025-10-20 09:45:00,2025-10-20 09:45:00,direct_entry,2025-10-29 16:00:00,expiry,302.5000,322.5000,5.3444,0.8147,4.5297,2.6400,0.0000,1.8897
2025-11-26 13:00:00,2025-11-26 13:00:00,direct_entry,2025-12-03 16:00:00,expiry,312.5000,327.5000,4.2146,0.8714,3.3432,0.0000,0.0000,3.3432
2025-12-05 10:30:00,2025-12-05 10:30:00,direct_entry,2025-12-17 16:00:00,expiry,322.5000,345.0000,6.1834,1.1135,5.0699,0.0000,0.0000,5.0699
2025-12-22 13:15:00,2025-12-22 13:15:00,direct_entry,2025-12-31 16:00:00,expiry,327.5000,347.5000,5.2104,0.8813,4.3291,0.0000,0.0000,4.3291
2026-01-29 10:45:00,2026-01-29 10:45:00,direct_entry,2026-02-11 16:00:00,expiry,307.5000,332.5000,6.6803,0.9905,5.6898,3.5000,0.0000,2.1898
2026-02-26 10:15:00,2026-02-26 10:15:00,direct_entry,2026-03-11 16:00:00,expiry,310.0000,335.0000,6.5899,0.9848,5.6051,0.0000,0.0000,5.6051
2026-03-20 10:00:00,2026-03-20 10:00:00,direct_entry,2026-03-27 19:45:00,force_close,292.5000,312.5000,5.4703,1.0146,4.4557,0.0000,0.0000,4.4557
