entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-27 11:00:00,2024-02-27 11:00:00,direct_entry,2024-04-01 04:30:00,expiry,177.5000,160.0000,5.0794,0.8686,4.2108,0.0000,0.0000,4.2108
2024-04-02 09:15:00,2024-04-02 09:15:00,direct_entry,2024-05-03 16:00:00,expiry,192.5000,172.5000,5.3968,0.8109,4.5859,1.9900,0.0000,2.5959
2024-06-26 10:45:00,2024-06-26 10:45:00,direct_entry,2024-07-26 16:00:00,expiry,192.5000,172.5000,5.8622,0.8934,4.9688,0.0000,0.0000,4.9688
2024-08-01 12:15:00,2024-08-01 12:15:00,direct_entry,2024-08-30 16:00:00,expiry,202.5000,182.5000,5.5164,0.8682,4.6482,0.0000,0.0000,4.6482
2024-09-03 15:45:00,2024-09-03 15:45:00,direct_entry,2024-10-04 16:00:00,expiry,215.0000,192.5000,6.5157,0.9947,5.5210,3.7700,0.0000,1.7510
2024-10-24 09:30:00,2024-10-24 09:30:00,direct_entry,2024-11-22 16:00:00,expiry,217.5000,195.0000,6.1311,0.8817,5.2494,0.0000,0.0000,5.2494
2024-12-13 11:15:00,2024-12-13 11:15:00,direct_entry,2025-01-10 16:00:00,expiry,235.0000,210.0000,6.9442,0.9234,6.0208,0.0000,0.0000,6.0208
2025-06-13 08:00:00,2025-06-13 08:00:00,direct_entry,2025-07-11 16:00:00,expiry,260.0000,232.5000,7.7202,1.0495,6.6707,0.0000,0.0000,6.6707
2025-10-02 12:45:00,2025-10-02 12:45:00,direct_entry,2025-10-31 16:00:00,expiry,300.0000,270.0000,8.9183,1.4251,7.4931,0.0000,0.0000,7.4931
2025-11-14 07:45:00,2025-11-14 07:45:00,direct_entry,2025-12-12 16:00:00,expiry,300.0000,270.0000,8.3535,1.2609,7.0926,0.0000,0.0000,7.0926
2025-12-30 11:15:00,2025-12-30 11:15:00,direct_entry,2026-01-30 16:00:00,expiry,315.0000,282.5000,9.2997,1.4558,7.8439,9.3000,0.0000,-1.4561
2026-03-02 08:00:00,2026-03-02 08:00:00,direct_entry,2026-03-27 19:45:00,force_close,287.5000,257.5000,8.5103,1.3379,7.1724,4.9000,0.0000,2.2724
