entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-05 07:00:00,2024-02-05 07:00:00,direct_entry,2024-02-21 16:00:00,expiry,297.5000,312.5000,4.6464,0.9096,3.7368,0.0000,0.0000,3.7368
2024-02-23 15:00:00,2024-02-23 15:00:00,direct_entry,2024-03-13 16:00:00,expiry,302.5000,320.0000,4.5968,0.7594,3.8374,0.0000,0.0000,3.8374
2024-03-12 11:00:00,2024-03-12 11:00:00,direct_entry,2024-03-27 16:00:00,expiry,300.0000,315.0000,3.8684,0.6619,3.2066,0.0000,0.0000,3.2066
2024-05-16 09:00:00,2024-05-16 09:00:00,direct_entry,2024-06-05 16:00:00,expiry,277.5000,292.5000,4.3665,0.8836,3.4829,0.0000,0.0000,3.4829
2024-09-24 11:00:00,2024-09-24 11:00:00,direct_entry,2024-10-09 16:00:00,expiry,305.0000,320.0000,3.8771,0.6817,3.1954,0.0000,0.0000,3.1954
2024-09-27 12:00:00,2024-09-27 12:00:00,direct_entry,2024-10-16 16:00:00,expiry,310.0000,327.5000,4.7365,0.8303,3.9061,2.9200,0.0000,0.9861
2024-10-21 08:00:00,2024-10-21 08:00:00,direct_entry,2024-11-06 16:00:00,expiry,322.5000,337.5000,4.3959,0.9379,3.4580,0.0000,0.0000,3.4580
2025-02-05 09:00:00,2025-02-05 09:00:00,direct_entry,2025-02-19 16:00:00,expiry,290.0000,305.0000,4.0789,0.6429,3.4361,9.3900,0.0000,-5.9539
2025-08-22 10:00:00,2025-08-22 10:00:00,direct_entry,2025-09-10 16:00:00,expiry,317.5000,337.5000,5.5613,0.8291,4.7322,0.0000,0.0000,4.7322
2025-08-27 10:00:00,2025-08-27 10:00:00,direct_entry,2025-09-10 16:00:00,expiry,317.5000,332.5000,4.2880,0.7983,3.4897,0.0000,0.0000,3.4897
2025-10-17 13:00:00,2025-10-17 13:00:00,direct_entry,2025-11-05 16:00:00,expiry,312.5000,330.0000,4.6446,0.8152,3.8294,0.0000,0.0000,3.8294
2025-12-08 12:00:00,2025-12-08 12:00:00,direct_entry,2025-12-26 07:00:00,expiry,315.0000,332.5000,5.0541,0.8137,4.2404,0.0000,0.0000,4.2404
2025-12-18 15:00:00,2025-12-18 15:00:00,direct_entry,2026-01-07 16:00:00,expiry,325.0000,342.5000,5.0616,1.0174,4.0442,0.0000,0.0000,4.0442
