entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-08 15:40:00,2024-01-08 15:40:00,direct_entry,2024-01-17 16:00:00,expiry,295.0000,305.0000,2.9181,0.6269,2.2912,0.0000,0.0000,2.2912
2024-01-10 10:00:00,2024-01-10 10:00:00,direct_entry,2024-01-17 16:00:00,expiry,295.0000,305.0000,2.5243,0.4294,2.0949,0.0000,0.0000,2.0949
2024-01-10 11:45:00,2024-01-10 11:45:00,direct_entry,2024-01-17 16:00:00,expiry,295.0000,305.0000,2.7278,0.4777,2.2501,0.0000,0.0000,2.2501
2024-01-18 14:35:00,2024-01-18 14:35:00,direct_entry,2024-01-31 16:00:00,expiry,297.5000,310.0000,3.8202,0.8127,3.0075,0.0000,0.0000,3.0075
2024-01-30 13:45:00,2024-01-30 13:45:00,direct_entry,2024-02-07 16:00:00,expiry,295.0000,307.5000,3.4865,0.4692,3.0173,0.0000,0.0000,3.0173
2024-01-30 15:00:00,2024-01-30 15:00:00,direct_entry,2024-02-07 16:00:00,expiry,297.5000,307.5000,2.7612,0.5388,2.2223,0.0000,0.0000,2.2223
2024-02-15 10:40:00,2024-02-15 10:40:00,direct_entry,2024-02-28 16:00:00,expiry,292.5000,307.5000,4.2226,0.6420,3.5805,2.6900,0.0000,0.8905
2024-02-23 15:50:00,2024-02-23 15:50:00,direct_entry,2024-03-06 16:00:00,expiry,302.5000,315.0000,3.4223,0.6670,2.7553,0.0000,0.0000,2.7553
2024-03-19 11:15:00,2024-03-19 11:15:00,direct_entry,2024-03-27 16:00:00,expiry,285.0000,297.5000,3.2760,0.4026,2.8733,0.0000,0.0000,2.8733
2024-03-28 10:45:00,2024-03-28 10:45:00,direct_entry,2024-04-10 16:00:00,expiry,287.5000,300.0000,3.3630,0.6497,2.7133,0.0000,0.0000,2.7133
2024-04-09 15:35:00,2024-04-09 15:35:00,direct_entry,2024-04-17 16:00:00,expiry,272.5000,280.0000,2.3220,0.6151,1.7069,0.0000,0.0000,1.7069
2024-04-18 15:50:00,2024-04-18 15:50:00,direct_entry,2024-05-01 16:00:00,expiry,272.5000,287.5000,4.1116,0.5338,3.5778,1.9500,0.0000,1.6278
2024-05-15 11:00:00,2024-05-15 11:00:00,direct_entry,2024-05-22 16:00:00,expiry,275.0000,285.0000,2.8048,0.4460,2.3589,0.0000,0.0000,2.3589
2024-05-15 13:10:00,2024-05-15 13:10:00,direct_entry,2024-05-22 16:00:00,expiry,275.0000,285.0000,3.1335,0.5233,2.6103,0.0000,0.0000,2.6103
2024-06-04 14:00:00,2024-06-04 14:00:00,direct_entry,2024-06-12 16:00:00,expiry,265.0000,275.0000,2.5764,0.4069,2.1695,0.0000,0.0000,2.1695
2024-06-21 14:50:00,2024-06-21 14:50:00,direct_entry,2024-07-05 04:30:00,expiry,262.5000,275.0000,3.3838,0.5259,2.8579,0.0000,0.0000,2.8579
2024-07-11 14:20:00,2024-07-11 14:20:00,direct_entry,2024-07-24 16:00:00,expiry,257.5000,270.0000,3.7097,0.6291,3.0806,0.0000,0.0000,3.0806
2024-07-17 10:40:00,2024-07-17 10:40:00,direct_entry,2024-07-24 16:00:00,expiry,265.0000,272.5000,2.1190,0.4905,1.6285,0.0000,0.0000,1.6285
2024-07-17 15:35:00,2024-07-17 15:35:00,direct_entry,2024-07-24 16:00:00,expiry,262.5000,272.5000,2.7866,0.3975,2.3891,0.0000,0.0000,2.3891
2024-07-30 12:50:00,2024-07-30 12:50:00,direct_entry,2024-08-07 16:00:00,expiry,267.5000,277.5000,2.5193,0.4018,2.1175,1.8700,0.0000,0.2475
2024-07-31 15:00:00,2024-07-31 15:00:00,direct_entry,2024-08-07 16:00:00,expiry,270.0000,277.5000,2.3534,0.5717,1.7816,0.0000,0.0000,1.7816
2024-08-02 15:00:00,2024-08-02 15:00:00,direct_entry,2024-08-14 16:00:00,expiry,277.5000,290.0000,3.7899,0.6830,3.1069,0.0000,0.0000,3.1069
2024-08-15 11:25:00,2024-08-15 11:25:00,direct_entry,2024-08-28 16:00:00,expiry,277.5000,290.0000,3.5961,0.6788,2.9173,9.5500,0.0000,-6.6327
2024-08-19 14:50:00,2024-08-19 14:50:00,direct_entry,2024-08-28 16:00:00,expiry,290.0000,302.5000,3.4518,0.4974,2.9544,0.0000,0.0000,2.9544
2024-09-12 15:50:00,2024-09-12 15:50:00,direct_entry,2024-09-25 16:00:00,expiry,295.0000,310.0000,4.1610,0.6274,3.5336,5.4700,0.0000,-1.9364
2024-09-13 09:30:00,2024-09-13 09:30:00,direct_entry,2024-09-25 16:00:00,expiry,295.0000,310.0000,4.2397,0.6126,3.6272,5.4700,0.0000,-1.8428
2024-09-13 10:30:00,2024-09-13 10:30:00,direct_entry,2024-09-25 16:00:00,expiry,297.5000,312.5000,3.9601,0.5569,3.4032,2.9700,0.0000,0.4332
2024-09-13 15:30:00,2024-09-13 15:30:00,direct_entry,2024-09-25 16:00:00,expiry,300.0000,312.5000,3.4775,0.6751,2.8025,0.4700,0.0000,2.3325
2024-09-24 11:00:00,2024-09-24 11:00:00,direct_entry,2024-10-02 16:00:00,expiry,302.5000,315.0000,3.6663,0.5388,3.1275,1.2600,0.0000,1.8675
2024-09-27 11:25:00,2024-09-27 11:25:00,direct_entry,2024-10-09 16:00:00,expiry,310.0000,325.0000,3.8890,0.5807,3.3083,0.0000,0.0000,3.3083
2024-10-09 12:20:00,2024-10-09 12:20:00,direct_entry,2024-10-16 16:00:00,expiry,307.5000,317.5000,2.8077,0.5300,2.2777,5.4200,0.0000,-3.1423
2024-10-14 14:45:00,2024-10-14 14:45:00,direct_entry,2024-10-23 16:00:00,expiry,312.5000,325.0000,3.6067,0.6044,3.0023,0.0000,0.0000,3.0023
2024-11-06 08:00:00,2024-11-06 08:00:00,direct_entry,2024-11-13 16:00:00,expiry,300.0000,312.5000,3.3289,0.4079,2.9210,0.0000,0.0000,2.9210
2024-11-14 10:45:00,2024-11-14 10:45:00,direct_entry,2024-11-27 16:00:00,expiry,302.5000,317.5000,3.9892,0.6227,3.3665,0.0000,0.0000,3.3665
2024-11-14 14:55:00,2024-11-14 14:55:00,direct_entry,2024-11-27 16:00:00,expiry,302.5000,317.5000,4.2963,0.6895,3.6067,0.0000,0.0000,3.6067
2024-11-25 14:15:00,2024-11-25 14:15:00,direct_entry,2024-12-04 16:00:00,expiry,297.5000,310.0000,3.7512,0.5934,3.1578,0.0000,0.0000,3.1578
2024-12-05 15:50:00,2024-12-05 15:50:00,direct_entry,2024-12-18 16:00:00,expiry,302.5000,317.5000,3.9820,0.6121,3.3699,0.0000,0.0000,3.3699
2024-12-06 10:10:00,2024-12-06 10:10:00,direct_entry,2024-12-18 16:00:00,expiry,305.0000,320.0000,4.2127,0.6413,3.5714,0.0000,0.0000,3.5714
2024-12-10 15:30:00,2024-12-10 15:30:00,direct_entry,2024-12-18 16:00:00,expiry,305.0000,315.0000,3.0793,0.6524,2.4269,0.0000,0.0000,2.4269
2024-12-24 11:35:00,2024-12-24 11:35:00,direct_entry,2025-01-02 07:05:00,expiry,295.0000,307.5000,3.3049,0.4355,2.8694,0.0000,0.0000,2.8694
2025-01-06 12:00:00,2025-01-06 12:00:00,direct_entry,2025-01-15 16:00:00,expiry,297.5000,310.0000,3.4802,0.5330,2.9472,0.0000,0.0000,2.9472
2025-01-23 13:55:00,2025-01-23 13:55:00,direct_entry,2025-02-05 16:00:00,expiry,287.5000,302.5000,3.9202,0.5495,3.3707,1.1500,0.0000,2.2207
2025-01-27 14:00:00,2025-01-27 14:00:00,direct_entry,2025-02-05 16:00:00,expiry,295.0000,305.0000,2.9782,0.6488,2.3293,0.0000,0.0000,2.3293
