entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-08-01 10:00:00,2024-08-01 10:00:00,direct_entry,2024-08-30 16:00:00,expiry,520,560,18.9551,7.4201,11.5349,0.9900,0.0000,10.5449
2024-08-09 06:00:00,2024-08-09 06:00:00,direct_entry,2024-09-06 16:00:00,expiry,525,565,18.1311,6.9742,11.1569,0.0000,0.0000,11.1569
2024-09-17 10:00:00,2024-09-17 10:00:00,direct_entry,2024-10-18 16:00:00,expiry,550,595,20.4652,7.7683,12.6969,26.4700,0.0000,-13.7731
2024-09-19 09:00:00,2024-09-19 09:00:00,direct_entry,2024-10-18 16:00:00,expiry,565,605,19.2205,8.0207,11.1998,11.4700,0.0000,-0.2702
2024-09-23 10:00:00,2024-09-23 10:00:00,direct_entry,2024-10-25 16:00:00,expiry,585,630,22.0871,9.0792,13.0079,0.0000,0.0000,13.0079
2024-09-25 15:00:00,2024-09-25 15:00:00,direct_entry,2024-10-25 16:00:00,expiry,585,630,20.8652,8.2075,12.6577,0.0000,0.0000,12.6577
2024-10-01 10:00:00,2024-10-01 10:00:00,direct_entry,2024-11-01 16:00:00,expiry,595,640,20.7799,8.3997,12.3802,0.0000,0.0000,12.3802
2024-10-04 06:00:00,2024-10-04 06:00:00,direct_entry,2024-11-01 16:00:00,expiry,600,645,21.1131,8.2989,12.8143,0.0000,0.0000,12.8143
2024-10-04 09:00:00,2024-10-04 09:00:00,direct_entry,2024-11-01 16:00:00,expiry,600,645,21.2365,8.3460,12.8905,0.0000,0.0000,12.8905
2024-10-30 08:00:00,2024-10-30 08:00:00,direct_entry,2024-11-29 16:00:00,expiry,625,670,21.2229,8.8285,12.3943,0.0000,0.0000,12.3943
2024-11-21 09:00:00,2024-11-21 09:00:00,direct_entry,2024-12-20 16:00:00,expiry,575,615,19.6811,8.3629,11.3183,12.5500,0.0000,-1.2317
2025-01-06 09:00:00,2025-01-06 09:00:00,direct_entry,2025-02-07 16:00:00,expiry,630,675,22.2963,9.6665,12.6299,84.9900,39.9900,-32.3701
2025-01-30 04:00:00,2025-01-30 04:00:00,direct_entry,2025-02-28 16:00:00,expiry,710,760,23.7258,9.9318,13.7940,0.0000,0.0000,13.7940
2025-01-30 10:00:00,2025-01-30 10:00:00,direct_entry,2025-02-28 16:00:00,expiry,710,760,24.2651,10.1834,14.0816,0.0000,0.0000,14.0816
2025-05-08 09:00:00,2025-05-08 09:00:00,direct_entry,2025-06-06 16:00:00,expiry,620,665,21.4434,8.7743,12.6690,78.2000,33.2000,-32.3310
2025-05-12 17:00:00,2025-05-12 17:00:00,direct_entry,2025-06-13 16:00:00,expiry,660,710,23.7562,9.7504,14.0057,22.1800,0.0000,-8.1743
2025-06-27 08:00:00,2025-06-27 08:00:00,direct_entry,2025-07-25 16:00:00,expiry,750,805,26.4498,10.6294,15.8204,0.0000,0.0000,15.8204
2025-08-13 06:00:00,2025-08-13 06:00:00,direct_entry,2025-09-12 16:00:00,expiry,815,880,29.7227,11.3919,18.3308,0.0000,0.0000,18.3308
2025-09-18 11:00:00,2025-09-18 11:00:00,direct_entry,2025-10-17 16:00:00,expiry,805,860,27.1728,11.6865,15.4863,0.0000,0.0000,15.4863
2025-10-09 04:00:00,2025-10-09 04:00:00,direct_entry,2025-11-07 16:00:00,expiry,740,795,25.3191,10.1191,15.2001,0.0000,0.0000,15.2001
2025-10-10 05:00:00,2025-10-10 05:00:00,direct_entry,2025-11-07 16:00:00,expiry,755,810,26.2998,10.6219,15.6780,0.0000,0.0000,15.6780
2026-01-26 15:00:00,2026-01-26 15:00:00,direct_entry,2026-02-27 16:00:00,expiry,695,745,24.6800,10.6089,14.0711,0.0000,0.0000,14.0711
2026-01-29 09:00:00,2026-01-29 09:00:00,direct_entry,2026-02-27 16:00:00,expiry,745,800,26.3658,10.6758,15.6900,0.0000,0.0000,15.6900
2026-02-03 09:00:00,2026-02-03 09:00:00,direct_entry,2026-03-06 16:00:00,expiry,725,780,26.5981,10.8678,15.7302,0.0000,0.0000,15.7302
