entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-08 09:50:00,2024-01-08 09:50:00,direct_entry,2024-01-17 16:00:00,expiry,360,385,7.2089,1.3403,5.8686,8.3700,0.0000,-2.5014
2024-01-10 14:50:00,2024-01-10 14:50:00,direct_entry,2024-01-17 16:00:00,expiry,380,400,5.6788,1.2624,4.4164,0.0000,0.0000,4.4164
2024-01-18 15:15:00,2024-01-18 15:15:00,direct_entry,2024-01-31 16:00:00,expiry,385,415,8.0452,1.5982,6.4470,5.1400,0.0000,1.3070
2024-01-19 11:25:00,2024-01-19 11:25:00,direct_entry,2024-01-31 16:00:00,expiry,390,420,8.1609,1.5785,6.5823,0.1400,0.0000,6.4423
2024-01-19 13:45:00,2024-01-19 13:45:00,direct_entry,2024-01-31 16:00:00,expiry,390,425,8.9734,1.3113,7.6621,0.1400,0.0000,7.5221
2024-01-19 16:55:00,2024-01-19 16:55:00,direct_entry,2024-01-31 16:00:00,expiry,390,425,9.2451,1.3594,7.8857,0.1400,0.0000,7.7457
2024-01-22 09:35:00,2024-01-22 09:35:00,direct_entry,2024-01-31 16:00:00,expiry,395,420,6.9984,1.4670,5.5315,0.0000,0.0000,5.5315
2024-01-29 12:55:00,2024-01-29 12:55:00,direct_entry,2024-02-07 16:00:00,expiry,405,435,8.6931,1.4504,7.2427,64.7900,34.7900,-22.7573
2024-02-02 04:35:00,2024-02-02 04:35:00,direct_entry,2024-02-14 16:00:00,expiry,470,510,10.4335,1.7283,8.7052,3.5700,0.0000,5.1352
2024-02-02 12:40:00,2024-02-02 12:40:00,direct_entry,2024-02-14 16:00:00,expiry,490,530,11.4852,2.0811,9.4041,0.0000,0.0000,9.4041
2024-02-14 16:20:00,2024-02-14 16:20:00,direct_entry,2024-02-21 16:00:00,expiry,480,510,8.1524,1.3740,6.7784,0.0000,0.0000,6.7784
2024-02-15 09:30:00,2024-02-15 09:30:00,direct_entry,2024-02-28 16:00:00,expiry,485,525,11.0340,2.0749,8.9591,0.0000,0.0000,8.9591
2024-02-28 12:15:00,2024-02-28 12:15:00,direct_entry,2024-03-06 16:00:00,expiry,495,525,8.0203,1.4356,6.5846,1.3000,0.0000,5.2846
2024-03-07 12:20:00,2024-03-07 12:20:00,direct_entry,2024-03-20 16:00:00,expiry,525,570,13.0363,2.3538,10.6825,0.0000,0.0000,10.6825
2024-04-23 14:50:00,2024-04-23 14:50:00,direct_entry,2024-05-01 16:00:00,expiry,505,535,8.6651,1.8118,6.8533,0.0000,0.0000,6.8533
2024-04-24 08:05:00,2024-04-24 08:05:00,direct_entry,2024-05-01 16:00:00,expiry,515,550,9.5567,1.4674,8.0893,0.0000,0.0000,8.0893
2024-05-06 14:35:00,2024-05-06 14:35:00,direct_entry,2024-05-15 16:00:00,expiry,470,500,8.3565,1.6985,6.6580,10.9900,0.0000,-4.3320
2024-05-07 09:35:00,2024-05-07 09:35:00,direct_entry,2024-05-15 16:00:00,expiry,470,505,9.0739,1.2919,7.7820,10.9900,0.0000,-3.2080
2024-05-08 15:50:00,2024-05-08 15:50:00,direct_entry,2024-05-15 16:00:00,expiry,480,510,7.8491,1.3012,6.5480,0.9900,0.0000,5.5580
2024-06-03 10:35:00,2024-06-03 10:35:00,direct_entry,2024-06-12 16:00:00,expiry,485,515,8.5771,1.8653,6.7118,22.9800,0.0000,-16.2682
2024-06-27 13:30:00,2024-06-27 13:30:00,direct_entry,2024-07-10 16:00:00,expiry,530,575,11.6973,2.0249,9.6724,4.6000,0.0000,5.0724
2024-06-27 15:45:00,2024-06-27 15:45:00,direct_entry,2024-07-10 16:00:00,expiry,530,575,11.9027,2.0656,9.8371,4.6000,0.0000,5.2371
2024-07-02 13:45:00,2024-07-02 13:45:00,direct_entry,2024-07-10 16:00:00,expiry,520,550,8.4938,1.8397,6.6540,14.6000,0.0000,-7.9460
2024-07-05 13:35:00,2024-07-05 13:35:00,direct_entry,2024-07-17 16:00:00,expiry,545,590,11.6131,1.9558,9.6573,0.0000,0.0000,9.6573
2024-07-05 14:50:00,2024-07-05 14:50:00,direct_entry,2024-07-17 16:00:00,expiry,545,590,12.2571,2.1128,10.1443,0.0000,0.0000,10.1443
2024-07-08 09:25:00,2024-07-08 09:25:00,direct_entry,2024-07-17 16:00:00,expiry,550,590,11.3877,1.9639,9.4237,0.0000,0.0000,9.4237
