entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-21 15:00:00,2024-02-21 15:00:00,direct_entry,2024-02-28 16:00:00,expiry,460,435,7.0968,1.2765,5.8202,0.0000,0.0000,5.8202
2024-05-01 08:00:00,2024-05-01 08:00:00,direct_entry,2024-05-08 16:00:00,expiry,420,395,6.3940,0.9651,5.4289,0.0000,0.0000,5.4289
2024-05-21 09:00:00,2024-05-21 09:00:00,direct_entry,2024-05-28 16:00:00,expiry,460,435,7.1556,1.3269,5.8287,0.0000,0.0000,5.8287
2024-10-16 14:00:00,2024-10-16 14:00:00,direct_entry,2024-10-23 16:00:00,expiry,570,535,9.8501,1.4318,8.4183,4.1200,0.0000,4.2983
2024-11-04 10:00:00,2024-11-04 10:00:00,direct_entry,2024-11-11 16:00:00,expiry,560,525,9.6258,1.3640,8.2617,0.0000,0.0000,8.2617
2025-03-31 08:00:00,2025-03-31 08:00:00,direct_entry,2025-04-07 16:00:00,expiry,560,525,10.2952,1.5295,8.7657,41.0200,6.0200,-26.2343
2025-03-31 10:00:00,2025-03-31 10:00:00,direct_entry,2025-04-07 16:00:00,expiry,555,520,9.5993,1.3350,8.2642,36.0200,1.0200,-26.7358
2025-04-16 15:00:00,2025-04-16 15:00:00,direct_entry,2025-04-23 16:00:00,expiry,495,465,8.1528,1.1855,6.9673,0.0000,0.0000,6.9673
2025-06-13 08:00:00,2025-06-13 08:00:00,direct_entry,2025-06-20 16:00:00,expiry,675,635,11.5723,1.8751,9.6971,0.0000,0.0000,9.6971
2025-08-20 11:00:00,2025-08-20 11:00:00,direct_entry,2025-08-27 16:00:00,expiry,730,685,12.8122,1.8895,10.9227,0.0000,0.0000,10.9227
2025-09-02 09:00:00,2025-09-02 09:00:00,direct_entry,2025-09-09 16:00:00,expiry,720,680,11.7304,2.1236,9.6067,0.0000,0.0000,9.6067
2025-10-31 16:00:00,2025-10-31 16:00:00,direct_entry,2025-11-07 16:00:00,expiry,640,605,10.2899,1.8545,8.4355,16.2900,0.0000,-7.8545
2025-11-21 05:00:00,2025-11-21 05:00:00,direct_entry,2025-11-28 16:00:00,expiry,580,545,10.5676,1.7200,8.8476,0.0000,0.0000,8.8476
2026-01-14 16:00:00,2026-01-14 16:00:00,direct_entry,2026-01-21 16:00:00,expiry,605,570,9.1541,1.4142,7.7398,0.0000,0.0000,7.7398
2026-02-11 08:00:00,2026-02-11 08:00:00,direct_entry,2026-02-18 16:00:00,expiry,665,625,10.6360,1.6064,9.0296,22.4000,0.0000,-13.3704
2026-02-11 13:00:00,2026-02-11 13:00:00,direct_entry,2026-02-18 16:00:00,expiry,660,620,11.6191,1.7693,9.8498,17.4000,0.0000,-7.5502
