entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-24 11:20:00,2024-01-24 11:20:00,direct_entry,2024-02-02 16:00:00,expiry,89,95,1.7986,0.3146,1.4840,0.0000,0.0000,1.4840
2024-02-23 12:20:00,2024-02-23 12:20:00,direct_entry,2024-03-01 16:00:00,expiry,88,93,1.5140,0.2818,1.2322,0.0000,0.0000,1.2322
2024-03-12 15:30:00,2024-03-12 15:30:00,direct_entry,2024-03-22 16:00:00,expiry,89,95,1.5066,0.2592,1.2474,2.9500,0.0000,-1.7026
2024-03-27 13:05:00,2024-03-27 13:05:00,direct_entry,2024-04-05 16:00:00,expiry,94,100,1.7929,0.3379,1.4550,0.0000,0.0000,1.4550
2024-05-03 10:00:00,2024-05-03 10:00:00,direct_entry,2024-05-10 16:00:00,expiry,95,101,1.5290,0.2218,1.3072,3.1400,0.0000,-1.8328
2024-06-12 13:25:00,2024-06-12 13:25:00,direct_entry,2024-06-21 16:00:00,expiry,98,104,1.7434,0.3440,1.3994,0.0000,0.0000,1.3994
2024-06-28 10:55:00,2024-06-28 10:55:00,direct_entry,2024-07-05 16:00:00,expiry,98,104,1.6745,0.2677,1.4068,1.5900,0.0000,-0.1832
2024-07-10 15:25:00,2024-07-10 15:25:00,direct_entry,2024-07-19 16:00:00,expiry,105,112,1.7612,0.2822,1.4790,0.0000,0.0000,1.4790
2024-08-19 13:40:00,2024-08-19 13:40:00,direct_entry,2024-08-30 16:00:00,expiry,103,111,2.1988,0.3441,1.8548,0.4800,0.0000,1.3748
2024-09-16 14:10:00,2024-09-16 14:10:00,direct_entry,2024-09-27 16:00:00,expiry,101,109,2.1155,0.3130,1.8025,3.1100,0.0000,-1.3075
2024-10-04 09:30:00,2024-10-04 09:30:00,direct_entry,2024-10-11 16:00:00,expiry,109,115,1.5579,0.2863,1.2716,1.4600,0.0000,-0.1884
2024-10-24 15:35:00,2024-10-24 15:35:00,direct_entry,2024-11-01 16:00:00,expiry,121,128,1.9364,0.3676,1.5688,0.0000,0.0000,1.5688
2024-12-31 10:05:00,2024-12-31 10:05:00,direct_entry,2025-01-10 16:00:00,expiry,128,137,2.6040,0.4583,2.1457,0.0000,0.0000,2.1457
2025-01-15 12:40:00,2025-01-15 12:40:00,direct_entry,2025-01-24 16:00:00,expiry,133,141,2.2374,0.4461,1.7912,4.8200,0.0000,-3.0288
2025-01-29 10:10:00,2025-01-29 10:10:00,direct_entry,2025-02-07 16:00:00,expiry,142,152,2.7285,0.4253,2.3033,0.0000,0.0000,2.3033
2025-02-18 12:20:00,2025-02-18 12:20:00,direct_entry,2025-02-28 16:00:00,expiry,142,152,2.7858,0.4761,2.3096,0.0000,0.0000,2.3096
2025-03-12 12:35:00,2025-03-12 12:35:00,direct_entry,2025-03-21 16:00:00,expiry,116,124,2.2097,0.3554,1.8543,4.1500,0.0000,-2.2957
2025-04-02 13:15:00,2025-04-02 13:15:00,direct_entry,2025-04-11 16:00:00,expiry,122,130,2.1309,0.3639,1.7670,0.0000,0.0000,1.7670
2025-04-14 09:30:00,2025-04-14 09:30:00,direct_entry,2025-04-25 16:00:00,expiry,112,121,2.4056,0.3550,2.0506,4.0100,0.0000,-1.9594
2025-05-01 11:35:00,2025-05-01 11:35:00,direct_entry,2025-05-09 16:00:00,expiry,119,126,1.8393,0.3380,1.5013,2.7000,0.0000,-1.1987
2025-05-13 15:20:00,2025-05-13 15:20:00,direct_entry,2025-05-23 16:00:00,expiry,132,141,2.4354,0.4271,2.0083,0.0000,0.0000,2.0083
2025-05-27 13:45:00,2025-05-27 13:45:00,direct_entry,2025-06-06 16:00:00,expiry,132,141,2.2838,0.3903,1.8935,0.0000,0.0000,1.8935
2025-06-24 08:00:00,2025-06-24 08:00:00,direct_entry,2025-07-07 07:35:00,expiry,137,147,2.6669,0.4272,2.2397,6.9700,0.0000,-4.7303
2025-07-07 10:00:00,2025-07-07 10:00:00,direct_entry,2025-07-18 16:00:00,expiry,147,158,3.0049,0.5039,2.5010,0.0000,0.0000,2.5010
2025-08-08 13:55:00,2025-08-08 13:55:00,direct_entry,2025-08-15 16:00:00,expiry,145,154,2.4753,0.3778,2.0976,0.0000,0.0000,2.0976
2025-08-28 12:30:00,2025-08-28 12:30:00,direct_entry,2025-09-05 16:00:00,expiry,152,162,2.6785,0.4138,2.2647,0.0000,0.0000,2.2647
2025-09-09 14:50:00,2025-09-09 14:50:00,direct_entry,2025-09-19 16:00:00,expiry,155,166,2.9464,0.4833,2.4631,4.9100,0.0000,-2.4469
2025-10-24 11:30:00,2025-10-24 11:30:00,direct_entry,2025-10-31 16:00:00,expiry,167,176,2.5338,0.4943,2.0395,0.0000,0.0000,2.0395
2025-11-20 10:05:00,2025-11-20 10:05:00,direct_entry,2025-12-01 06:10:00,expiry,169,179,2.6813,0.4959,2.1854,0.0000,0.0000,2.1854
2025-12-03 13:20:00,2025-12-03 13:20:00,direct_entry,2025-12-12 16:00:00,expiry,175,186,3.0494,0.5665,2.4828,3.4100,0.0000,-0.9272
