entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-16 11:15:00,2024-01-16 11:15:00,direct_entry,2024-02-07 16:00:00,expiry,85,77,2.3986,0.3832,2.0154,0.0000,0.0000,2.0154
2024-02-21 11:00:00,2024-02-21 11:00:00,direct_entry,2024-03-13 16:00:00,expiry,83,75,2.2027,0.3093,1.8934,0.0000,0.0000,1.8934
2024-03-25 14:00:00,2024-03-25 14:00:00,direct_entry,2024-04-17 16:00:00,expiry,89,81,2.3898,0.4257,1.9641,0.0000,0.0000,1.9641
2024-06-06 09:30:00,2024-06-06 09:30:00,direct_entry,2024-07-05 08:15:00,expiry,94,85,2.6424,0.4766,2.1658,0.0000,0.0000,2.1658
2024-09-11 08:45:00,2024-09-11 08:45:00,direct_entry,2024-10-02 16:00:00,expiry,93,84,2.4303,0.3363,2.0940,0.0000,0.0000,2.0940
2024-12-10 09:45:00,2024-12-10 09:45:00,direct_entry,2025-01-02 04:00:00,expiry,125,113,3.2951,0.4857,2.8094,0.0000,0.0000,2.8094
2025-01-02 14:15:00,2025-01-02 14:15:00,direct_entry,2025-01-29 16:00:00,expiry,122,109,3.7610,0.5530,3.2080,0.0000,0.0000,3.2080
2025-01-31 14:45:00,2025-01-31 14:45:00,direct_entry,2025-02-26 16:00:00,expiry,135,121,3.9694,0.5883,3.3811,3.9500,0.0000,-0.5689
2025-03-04 11:30:00,2025-03-04 11:30:00,direct_entry,2025-03-26 16:00:00,expiry,118,107,3.2571,0.5258,2.7313,0.0000,0.0000,2.7313
2025-06-17 09:30:00,2025-06-17 09:30:00,direct_entry,2025-07-09 16:00:00,expiry,128,116,3.5010,0.5568,2.9441,0.0000,0.0000,2.9441
2025-07-31 14:15:00,2025-07-31 14:15:00,direct_entry,2025-08-27 16:00:00,expiry,139,125,4.0640,0.6642,3.3998,0.0000,0.0000,3.3998
2025-09-16 12:15:00,2025-09-16 12:15:00,direct_entry,2025-10-08 16:00:00,expiry,153,139,4.0690,0.6717,3.3973,0.0000,0.0000,3.3973
2025-11-07 12:00:00,2025-11-07 12:00:00,direct_entry,2025-12-03 16:00:00,expiry,155,140,4.3593,0.7444,3.6150,0.0000,0.0000,3.6150
2025-12-17 14:15:00,2025-12-17 14:15:00,direct_entry,2026-01-07 16:00:00,expiry,171,155,4.5588,0.6863,3.8725,0.0000,0.0000,3.8725
