entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-10 15:00:00,2024-01-10 15:00:00,direct_entry,2024-01-19 16:00:00,expiry,390,400,4.9646,2.2499,2.7147,8.6000,0.0000,-5.8853
2024-01-16 09:30:00,2024-01-16 09:30:00,direct_entry,2024-01-26 16:00:00,expiry,395,410,7.2739,2.5752,4.6987,8.9600,0.0000,-4.2613
2024-01-22 07:30:00,2024-01-22 07:30:00,direct_entry,2024-02-02 16:00:00,expiry,405,420,7.2013,2.7085,4.4928,6.2000,0.0000,-1.7072
2024-01-25 09:00:00,2024-01-25 09:00:00,direct_entry,2024-02-02 16:00:00,expiry,410,420,5.4519,2.5309,2.9209,1.2000,0.0000,1.7209
2024-01-30 04:00:00,2024-01-30 04:00:00,direct_entry,2024-02-09 16:00:00,expiry,420,430,6.0141,3.0975,2.9166,0.9800,0.0000,1.9366
2024-02-09 09:00:00,2024-02-09 09:00:00,direct_entry,2024-02-16 16:00:00,expiry,420,430,5.7108,2.6100,3.1009,0.0000,0.0000,3.1009
2024-02-23 09:30:00,2024-02-23 09:30:00,direct_entry,2024-03-01 16:00:00,expiry,420,430,5.2043,2.3247,2.8796,0.0000,0.0000,2.8796
2024-02-26 09:30:00,2024-02-26 09:30:00,direct_entry,2024-03-08 16:00:00,expiry,415,430,6.7257,2.5204,4.2053,0.0000,0.0000,4.2053
2024-03-14 08:00:00,2024-03-14 08:00:00,direct_entry,2024-03-22 16:00:00,expiry,425,435,5.6507,2.7059,2.9448,3.0700,0.0000,-0.1252
2024-04-15 10:00:00,2024-04-15 10:00:00,direct_entry,2024-04-26 16:00:00,expiry,430,445,6.8115,2.6327,4.1788,0.0000,0.0000,4.1788
2024-05-06 17:30:00,2024-05-06 17:30:00,direct_entry,2024-05-17 16:00:00,expiry,420,435,6.7287,2.5142,4.2145,0.2100,0.0000,4.0045
2024-05-10 15:30:00,2024-05-10 15:30:00,direct_entry,2024-05-17 16:00:00,expiry,420,430,5.2249,2.3086,2.9164,0.2100,0.0000,2.7064
2024-06-05 06:30:00,2024-06-05 06:30:00,direct_entry,2024-06-14 16:00:00,expiry,425,435,5.5402,2.7386,2.8016,17.6000,7.6000,-7.1984
2024-06-06 18:30:00,2024-06-06 18:30:00,direct_entry,2024-06-14 16:00:00,expiry,430,440,5.7261,2.7236,3.0025,12.6000,2.6000,-6.9975
2024-06-12 12:00:00,2024-06-12 12:00:00,direct_entry,2024-06-21 16:00:00,expiry,445,460,6.2855,2.2365,4.0490,5.2600,0.0000,-1.2110
2024-08-07 10:30:00,2024-08-07 10:30:00,direct_entry,2024-08-16 16:00:00,expiry,415,425,5.7322,2.8003,2.9320,3.4700,0.0000,-0.5380
2024-08-13 15:00:00,2024-08-13 15:00:00,direct_entry,2024-08-23 16:00:00,expiry,420,435,6.3843,2.2626,4.1217,0.0000,0.0000,4.1217
2024-08-14 18:00:00,2024-08-14 18:00:00,direct_entry,2024-08-23 16:00:00,expiry,425,435,5.3309,2.5741,2.7568,0.0000,0.0000,2.7568
2024-09-10 09:00:00,2024-09-10 09:00:00,direct_entry,2024-09-20 16:00:00,expiry,415,425,5.7802,2.9191,2.8611,20.2700,10.2700,-7.1389
2024-09-18 08:00:00,2024-09-18 08:00:00,direct_entry,2024-09-27 16:00:00,expiry,440,455,7.4247,2.7742,4.6505,0.0000,0.0000,4.6505
2024-10-15 09:30:00,2024-10-15 09:30:00,direct_entry,2024-10-25 16:00:00,expiry,425,440,7.3169,2.7554,4.5614,3.2200,0.0000,1.3414
2024-10-23 09:30:00,2024-10-23 09:30:00,direct_entry,2024-11-01 16:00:00,expiry,435,450,6.4940,2.3002,4.1938,0.0000,0.0000,4.1938
2024-11-07 15:30:00,2024-11-07 15:30:00,direct_entry,2024-11-15 16:00:00,expiry,430,445,6.2965,2.0419,4.2546,0.0000,0.0000,4.2546
2025-02-10 09:30:00,2025-02-10 09:30:00,direct_entry,2025-02-21 16:00:00,expiry,420,435,6.2939,2.3370,3.9569,0.0000,0.0000,3.9569
2025-02-27 09:30:00,2025-02-27 09:30:00,direct_entry,2025-03-07 16:00:00,expiry,405,415,5.6836,2.6415,3.0421,0.0000,0.0000,3.0421
2025-04-11 08:30:00,2025-04-11 08:30:00,direct_entry,2025-04-21 04:00:00,expiry,385,400,6.0520,1.6453,4.4067,0.0000,0.0000,4.4067
2025-04-15 10:00:00,2025-04-15 10:00:00,direct_entry,2025-04-25 16:00:00,expiry,390,405,7.1320,2.4792,4.6528,1.6100,0.0000,3.0428
2025-04-24 15:00:00,2025-04-24 15:00:00,direct_entry,2025-05-02 16:00:00,expiry,390,400,5.6659,2.5469,3.1190,45.2400,35.2400,-6.8810
2025-05-12 08:00:00,2025-05-12 08:00:00,direct_entry,2025-05-23 16:00:00,expiry,455,470,7.1328,2.9208,4.2120,0.0000,0.0000,4.2120
2025-05-15 13:30:00,2025-05-15 13:30:00,direct_entry,2025-05-23 16:00:00,expiry,460,475,6.4073,2.2322,4.1751,0.0000,0.0000,4.1751
2025-06-04 08:00:00,2025-06-04 08:00:00,direct_entry,2025-06-13 16:00:00,expiry,470,485,6.4042,2.4164,3.9878,4.7400,0.0000,-0.7522
2025-06-06 10:30:00,2025-06-06 10:30:00,direct_entry,2025-06-13 16:00:00,expiry,475,490,6.9418,2.4222,4.5196,0.0000,0.0000,4.5196
2025-06-18 18:00:00,2025-06-18 18:00:00,direct_entry,2025-06-27 16:00:00,expiry,485,500,7.7474,3.1014,4.6460,12.0000,0.0000,-7.3540
2025-07-29 07:30:00,2025-07-29 07:30:00,direct_entry,2025-08-08 16:00:00,expiry,520,535,8.3256,3.7571,4.5685,2.0400,0.0000,2.5285
2025-08-15 14:00:00,2025-08-15 14:00:00,direct_entry,2025-08-22 16:00:00,expiry,530,545,6.9480,2.6327,4.3153,0.0000,0.0000,4.3153
2025-08-27 16:00:00,2025-08-27 16:00:00,direct_entry,2025-09-05 16:00:00,expiry,510,530,8.4654,2.6071,5.8583,0.0000,0.0000,5.8583
2025-09-30 16:00:00,2025-09-30 16:00:00,direct_entry,2025-10-10 16:00:00,expiry,525,540,7.4158,3.2370,4.1788,0.0000,0.0000,4.1788
2025-10-24 06:30:00,2025-10-24 06:30:00,direct_entry,2025-10-31 16:00:00,expiry,525,540,7.9780,3.1775,4.8004,0.0000,0.0000,4.8004
2025-10-27 11:00:00,2025-10-27 11:00:00,direct_entry,2025-11-07 16:00:00,expiry,540,560,9.0914,3.3457,5.7458,0.0000,0.0000,5.7458
2025-11-10 16:30:00,2025-11-10 16:30:00,direct_entry,2025-11-21 16:00:00,expiry,515,530,7.7266,3.4722,4.2544,0.0000,0.0000,4.2544
2025-12-17 15:00:00,2025-12-17 15:00:00,direct_entry,2025-12-26 16:00:00,expiry,485,500,6.9470,2.7124,4.2346,2.2600,0.0000,1.9746
2025-12-19 10:00:00,2025-12-19 10:00:00,direct_entry,2025-12-26 16:00:00,expiry,490,505,6.9865,2.5116,4.4750,0.0000,0.0000,4.4750
2025-12-22 08:30:00,2025-12-22 08:30:00,direct_entry,2026-01-02 16:00:00,expiry,495,510,8.1004,3.6247,4.4757,0.0000,0.0000,4.4757
2026-02-10 11:00:00,2026-02-10 11:00:00,direct_entry,2026-02-20 16:00:00,expiry,425,440,7.1607,2.6723,4.4883,0.0000,0.0000,4.4883
2026-02-26 10:00:00,2026-02-26 10:00:00,direct_entry,2026-03-06 16:00:00,expiry,405,420,6.4379,2.0153,4.4226,3.6000,0.0000,0.8226
2026-03-06 12:00:00,2026-03-06 12:00:00,direct_entry,2026-03-13 16:00:00,expiry,415,425,5.6475,2.5404,3.1071,0.0000,0.0000,3.1071
