entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-12 14:00:00,2024-02-12 14:00:00,direct_entry,2024-02-21 16:00:00,expiry,72,77,2.4719,0.9938,1.4782,0.0000,0.0000,1.4782
2024-02-28 12:00:00,2024-02-28 12:00:00,direct_entry,2024-03-06 16:00:00,expiry,100,105,2.6204,1.2197,1.4007,23.8500,18.8500,-3.5993
2024-03-04 16:00:00,2024-03-04 16:00:00,direct_entry,2024-03-13 16:00:00,expiry,132,140,3.9657,1.7454,2.2203,44.0000,36.0000,-5.7797
2024-03-11 09:00:00,2024-03-11 09:00:00,direct_entry,2024-03-20 16:00:00,expiry,156,166,4.7833,2.0339,2.7494,3.7700,0.0000,-1.0206
2024-03-13 16:00:00,2024-03-13 16:00:00,direct_entry,2024-03-20 16:00:00,expiry,180,191,5.1167,2.0011,3.1157,0.0000,0.0000,3.1157
2024-06-05 14:00:00,2024-06-05 14:00:00,direct_entry,2024-06-12 16:00:00,expiry,173,183,4.7501,1.9551,2.7951,0.0000,0.0000,2.7951
2024-08-22 08:00:00,2024-08-22 08:00:00,direct_entry,2024-09-04 16:00:00,expiry,146,158,5.4883,2.2295,3.2588,0.0000,0.0000,3.2588
2024-10-08 14:00:00,2024-10-08 14:00:00,direct_entry,2024-10-16 16:00:00,expiry,199,211,5.7962,2.4456,3.3506,0.0000,0.0000,3.3506
2024-10-14 09:00:00,2024-10-14 09:00:00,direct_entry,2024-10-23 16:00:00,expiry,230,246,7.3916,2.9393,4.4523,0.0000,0.0000,4.4523
2024-10-29 08:00:00,2024-10-29 08:00:00,direct_entry,2024-11-06 16:00:00,expiry,272,290,8.2792,3.2649,5.0143,0.0000,0.0000,5.0143
2024-11-12 04:00:00,2024-11-12 04:00:00,direct_entry,2024-11-20 16:00:00,expiry,349,372,10.6196,4.2389,6.3807,134.8100,111.8100,-16.6193
2024-11-19 08:00:00,2024-11-19 08:00:00,direct_entry,2024-11-27 16:00:00,expiry,398,423,11.8132,4.8733,6.9399,0.0000,0.0000,6.9399
2024-11-20 14:00:00,2024-11-20 14:00:00,direct_entry,2024-11-27 16:00:00,expiry,503,533,14.0555,5.6350,8.4205,0.0000,0.0000,8.4205
2024-11-21 09:00:00,2024-11-21 09:00:00,direct_entry,2024-12-04 16:00:00,expiry,509,550,19.1660,7.9331,11.2330,0.0000,0.0000,11.2330
2025-04-21 08:00:00,2025-04-21 08:00:00,direct_entry,2025-04-30 16:00:00,expiry,333,356,10.6385,4.2618,6.3767,49.3000,26.3000,-16.6233
2025-06-25 10:00:00,2025-06-25 10:00:00,direct_entry,2025-07-02 16:00:00,expiry,394,417,10.8920,4.4881,6.4039,6.6500,0.0000,-0.2461
2025-10-06 10:00:00,2025-10-06 10:00:00,direct_entry,2025-10-15 16:00:00,expiry,369,394,11.8385,4.8223,7.0161,0.0000,0.0000,7.0161
