entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-31 11:25:00,2024-01-31 11:25:00,direct_entry,2024-03-01 16:00:00,expiry,55,62,3.1904,1.3236,1.8667,52.5000,45.5000,-5.1333
2024-02-08 09:40:00,2024-02-08 09:40:00,direct_entry,2024-03-08 16:00:00,expiry,56,63,3.1303,1.2919,1.8384,85.9000,78.9000,-5.1616
2024-02-09 07:20:00,2024-02-09 07:20:00,direct_entry,2024-03-08 16:00:00,expiry,66,74,3.5119,1.4547,2.0571,75.9000,67.9000,-5.9429
2024-02-26 15:10:00,2024-02-26 15:10:00,direct_entry,2024-04-01 04:05:00,expiry,85,96,4.8422,2.0161,2.8261,81.2000,70.2000,-8.1739
2024-03-01 16:50:00,2024-03-01 16:50:00,direct_entry,2024-04-01 04:05:00,expiry,115,129,6.4930,2.7049,3.7881,51.2000,37.2000,-10.2119
2024-03-04 10:25:00,2024-03-04 10:25:00,direct_entry,2024-04-05 16:00:00,expiry,136,154,8.0870,3.3419,4.7451,8.4100,0.0000,-3.6649
2024-03-13 09:35:00,2024-03-13 09:35:00,direct_entry,2024-04-12 16:00:00,expiry,174,196,9.8675,4.0993,5.7682,0.0000,0.0000,5.7682
2024-03-21 10:45:00,2024-03-21 10:45:00,direct_entry,2024-04-19 16:00:00,expiry,177,198,9.7576,4.2082,5.5494,0.0000,0.0000,5.5494
2024-03-25 13:35:00,2024-03-25 13:35:00,direct_entry,2024-04-26 16:00:00,expiry,193,218,11.2432,4.7078,6.5354,0.0000,0.0000,6.5354
2024-04-03 11:15:00,2024-04-03 11:15:00,direct_entry,2024-05-03 16:00:00,expiry,175,197,9.9310,4.1448,5.7862,0.0000,0.0000,5.7862
2024-04-10 16:00:00,2024-04-10 16:00:00,direct_entry,2024-05-10 16:00:00,expiry,163,184,9.3854,3.8317,5.5538,0.0000,0.0000,5.5538
2024-05-13 15:20:00,2024-05-13 15:20:00,direct_entry,2024-06-14 16:00:00,expiry,131,148,7.5997,3.1705,4.4292,18.5000,1.5000,-12.5708
2024-05-15 14:40:00,2024-05-15 14:40:00,direct_entry,2024-06-14 16:00:00,expiry,151,170,8.6005,3.5831,5.0174,0.0000,0.0000,5.0174
