entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-23 12:45:00,2024-01-23 12:45:00,direct_entry,2024-02-14 16:00:00,expiry,88,97,2.5619,0.4775,2.0844,0.0000,0.0000,2.0844
2024-01-24 11:20:00,2024-01-24 11:20:00,direct_entry,2024-02-14 16:00:00,expiry,90,99,2.5503,0.4733,2.0771,0.0000,0.0000,2.0771
2024-02-02 12:40:00,2024-02-02 12:40:00,direct_entry,2024-02-28 16:00:00,expiry,90,100,2.5562,0.4586,2.0976,0.0000,0.0000,2.0976
2024-02-23 12:20:00,2024-02-23 12:20:00,direct_entry,2024-03-20 16:00:00,expiry,89,100,2.8902,0.4451,2.4452,2.3500,0.0000,0.0952
2024-02-28 11:15:00,2024-02-28 11:15:00,direct_entry,2024-03-20 16:00:00,expiry,88,97,2.3892,0.4152,1.9740,3.3500,0.0000,-1.3760
2024-03-12 15:30:00,2024-03-12 15:30:00,direct_entry,2024-04-03 16:00:00,expiry,89,99,2.6135,0.4010,2.2125,4.0000,0.0000,-1.7875
2024-03-13 11:25:00,2024-03-13 11:25:00,direct_entry,2024-04-03 16:00:00,expiry,92,101,2.4700,0.4661,2.0040,1.0000,0.0000,1.0040
2024-03-27 13:05:00,2024-03-27 13:05:00,direct_entry,2024-04-17 16:00:00,expiry,95,105,2.6147,0.4297,2.1850,0.0000,0.0000,2.1850
2024-04-26 14:50:00,2024-04-26 14:50:00,direct_entry,2024-05-22 16:00:00,expiry,96,106,2.7468,0.5574,2.1894,5.5400,0.0000,-3.3506
2024-05-03 10:00:00,2024-05-03 10:00:00,direct_entry,2024-05-29 16:00:00,expiry,96,107,3.0362,0.5419,2.4943,1.2700,0.0000,1.2243
2024-05-07 10:25:00,2024-05-07 10:25:00,direct_entry,2024-05-29 16:00:00,expiry,98,108,2.5777,0.4612,2.1164,0.0000,0.0000,2.1164
2024-05-09 12:00:00,2024-05-09 12:00:00,direct_entry,2024-06-05 16:00:00,expiry,100,112,3.1287,0.5206,2.6081,0.0000,0.0000,2.6081
2024-06-12 13:25:00,2024-06-12 13:25:00,direct_entry,2024-07-05 08:15:00,expiry,99,109,2.6181,0.4589,2.1592,0.9300,0.0000,1.2292
2024-06-28 10:55:00,2024-06-28 10:55:00,direct_entry,2024-07-24 16:00:00,expiry,100,111,2.8580,0.5257,2.3322,1.9700,0.0000,0.3622
2024-07-01 10:10:00,2024-07-01 10:10:00,direct_entry,2024-07-24 16:00:00,expiry,101,112,3.0456,0.5307,2.5149,0.9700,0.0000,1.5449
2024-07-10 15:25:00,2024-07-10 15:25:00,direct_entry,2024-07-31 16:00:00,expiry,106,116,2.7281,0.5374,2.1907,0.0000,0.0000,2.1907
