entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-16 12:30:00,2024-01-16 12:30:00,direct_entry,2024-02-14 16:00:00,expiry,84,75,2.6956,0.4251,2.2705,0.0000,0.0000,2.2705
2024-01-16 14:20:00,2024-01-16 14:20:00,direct_entry,2024-02-14 16:00:00,expiry,83,74,2.6233,0.3980,2.2253,0.0000,0.0000,2.2253
2024-01-17 11:30:00,2024-01-17 11:30:00,direct_entry,2024-02-14 16:00:00,expiry,82,73,2.4354,0.3376,2.0977,0.0000,0.0000,2.0977
2024-01-17 13:40:00,2024-01-17 13:40:00,direct_entry,2024-02-14 16:00:00,expiry,82,73,2.5417,0.3597,2.1820,0.0000,0.0000,2.1820
2024-01-17 15:00:00,2024-01-17 15:00:00,direct_entry,2024-02-14 16:00:00,expiry,82,73,2.5574,0.3625,2.1949,0.0000,0.0000,2.1949
2024-01-31 15:50:00,2024-01-31 15:50:00,direct_entry,2024-02-28 16:00:00,expiry,85,76,2.5159,0.3784,2.1375,0.0000,0.0000,2.1375
2024-02-13 14:30:00,2024-02-13 14:30:00,direct_entry,2024-03-13 16:00:00,expiry,81,73,2.3936,0.4338,1.9597,0.0000,0.0000,1.9597
2024-03-06 13:15:00,2024-03-06 13:15:00,direct_entry,2024-04-03 16:00:00,expiry,83,74,2.5193,0.3635,2.1558,0.0000,0.0000,2.1558
2024-04-10 13:15:00,2024-04-10 13:15:00,direct_entry,2024-05-08 16:00:00,expiry,89,80,2.6573,0.4482,2.2091,0.0000,0.0000,2.2091
2024-04-12 14:50:00,2024-04-12 14:50:00,direct_entry,2024-05-15 16:00:00,expiry,83,74,2.6149,0.4396,2.1754,0.0000,0.0000,2.1754
2024-04-30 15:50:00,2024-04-30 15:50:00,direct_entry,2024-05-29 16:00:00,expiry,88,79,2.5242,0.4171,2.1071,0.0000,0.0000,2.1071
2024-05-23 10:00:00,2024-05-23 10:00:00,direct_entry,2024-06-26 16:00:00,expiry,97,86,3.1832,0.5070,2.6761,0.1100,0.0000,2.5661
2024-05-23 11:00:00,2024-05-23 11:00:00,direct_entry,2024-06-26 16:00:00,expiry,96,85,2.9834,0.4505,2.5329,0.0000,0.0000,2.5329
2024-05-23 13:25:00,2024-05-23 13:25:00,direct_entry,2024-06-26 16:00:00,expiry,96,85,3.0549,0.4658,2.5892,0.0000,0.0000,2.5892
2024-05-24 15:30:00,2024-05-24 15:30:00,direct_entry,2024-06-26 16:00:00,expiry,96,85,2.9428,0.4281,2.5147,0.0000,0.0000,2.5147
2024-06-05 13:40:00,2024-06-05 13:40:00,direct_entry,2024-07-05 08:15:00,expiry,94,84,2.7982,0.4185,2.3798,0.0000,0.0000,2.3798
2024-06-13 10:05:00,2024-06-13 10:05:00,direct_entry,2024-07-17 16:00:00,expiry,92,82,2.9021,0.4992,2.4029,0.0000,0.0000,2.4029
2024-06-20 11:10:00,2024-06-20 11:10:00,direct_entry,2024-07-24 16:00:00,expiry,94,84,2.9447,0.5286,2.4161,0.0000,0.0000,2.4161
2024-06-27 14:45:00,2024-06-27 14:45:00,direct_entry,2024-07-31 16:00:00,expiry,92,82,2.8522,0.4843,2.3679,0.0000,0.0000,2.3679
2024-07-29 10:30:00,2024-07-29 10:30:00,direct_entry,2024-08-28 16:00:00,expiry,100,89,3.1455,0.4752,2.6703,0.0000,0.0000,2.6703
2024-08-01 13:40:00,2024-08-01 13:40:00,direct_entry,2024-09-04 16:00:00,expiry,99,87,3.4070,0.4711,2.9359,0.0000,0.0000,2.9359
2024-08-01 15:05:00,2024-08-01 15:05:00,direct_entry,2024-09-04 16:00:00,expiry,98,87,3.0779,0.4886,2.5892,0.0000,0.0000,2.5892
2024-08-05 15:15:00,2024-08-05 15:15:00,direct_entry,2024-09-04 16:00:00,expiry,90,80,2.7831,0.4043,2.3789,0.0000,0.0000,2.3789
2024-08-06 09:40:00,2024-08-06 09:40:00,direct_entry,2024-09-04 16:00:00,expiry,90,80,2.9163,0.4249,2.4914,0.0000,0.0000,2.4914
2024-08-20 15:30:00,2024-08-20 15:30:00,direct_entry,2024-09-18 16:00:00,expiry,98,88,2.9814,0.5099,2.4715,0.0000,0.0000,2.4715
2024-09-03 14:25:00,2024-09-03 14:25:00,direct_entry,2024-10-02 16:00:00,expiry,97,86,3.0628,0.4153,2.6475,0.0000,0.0000,2.6475
2024-09-03 15:50:00,2024-09-03 15:50:00,direct_entry,2024-10-02 16:00:00,expiry,96,86,2.8552,0.4606,2.3946,0.0000,0.0000,2.3946
2024-09-30 12:50:00,2024-09-30 12:50:00,direct_entry,2024-10-30 16:00:00,expiry,101,90,3.1473,0.4833,2.6641,0.0000,0.0000,2.6641
2024-10-10 13:55:00,2024-10-10 13:55:00,direct_entry,2024-11-13 16:00:00,expiry,105,93,3.5450,0.5605,2.9845,0.0000,0.0000,2.9845
2024-10-22 09:30:00,2024-10-22 09:30:00,direct_entry,2024-11-20 16:00:00,expiry,115,103,3.5703,0.5905,2.9798,0.0000,0.0000,2.9798
2024-10-30 12:40:00,2024-10-30 12:40:00,direct_entry,2024-11-27 16:00:00,expiry,115,103,3.3519,0.5199,2.8320,0.0000,0.0000,2.8320
2024-10-30 15:50:00,2024-10-30 15:50:00,direct_entry,2024-11-27 16:00:00,expiry,115,103,3.4434,0.5394,2.9039,0.0000,0.0000,2.9039
2024-11-01 13:10:00,2024-11-01 13:10:00,direct_entry,2024-12-04 16:00:00,expiry,114,101,3.7800,0.5811,3.1988,0.0000,0.0000,3.1988
2024-11-22 09:40:00,2024-11-22 09:40:00,direct_entry,2024-12-26 09:30:00,expiry,131,116,4.2674,0.6460,3.6214,4.2100,0.0000,-0.5886
2024-11-25 11:50:00,2024-11-25 11:50:00,direct_entry,2024-12-26 09:30:00,expiry,130,116,4.0037,0.6283,3.3754,3.2100,0.0000,0.1654
2024-11-25 15:50:00,2024-11-25 15:50:00,direct_entry,2024-12-26 09:30:00,expiry,130,116,4.0000,0.6245,3.3755,3.2100,0.0000,0.1655
2024-12-10 13:35:00,2024-12-10 13:35:00,direct_entry,2025-01-08 16:00:00,expiry,124,111,3.7261,0.5968,3.1292,0.0000,0.0000,3.1292
2024-12-19 13:05:00,2024-12-19 13:05:00,direct_entry,2025-01-22 16:00:00,expiry,118,104,4.0081,0.5812,3.4269,0.0000,0.0000,3.4269
2025-01-07 14:40:00,2025-01-07 14:40:00,direct_entry,2025-02-05 16:00:00,expiry,123,110,3.6130,0.5606,3.0523,0.0000,0.0000,3.0523
2025-01-21 12:05:00,2025-01-21 12:05:00,direct_entry,2025-02-19 16:00:00,expiry,132,118,3.9596,0.6178,3.3417,0.0000,0.0000,3.3417
2025-01-27 09:30:00,2025-01-27 09:30:00,direct_entry,2025-02-26 16:00:00,expiry,132,118,4.1102,0.6738,3.4364,0.9500,0.0000,2.4864
2025-01-27 12:20:00,2025-01-27 12:20:00,direct_entry,2025-02-26 16:00:00,expiry,131,117,4.0069,0.6376,3.3694,0.0000,0.0000,3.3694
2025-03-03 15:45:00,2025-03-03 15:45:00,direct_entry,2025-04-02 16:00:00,expiry,125,111,3.9778,0.5750,3.4028,6.0000,0.0000,-2.5972
2025-03-07 10:45:00,2025-03-07 10:45:00,direct_entry,2025-04-09 16:00:00,expiry,114,101,3.7837,0.5835,3.2002,1.9500,0.0000,1.2502
2025-03-10 09:45:00,2025-03-10 09:45:00,direct_entry,2025-04-09 16:00:00,expiry,112,100,3.3265,0.5199,2.8067,0.0000,0.0000,2.8067
2025-03-10 13:20:00,2025-03-10 13:20:00,direct_entry,2025-04-09 16:00:00,expiry,108,96,3.2432,0.4649,2.7783,0.0000,0.0000,2.7783
2025-04-21 11:05:00,2025-04-21 11:05:00,direct_entry,2025-05-21 16:00:00,expiry,103,92,3.0720,0.4840,2.5880,0.0000,0.0000,2.5880
2025-04-21 14:10:00,2025-04-21 14:10:00,direct_entry,2025-05-21 16:00:00,expiry,102,91,3.1373,0.4891,2.6482,0.0000,0.0000,2.6482
2025-04-23 14:55:00,2025-04-23 14:55:00,direct_entry,2025-05-21 16:00:00,expiry,109,98,3.0946,0.5104,2.5842,0.0000,0.0000,2.5842
2025-05-20 12:40:00,2025-05-20 12:40:00,direct_entry,2025-06-18 16:00:00,expiry,126,112,4.0161,0.5777,3.4383,0.0000,0.0000,3.4383
2025-05-20 14:10:00,2025-05-20 14:10:00,direct_entry,2025-06-18 16:00:00,expiry,125,112,3.6779,0.5934,3.0845,0.0000,0.0000,3.0845
2025-06-12 08:00:00,2025-06-12 08:00:00,direct_entry,2025-07-16 16:00:00,expiry,128,113,4.2935,0.6408,3.6526,0.0000,0.0000,3.6526
2025-06-20 13:55:00,2025-06-20 13:55:00,direct_entry,2025-07-23 16:00:00,expiry,128,114,4.0105,0.6599,3.3507,0.0000,0.0000,3.3507
2025-07-16 09:35:00,2025-07-16 09:35:00,direct_entry,2025-08-13 16:00:00,expiry,136,122,4.0899,0.6677,3.4222,0.0000,0.0000,3.4222
2025-07-16 10:40:00,2025-07-16 10:40:00,direct_entry,2025-08-13 16:00:00,expiry,134,120,3.9758,0.6220,3.3537,0.0000,0.0000,3.3537
2025-07-16 11:40:00,2025-07-16 11:40:00,direct_entry,2025-08-13 16:00:00,expiry,133,119,4.1587,0.6562,3.5026,0.0000,0.0000,3.5026
2025-07-31 14:15:00,2025-07-31 14:15:00,direct_entry,2025-09-03 16:00:00,expiry,138,122,4.4396,0.6610,3.7786,0.0000,0.0000,3.7786
2025-08-19 13:10:00,2025-08-19 13:10:00,direct_entry,2025-09-17 16:00:00,expiry,140,125,4.3378,0.6711,3.6667,0.0000,0.0000,3.6667
2025-09-16 12:15:00,2025-09-16 12:15:00,direct_entry,2025-10-15 16:00:00,expiry,152,136,4.6850,0.7543,3.9307,0.0000,0.0000,3.9307
2025-09-24 14:10:00,2025-09-24 14:10:00,direct_entry,2025-10-22 16:00:00,expiry,154,138,4.5886,0.7259,3.8628,0.0000,0.0000,3.8628
