entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,long_prem,short_prem,net_debit,long_settle,short_settle,final_pnl
2024-01-03 10:45:00,2024-01-03 10:45:00,direct_entry,2024-01-17 16:00:00,expiry,16600,17300,232.6113,32.2821,200.3291,258.7500,0.0000,58.4209
2024-01-04 09:30:00,2024-01-04 09:30:00,direct_entry,2024-01-18 16:00:00,expiry,16500,17200,221.4803,29.5481,191.9322,604.5000,0.0000,412.5678
2024-01-05 06:45:00,2024-01-05 06:45:00,direct_entry,2024-01-19 16:00:00,expiry,16400,17100,227.8337,30.8530,196.9807,1056.7500,356.7500,503.0193
2024-01-23 04:00:00,2024-01-23 04:00:00,direct_entry,2024-02-06 16:00:00,expiry,17450,18250,253.1337,29.5795,223.5542,195.2500,0.0000,-28.3042
2024-01-25 20:45:00,2024-01-25 20:45:00,direct_entry,2024-02-08 16:00:00,expiry,17500,18300,254.4857,28.5132,225.9726,357.0000,0.0000,131.0274
2024-02-13 15:30:00,2024-02-13 15:30:00,direct_entry,2024-02-27 16:00:00,expiry,17600,18400,260.0844,30.4419,229.6425,420.5000,0.0000,190.8575
2024-02-25 20:15:00,2024-02-25 20:15:00,direct_entry,2024-03-11 16:00:00,expiry,17950,18750,257.6355,32.9124,224.7231,281.8300,0.0000,57.1069
2024-03-04 19:00:00,2024-03-04 19:00:00,direct_entry,2024-03-18 16:00:00,expiry,18250,19000,246.5799,34.7875,211.7924,0.0000,0.0000,-211.7924
2024-03-04 21:00:00,2024-03-04 21:00:00,direct_entry,2024-03-18 16:00:00,expiry,18200,19000,256.1451,31.1443,225.0008,36.2500,0.0000,-188.7508
2024-03-15 13:00:00,2024-03-15 13:00:00,direct_entry,2024-03-31 18:00:00,expiry,18050,18850,249.1360,29.9566,219.1795,533.7500,0.0000,314.5705
2024-04-16 06:30:00,2024-04-16 06:30:00,direct_entry,2024-04-30 16:00:00,expiry,17850,18650,256.0368,31.2982,224.7386,0.0000,0.0000,-224.7386
2024-05-01 04:00:00,2024-05-01 04:00:00,direct_entry,2024-05-15 16:00:00,expiry,17500,18250,237.6209,31.6204,206.0005,1182.5000,432.5000,543.9995
2024-05-01 06:30:00,2024-05-01 06:30:00,direct_entry,2024-05-15 16:00:00,expiry,17450,18200,242.5001,32.3060,210.1941,1232.5000,482.5000,539.8059
2024-05-01 13:15:00,2024-05-01 13:15:00,direct_entry,2024-05-15 16:00:00,expiry,17450,18200,245.5233,32.3592,213.1640,1232.5000,482.5000,536.8360
2024-05-31 04:00:00,2024-05-31 04:00:00,direct_entry,2024-06-14 16:00:00,expiry,18550,19400,268.4766,31.3642,237.1123,1405.3800,555.3800,612.8877
2024-05-31 07:00:00,2024-05-31 07:00:00,direct_entry,2024-06-14 16:00:00,expiry,18550,19350,256.8131,33.7893,223.0238,1405.3800,605.3800,576.9762
2024-06-24 10:45:00,2024-06-24 10:45:00,direct_entry,2024-07-08 16:00:00,expiry,19900,20800,285.5252,33.6519,251.8733,773.0000,0.0000,521.1267
2024-06-24 14:30:00,2024-06-24 14:30:00,direct_entry,2024-07-08 16:00:00,expiry,19800,20650,279.5762,36.9131,242.6630,873.0000,23.0000,607.3370
2024-06-25 04:00:00,2024-06-25 04:00:00,direct_entry,2024-07-09 16:00:00,expiry,19750,20650,292.5730,35.2657,257.3073,925.2500,25.2500,642.6927
2024-07-17 11:15:00,2024-07-17 11:15:00,direct_entry,2024-07-31 16:00:00,expiry,20150,21000,275.2823,37.4936,237.7887,0.0000,0.0000,-237.7887
2024-07-17 12:45:00,2024-07-17 12:45:00,direct_entry,2024-07-31 16:00:00,expiry,20050,20950,289.9560,34.8512,255.1048,0.0000,0.0000,-255.1048
2024-07-24 01:00:00,2024-07-24 01:00:00,direct_entry,2024-08-07 16:00:00,expiry,19750,20650,285.3477,34.0905,251.2571,0.0000,0.0000,-251.2571
