long_entry_time,short_entry_time,planned_expiry,actual_settlement_time,is_early_exit,k1,k2,long_entry_price,short_entry_price,net_debit,long_settlement_price,short_settlement_price,payoff,net_pnl
2024-01-25 20:45:00,2024-01-28 20:45:00,2024-02-21 20:45:00,2024-02-21 20:45:00,False,17500,17636.7500,359.3331,279.2139,80.1192,269.2500,132.5000,136.7500,56.6308
2024-02-13 06:15:00,2024-02-16 05:45:00,2024-03-06 06:15:00,2024-03-04 01:00:00,True,17850,18117.5000,321.7641,249.2711,72.4929,506.8559,258.6158,248.2401,175.7472
2024-02-25 20:15:00,2024-02-28 20:15:00,2024-03-20 20:15:00,2024-03-20 20:15:00,False,17950,18045.7500,333.4882,241.2646,92.2237,622.5000,526.7500,95.7500,3.5263
2024-03-05 15:30:00,2024-03-07 09:30:00,2024-03-27 15:30:00,2024-03-21 03:30:00,True,17850,18263.0000,331.7416,261.6986,70.0430,826.3266,446.2340,380.0926,310.0496
2024-03-04 19:00:00,2024-03-05 14:30:00,2024-03-27 19:00:00,2024-03-27 19:00:00,False,18250,18333.5000,324.9650,135.1030,189.8620,236.0000,152.5000,83.5000,-106.3620
2024-03-14 13:30:00,2024-03-17 18:00:00,2024-04-10 13:30:00,2024-04-10 13:30:00,False,18250,18353.0000,365.2266,223.0517,142.1750,0.0000,0.0000,0.0000,-142.1750
2024-03-25 09:45:00,2024-03-28 09:45:00,2024-04-17 09:45:00,2024-04-17 09:45:00,False,18500,18613.0000,327.1833,265.5646,61.6187,0.0000,0.0000,0.0000,-61.6187
2024-04-01 12:00:00,2024-04-04 09:45:00,2024-04-24 12:00:00,2024-04-24 12:00:00,False,18450,18618.0000,347.8011,266.4232,81.3779,0.0000,0.0000,0.0000,-81.3779
2024-04-19 15:00:00,2024-04-22 15:00:00,2024-05-15 15:00:00,2024-05-06 05:15:00,True,17200,17510.0000,331.4351,269.6135,61.8216,862.4086,577.1218,285.2868,223.4652
2024-04-15 15:30:00,2024-04-18 14:45:00,2024-05-08 15:30:00,2024-05-08 15:30:00,False,17850,17972.7500,338.5991,125.6245,212.9746,338.0000,215.2500,122.7500,-90.2246
2024-04-25 10:00:00,2024-04-26 13:30:00,2024-05-22 10:00:00,2024-05-14 10:15:00,True,17400,17983.0000,352.7313,299.1113,53.6200,981.7916,445.4919,536.2996,482.6796
2024-05-01 06:30:00,2024-05-03 10:00:00,2024-05-22 06:30:00,2024-05-14 14:00:00,True,17450,18027.2500,297.5926,246.4292,51.1634,943.0615,416.6141,526.4474,475.2840
2024-05-08 09:30:00,2024-05-12 18:00:00,2024-05-29 09:30:00,2024-05-22 21:15:00,True,18100,18334.0000,328.2660,232.4938,95.7722,801.7838,581.1768,220.6071,124.8349
2024-05-30 20:45:00,2024-06-02 20:30:00,2024-06-26 20:45:00,2024-06-12 08:30:00,True,18500,18986.7200,381.9774,304.3607,77.6168,1202.2298,754.6120,447.6178,370.0011
2024-06-24 10:45:00,2024-06-27 10:45:00,2024-07-17 10:45:00,2024-07-10 07:30:00,True,19900,20130.5000,367.5773,291.1124,76.4650,871.5886,656.0204,215.5681,139.1032
2024-07-17 11:15:00,2024-07-19 11:15:00,2024-08-07 11:15:00,2024-08-07 11:15:00,False,20150,20231.0000,340.9503,136.7217,204.2286,0.0000,0.0000,0.0000,-204.2286
2024-07-16 12:45:00,2024-07-17 10:00:00,2024-08-07 12:45:00,2024-08-07 12:45:00,False,20550,20645.5000,364.5206,148.2754,216.2451,0.0000,0.0000,0.0000,-216.2451
2024-08-05 02:30:00,2024-08-06 14:45:00,2024-08-28 02:30:00,2024-08-13 10:45:00,True,17650,18486.7500,313.9972,275.4812,38.5160,1323.1123,565.9798,757.1324,718.6164
