entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-18 19:00:00,2024-01-18 19:00:00,direct_entry,2024-01-31 16:00:00,expiry,17350,18100,257.2039,39.7894,217.4145,0.0000,0.0000,217.4145
2024-01-19 04:30:00,2024-01-19 04:30:00,direct_entry,2024-01-31 16:00:00,expiry,17400,18150,259.8217,39.8068,220.0148,0.0000,0.0000,220.0148
2024-02-02 07:45:00,2024-02-02 07:45:00,direct_entry,2024-02-14 16:00:00,expiry,17850,18600,253.9328,39.2240,214.7088,13.5000,0.0000,201.2088
2024-02-05 02:45:00,2024-02-05 02:45:00,direct_entry,2024-02-14 16:00:00,expiry,17900,18550,221.0983,34.7460,186.3524,0.0000,0.0000,186.3524
2024-02-16 05:45:00,2024-02-16 05:45:00,direct_entry,2024-02-28 16:00:00,expiry,18250,19000,260.4626,42.2743,218.1883,0.0000,0.0000,218.1883
2024-02-22 04:00:00,2024-02-22 04:00:00,direct_entry,2024-03-06 16:00:00,expiry,18100,18900,278.6869,43.7569,234.9300,0.0000,0.0000,234.9300
2024-02-29 14:15:00,2024-02-29 14:15:00,direct_entry,2024-03-13 16:00:00,expiry,18250,19050,273.7435,41.9681,231.7754,95.2500,0.0000,136.5254
2024-03-08 05:00:00,2024-03-08 05:00:00,direct_entry,2024-03-20 16:00:00,expiry,18550,19350,267.6474,39.9004,227.7470,0.0000,0.0000,227.7470
2024-03-14 03:00:00,2024-03-14 03:00:00,direct_entry,2024-03-27 16:00:00,expiry,18600,19450,287.5415,42.4485,245.0929,0.0000,0.0000,245.0929
2024-03-21 04:00:00,2024-03-21 04:00:00,direct_entry,2024-04-03 16:00:00,expiry,18850,19700,293.9092,44.7630,249.1463,0.0000,0.0000,249.1463
2024-03-28 08:30:00,2024-03-28 08:30:00,direct_entry,2024-04-10 16:00:00,expiry,18700,19550,288.9352,42.6049,246.3303,0.0000,0.0000,246.3303
2024-04-04 09:45:00,2024-04-04 09:45:00,direct_entry,2024-04-17 16:00:00,expiry,18750,19600,282.8904,41.0952,241.7952,0.0000,0.0000,241.7952
2024-04-11 01:30:00,2024-04-11 01:30:00,direct_entry,2024-04-24 16:00:00,expiry,18450,19250,276.1481,44.3140,231.8341,0.0000,0.0000,231.8341
2024-04-23 12:30:00,2024-04-23 12:30:00,direct_entry,2024-05-01 16:00:00,expiry,17800,18400,200.2969,30.7207,169.5762,0.0000,0.0000,169.5762
2024-04-29 09:30:00,2024-04-29 09:30:00,direct_entry,2024-05-08 16:00:00,expiry,18050,18700,219.3172,33.9592,185.3580,111.5000,0.0000,73.8580
2024-05-02 06:15:00,2024-05-02 06:15:00,direct_entry,2024-05-15 16:00:00,expiry,17800,18600,272.0732,40.9165,231.1567,882.5000,82.5000,-568.8433
2024-05-13 02:30:00,2024-05-13 02:30:00,direct_entry,2024-05-22 16:00:00,expiry,18500,19200,231.3214,33.8139,197.5075,291.2500,0.0000,-93.7425
2024-05-20 07:00:00,2024-05-20 07:00:00,direct_entry,2024-05-29 16:00:00,expiry,18850,19550,244.8476,37.7182,207.1294,0.0000,0.0000,207.1294
2024-05-27 09:45:00,2024-05-27 09:45:00,direct_entry,2024-06-05 16:00:00,expiry,19100,19800,231.7401,34.5905,197.1496,221.8300,0.0000,-24.6804
2024-06-03 09:45:00,2024-06-03 09:45:00,direct_entry,2024-06-12 16:00:00,expiry,19150,19850,232.0987,34.7994,197.2994,595.0400,0.0000,-397.7406
