entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-31 06:00:00,2024-01-31 06:00:00,direct_entry,2024-02-28 16:00:00,expiry,17200,16350,218.0249,31.2521,186.7728,0.0000,0.0000,186.7728
2024-02-21 15:00:00,2024-02-21 15:00:00,direct_entry,2024-03-20 16:00:00,expiry,17350,16500,221.1820,32.0879,189.0941,0.0000,0.0000,189.0941
2024-03-07 03:00:00,2024-03-07 03:00:00,direct_entry,2024-04-04 16:00:00,expiry,17750,16900,215.4113,32.6562,182.7551,0.0000,0.0000,182.7551
2024-03-25 10:00:00,2024-03-25 10:00:00,direct_entry,2024-04-22 16:00:00,expiry,18300,17450,225.0766,36.5066,188.5700,955.0000,105.0000,-661.4300
2024-05-29 09:00:00,2024-05-29 09:00:00,direct_entry,2024-06-26 16:00:00,expiry,18600,17700,226.8463,33.3866,193.4597,0.0000,0.0000,193.4597
2024-05-30 03:00:00,2024-05-30 03:00:00,direct_entry,2024-06-27 16:00:00,expiry,18450,17600,219.5976,36.0006,183.5970,0.0000,0.0000,183.5970
2024-08-02 11:00:00,2024-08-02 11:00:00,direct_entry,2024-08-30 16:00:00,expiry,18350,17500,217.6730,34.8538,182.8192,0.0000,0.0000,182.8192
2024-10-31 16:00:00,2024-10-31 16:00:00,direct_entry,2024-11-28 18:00:00,expiry,19800,18850,241.1310,35.8487,205.2822,0.0000,0.0000,205.2822
2024-12-19 23:00:00,2024-12-19 23:00:00,direct_entry,2025-01-16 16:00:00,expiry,21000,20000,257.7772,38.8099,218.9673,0.0000,0.0000,218.9673
2025-02-27 23:00:00,2025-02-27 23:00:00,direct_entry,2025-03-27 16:00:00,expiry,20350,19400,239.9601,37.0696,202.8905,352.7500,0.0000,-149.8595
2025-03-21 12:00:00,2025-03-21 12:00:00,direct_entry,2025-04-20 18:00:00,expiry,19650,18750,238.8168,39.6296,199.1872,1360.0000,460.0000,-700.8128
2025-03-31 00:00:00,2025-03-31 00:00:00,direct_entry,2025-04-28 16:00:00,expiry,19000,18100,236.2299,37.3111,198.9188,0.0000,0.0000,198.9188
2025-04-21 01:00:00,2025-04-21 01:00:00,direct_entry,2025-05-19 16:00:00,expiry,18050,17150,232.6647,33.1475,199.5172,0.0000,0.0000,199.5172
2025-08-18 10:00:00,2025-08-18 10:00:00,direct_entry,2025-09-15 16:00:00,expiry,23500,22400,291.6287,46.6937,244.9351,0.0000,0.0000,244.9351
2025-08-18 13:00:00,2025-08-18 13:00:00,direct_entry,2025-09-15 16:00:00,expiry,23500,22350,297.4858,43.2285,254.2573,0.0000,0.0000,254.2573
2025-11-06 23:00:00,2025-11-06 23:00:00,direct_entry,2025-12-04 16:00:00,expiry,24950,23800,303.9927,49.1307,254.8620,0.0000,0.0000,254.8620
2026-02-05 11:00:00,2026-02-05 11:00:00,direct_entry,2026-03-05 16:00:00,expiry,24550,23350,308.5962,44.9189,263.6772,0.0000,0.0000,263.6772
2026-02-20 09:00:00,2026-02-20 09:00:00,direct_entry,2026-03-20 16:00:00,expiry,24600,23450,303.1840,48.5792,254.6047,382.7500,0.0000,-128.1453
2026-03-12 20:00:00,2026-03-12 20:00:00,direct_entry,2026-03-27 16:00:00,force_close,24550,23400,302.3367,47.5420,254.7947,1295.7500,145.7500,-895.2053
