entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-01 21:39:00,2024-01-01 21:39:00,direct_entry,2024-01-04 16:00:00,expiry,16900,16650,114.9540,50.6272,64.3268,454.5000,204.5000,-185.6732
2024-01-02 06:24:00,2024-01-02 06:24:00,direct_entry,2024-01-05 16:00:00,expiry,16800,16500,134.2452,54.4733,79.7719,338.5000,38.5000,-220.2281
2024-01-05 11:50:00,2024-01-05 11:50:00,direct_entry,2024-01-08 16:00:00,expiry,16400,16150,120.6248,55.2660,65.3588,0.0000,0.0000,65.3588
2024-01-08 04:36:00,2024-01-08 04:36:00,direct_entry,2024-01-11 16:00:00,expiry,16250,16000,117.4475,55.1125,62.3349,0.0000,0.0000,62.3349
2024-01-08 22:52:00,2024-01-08 22:52:00,direct_entry,2024-01-11 16:00:00,expiry,16700,16400,120.3402,42.4764,77.8638,0.0000,0.0000,77.8638
2024-01-11 19:59:00,2024-01-11 19:59:00,direct_entry,2024-01-15 18:00:00,expiry,16800,16500,132.6857,56.6370,76.0487,0.0000,0.0000,76.0487
2024-01-11 23:30:00,2024-01-11 23:30:00,direct_entry,2024-01-15 18:00:00,expiry,16800,16500,127.0153,52.8657,74.1496,0.0000,0.0000,74.1496
2024-01-15 19:30:00,2024-01-15 19:30:00,direct_entry,2024-01-18 16:00:00,expiry,16800,16550,112.5043,49.7686,62.7357,0.0000,0.0000,62.7357
2024-01-16 12:33:00,2024-01-16 12:33:00,direct_entry,2024-01-19 16:00:00,expiry,16800,16500,121.9056,46.7347,75.1709,0.0000,0.0000,75.1709
2024-01-22 03:31:00,2024-01-22 03:31:00,direct_entry,2024-01-25 16:00:00,expiry,17400,17100,132.5242,56.2213,76.3029,0.0000,0.0000,76.3029
2024-01-22 08:41:00,2024-01-22 08:41:00,direct_entry,2024-01-25 16:00:00,expiry,17400,17100,125.7803,51.3721,74.4082,0.0000,0.0000,74.4082
2024-01-25 20:38:00,2024-01-25 20:38:00,direct_entry,2024-01-29 16:00:00,expiry,17400,17050,146.2268,54.9957,91.2311,0.0000,0.0000,91.2311
2024-01-25 23:05:00,2024-01-25 23:05:00,direct_entry,2024-01-29 16:00:00,expiry,17400,17050,143.3714,52.9674,90.4040,0.0000,0.0000,90.4040
2024-01-30 02:00:00,2024-01-30 02:00:00,direct_entry,2024-02-02 16:00:00,expiry,17600,17250,145.9257,53.8646,92.0611,0.0000,0.0000,92.0611
2024-01-30 08:21:00,2024-01-30 08:21:00,direct_entry,2024-02-02 16:00:00,expiry,17550,17250,137.5929,57.7469,79.8459,0.0000,0.0000,79.8459
2024-02-05 10:14:00,2024-02-05 10:14:00,direct_entry,2024-02-08 16:00:00,expiry,17550,17250,135.0693,55.8912,79.1781,0.0000,0.0000,79.1781
2024-02-06 04:56:00,2024-02-06 04:56:00,direct_entry,2024-02-09 16:00:00,expiry,17600,17300,132.8932,56.5645,76.3287,0.0000,0.0000,76.3287
2024-02-09 09:39:00,2024-02-09 09:39:00,direct_entry,2024-02-12 16:00:00,expiry,17750,17450,125.9785,52.1322,73.8463,0.0000,0.0000,73.8463
2024-02-09 16:09:00,2024-02-09 16:09:00,direct_entry,2024-02-12 16:00:00,expiry,17900,17600,121.6225,48.4217,73.2009,0.0000,0.0000,73.2009
2024-02-13 03:25:00,2024-02-13 03:25:00,direct_entry,2024-02-16 16:00:00,expiry,17800,17500,132.4526,57.3466,75.1060,57.0000,0.0000,18.1060
2024-02-13 04:43:00,2024-02-13 04:43:00,direct_entry,2024-02-16 16:00:00,expiry,17750,17450,137.0120,59.1517,77.8603,7.0000,0.0000,70.8603
2024-02-16 16:17:00,2024-02-16 16:17:00,direct_entry,2024-02-19 18:00:00,expiry,17600,17300,124.0738,48.7603,75.3135,0.0000,0.0000,75.3135
2024-02-20 05:55:00,2024-02-20 05:55:00,direct_entry,2024-02-23 16:00:00,expiry,17500,17200,130.7836,54.9332,75.8503,0.0000,0.0000,75.8503
2024-02-20 11:24:00,2024-02-20 11:24:00,direct_entry,2024-02-23 16:00:00,expiry,17450,17150,127.5502,51.5542,75.9960,0.0000,0.0000,75.9960
2024-02-26 02:24:00,2024-02-26 02:24:00,direct_entry,2024-02-29 16:00:00,expiry,17800,17500,136.1198,59.5235,76.5963,0.0000,0.0000,76.5963
2024-02-26 08:06:00,2024-02-26 08:06:00,direct_entry,2024-02-29 16:00:00,expiry,17850,17550,131.0030,55.3684,75.6346,0.0000,0.0000,75.6346
2024-02-29 23:50:00,2024-02-29 23:50:00,direct_entry,2024-03-04 16:00:00,expiry,18000,17650,147.2864,56.3956,90.8907,0.0000,0.0000,90.8907
2024-03-01 03:39:00,2024-03-01 03:39:00,direct_entry,2024-03-04 16:00:00,expiry,18000,17700,138.3916,60.9023,77.4893,0.0000,0.0000,77.4893
