
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
                           参数优化报告: MixUTurnBottomLongCall_NQ_M5_LONG                            
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
排名    参数组合                             夏普       胜率         盈亏比      最大回撤       收益风险比        总收益率       最大持仓
----------------------------------------------------------------------------------------------------
1       {'option_days': 7, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.1, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 0} 2.34      48.17%       1.73       -18.73%      12.29         230.17%      3
2       {'option_days': 7, 'expiry_weekday': -1, 'entry_long': 0.4, 'entry_short': 0.1, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.84      43.26%       2.10       -12.04%      11.95         143.87%      3
3       {'option_days': 7, 'expiry_weekday': -1, 'entry_long': 0.4, 'entry_short': 0.2, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.80      46.07%       1.86       -9.00%       11.19         100.78%      3
4       {'option_days': 14, 'expiry_weekday': -1, 'entry_long': 0.4, 'entry_short': 0.2, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.99      52.75%       1.78       -9.77%       10.91         106.52%      3
5       {'option_days': 7, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.1, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.74      46.02%       1.80       -15.41%      10.90         168.01%      3
6       {'option_days': 7, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.1, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.95      48.03%       1.72       -14.52%      10.74         155.90%      3
7       {'option_days': 7, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.2, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 0} 2.39      50.00%       1.59       -17.11%      10.41         178.12%      3
8       {'option_days': 14, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.2, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.94      55.91%       1.54       -14.43%      10.26         148.00%      3
9       {'option_days': 7, 'expiry_weekday': -1, 'entry_long': 0.4, 'entry_short': 0.1, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.92      44.67%       2.00       -12.01%      10.22         122.68%      3
10      {'option_days': 7, 'expiry_weekday': -1, 'entry_long': 0.4, 'entry_short': 0.1, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 0} 2.23      44.04%       2.03       -18.08%      9.82          177.64%      3
11      {'option_days': 14, 'expiry_weekday': -1, 'entry_long': 0.4, 'entry_short': 0.1, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.71      50.55%       1.79       -13.48%      9.44          127.21%      3
12      {'option_days': 14, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.1, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.70      53.76%       1.57       -17.53%      9.27          162.38%      3
13      {'option_days': 14, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.2, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 0} 1.96      53.52%       1.44       -17.62%      9.17          161.60%      3
