
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
                            参数优化报告: MixUTurnStrangleBull_NQ_M5_LONG                             
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
排名    参数组合                             夏普       胜率         盈亏比      最大回撤       收益风险比        总收益率       最大持仓
----------------------------------------------------------------------------------------------------
1       {'option_days': 7, 'expiry_weekday': -1, 'entry_call': 0.5, 'entry_put': 0.2, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0} 1.71      50.43%       1.52       -19.25%      13.35         257.09%      3
2       {'option_days': 7, 'expiry_weekday': -1, 'entry_call': 0.5, 'entry_put': 0.3, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0} 1.43      50.87%       1.39       -23.71%      9.27          219.88%      3
3       {'option_days': 7, 'expiry_weekday': -1, 'entry_call': 0.5, 'entry_put': 0.2, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 1} 1.28      49.21%       1.65       -20.47%      7.79          159.47%      3
4       {'option_days': 7, 'expiry_weekday': -1, 'entry_call': 0.5, 'entry_put': 0.4, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0} 1.19      49.13%       1.41       -30.65%      6.01          184.20%      3
5       {'option_days': 7, 'expiry_weekday': -1, 'entry_call': 0.5, 'entry_put': 0.2, 'cooldown_hours': 1, 'max_positions': 1, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0} 1.11      48.24%       1.55       -14.93%      5.29          78.98%       1
6       {'option_days': 21, 'expiry_weekday': -1, 'entry_call': 0.5, 'entry_put': 0.2, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 1} 1.25      45.45%       1.90       -36.97%      4.59          169.64%      3
7       {'option_days': 28, 'expiry_weekday': -1, 'entry_call': 0.5, 'entry_put': 0.2, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 1} 1.18      53.73%       1.35       -29.27%      4.38          128.20%      3
8       {'option_days': 7, 'expiry_weekday': -1, 'entry_call': 0.5, 'entry_put': 0.3, 'cooldown_hours': 1, 'max_positions': 1, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0} 0.96      49.41%       1.40       -16.83%      4.09          68.81%       1
9       {'option_days': 7, 'expiry_weekday': -1, 'entry_call': 0.5, 'entry_put': 0.3, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 1} 1.02      47.62%       1.54       -31.35%      3.87          121.30%      3
10      {'option_days': 14, 'expiry_weekday': -1, 'entry_call': 0.5, 'entry_put': 0.2, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0} 1.14      44.76%       1.72       -45.76%      3.40          155.59%      3
11      {'option_days': 21, 'expiry_weekday': -1, 'entry_call': 0.5, 'entry_put': 0.3, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 1} 1.05      44.16%       1.78       -42.64%      3.10          132.35%      3
