entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-22 06:00:00,2024-01-22 06:00:00,direct_entry,2024-02-02 16:00:00,expiry,60.0000,62.5000,1.6167,0.7149,0.9018,6.0400,3.5400,-1.5982
2024-02-15 04:00:00,2024-02-15 04:00:00,direct_entry,2024-02-23 16:00:00,expiry,75.0000,77.5000,1.2598,0.5455,0.7143,4.0000,1.5000,-1.7857
2024-03-06 14:00:00,2024-03-06 14:00:00,direct_entry,2024-03-15 16:00:00,expiry,90.0000,92.5000,1.6721,0.8748,0.7973,0.0000,0.0000,0.7973
2024-03-07 09:00:00,2024-03-07 09:00:00,direct_entry,2024-03-15 16:00:00,expiry,92.5000,95.0000,1.3609,0.6763,0.6845,0.0000,0.0000,0.6845
2024-03-21 09:00:00,2024-03-21 09:00:00,direct_entry,2024-04-01 04:00:00,expiry,92.5000,95.0000,1.5563,0.7943,0.7620,0.0000,0.0000,0.7620
2024-05-06 16:00:00,2024-05-06 16:00:00,direct_entry,2024-05-17 16:00:00,expiry,92.5000,97.5000,2.3240,0.7461,1.5779,0.0400,0.0000,1.5379
2024-05-16 05:00:00,2024-05-16 05:00:00,direct_entry,2024-05-24 16:00:00,expiry,97.5000,100.0000,1.3260,0.6788,0.6471,9.0100,6.5100,-1.8529
2024-06-10 04:00:00,2024-06-10 04:00:00,direct_entry,2024-06-21 16:00:00,expiry,122.5000,127.5000,2.2880,0.9385,1.3495,4.4900,0.0000,-3.1405
2024-08-12 15:00:00,2024-08-12 15:00:00,direct_entry,2024-08-23 16:00:00,expiry,110.0000,115.0000,2.6784,1.0436,1.6348,19.0500,14.0500,-3.3652
2024-08-15 16:00:00,2024-08-15 16:00:00,direct_entry,2024-08-23 16:00:00,expiry,125.0000,127.5000,1.8569,1.1122,0.7448,4.0500,1.5500,-1.7552
2024-09-11 10:00:00,2024-09-11 10:00:00,direct_entry,2024-09-20 16:00:00,expiry,110.0000,115.0000,2.1638,0.7296,1.4342,6.0200,1.0200,-3.5658
2024-09-12 06:00:00,2024-09-12 06:00:00,direct_entry,2024-09-20 16:00:00,expiry,120.0000,125.0000,1.8712,0.6232,1.2480,0.0000,0.0000,1.2480
2024-10-17 09:00:00,2024-10-17 09:00:00,direct_entry,2024-10-25 16:00:00,expiry,140.0000,145.0000,2.8728,1.2176,1.6552,1.4400,0.0000,0.2152
2025-02-10 15:00:00,2025-02-10 15:00:00,direct_entry,2025-02-21 16:00:00,expiry,135.0000,142.5000,3.0961,0.9284,2.1677,0.0000,0.0000,2.1677
2025-03-24 15:00:00,2025-03-24 15:00:00,direct_entry,2025-04-04 16:00:00,expiry,122.5000,127.5000,2.8471,1.2183,1.6288,0.0000,0.0000,1.6288
2025-05-13 15:00:00,2025-05-13 15:00:00,direct_entry,2025-05-23 16:00:00,expiry,132.5000,137.5000,2.3549,0.9778,1.3771,0.0000,0.0000,1.3771
2025-05-14 09:00:00,2025-05-14 09:00:00,direct_entry,2025-05-23 16:00:00,expiry,135.0000,140.0000,2.4194,0.9956,1.4238,0.0000,0.0000,1.4238
2025-07-30 14:00:00,2025-07-30 14:00:00,direct_entry,2025-08-08 16:00:00,expiry,180.0000,187.5000,3.7126,1.3944,2.3182,2.7400,0.0000,-0.4218
2025-08-27 08:00:00,2025-08-27 08:00:00,direct_entry,2025-09-05 16:00:00,expiry,185.0000,192.5000,3.5886,1.3786,2.2100,0.0000,0.0000,2.2100
2025-10-29 10:00:00,2025-10-29 10:00:00,direct_entry,2025-11-07 16:00:00,expiry,212.5000,220.0000,3.8241,1.6466,2.1775,0.0000,0.0000,2.1775
2026-01-05 09:00:00,2026-01-05 09:00:00,direct_entry,2026-01-16 16:00:00,expiry,192.5000,202.5000,4.3556,1.4356,2.9200,0.0000,0.0000,2.9200
2026-01-23 14:00:00,2026-01-23 14:00:00,direct_entry,2026-01-30 16:00:00,expiry,190.0000,197.5000,3.1502,1.0523,2.0979,0.4400,0.0000,1.6579
2026-01-27 15:00:00,2026-01-27 15:00:00,direct_entry,2026-02-06 16:00:00,expiry,192.5000,200.0000,3.3912,1.3613,2.0299,0.0000,0.0000,2.0299
2026-02-23 10:00:00,2026-02-23 10:00:00,direct_entry,2026-03-06 16:00:00,expiry,192.5000,202.5000,4.3952,1.4506,2.9446,0.0000,0.0000,2.9446
2026-02-25 15:00:00,2026-02-25 15:00:00,direct_entry,2026-03-06 16:00:00,expiry,200.0000,207.5000,3.2692,1.2830,1.9862,0.0000,0.0000,1.9862
