entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-09 14:15:00,2024-01-09 14:15:00,direct_entry,2024-01-31 16:00:00,expiry,55.0000,57.5000,1.7197,0.8958,0.8239,6.7200,4.2200,-1.6761
2024-01-11 06:30:00,2024-01-11 06:30:00,direct_entry,2024-02-07 16:00:00,expiry,57.5000,60.0000,1.4332,0.7808,0.6523,12.9100,10.4100,-1.8477
2024-01-19 14:15:00,2024-01-19 14:15:00,direct_entry,2024-02-14 16:00:00,expiry,60.0000,65.0000,2.1250,0.6823,1.4427,13.5500,8.5500,-3.5573
2024-02-05 06:30:00,2024-02-05 06:30:00,direct_entry,2024-02-28 16:00:00,expiry,70.0000,72.5000,1.8392,1.0946,0.7446,7.3000,4.8000,-1.7554
2024-02-22 11:15:00,2024-02-22 11:15:00,direct_entry,2024-03-20 16:00:00,expiry,80.0000,85.0000,2.4725,1.0611,1.4114,10.8700,5.8700,-3.5886
2024-03-01 09:15:00,2024-03-01 09:15:00,direct_entry,2024-03-27 16:00:00,expiry,82.5000,87.5000,2.4730,1.0699,1.4031,7.8100,2.8100,-3.5969
2024-03-04 08:45:00,2024-03-04 08:45:00,direct_entry,2024-03-27 16:00:00,expiry,87.5000,92.5000,2.1313,0.8850,1.2463,2.8100,0.0000,-1.5637
2024-03-07 06:45:00,2024-03-07 06:45:00,direct_entry,2024-04-03 16:00:00,expiry,92.5000,100.0000,3.0755,1.0249,2.0505,0.0000,0.0000,2.0505
2024-03-18 09:45:00,2024-03-18 09:45:00,direct_entry,2024-04-10 16:00:00,expiry,92.5000,100.0000,3.0120,0.9164,2.0956,0.0000,0.0000,2.0956
2024-04-08 04:15:00,2024-04-08 04:15:00,direct_entry,2024-05-01 16:00:00,expiry,90.0000,95.0000,2.8378,1.2910,1.5468,0.0000,0.0000,1.5468
2024-05-03 12:45:00,2024-05-03 12:45:00,direct_entry,2024-05-29 16:00:00,expiry,90.0000,97.5000,3.2462,1.0504,2.1959,24.4000,16.9000,-5.3041
2024-05-15 12:30:00,2024-05-15 12:30:00,direct_entry,2024-06-05 16:00:00,expiry,97.5000,102.5000,2.4103,1.0703,1.3399,25.1400,20.1400,-3.6601
2024-05-28 11:00:00,2024-05-28 11:00:00,direct_entry,2024-06-20 04:00:00,expiry,115.0000,122.5000,3.1209,1.1410,1.9799,25.2300,17.7300,-5.5201
2024-06-05 14:00:00,2024-06-05 14:00:00,direct_entry,2024-06-26 16:00:00,expiry,125.0000,130.0000,3.0871,1.6569,1.4302,0.0000,0.0000,1.4302
2024-06-13 10:00:00,2024-06-13 10:00:00,direct_entry,2024-07-10 16:00:00,expiry,132.5000,140.0000,4.1355,1.9401,2.1954,2.6500,0.0000,-0.4546
2024-07-22 14:30:00,2024-07-22 14:30:00,direct_entry,2024-08-14 16:00:00,expiry,127.5000,135.0000,3.2614,1.3276,1.9338,0.0000,0.0000,1.9338
2024-08-13 05:30:00,2024-08-13 05:30:00,direct_entry,2024-09-04 16:00:00,expiry,112.5000,120.0000,3.6448,1.3774,2.2675,0.0000,0.0000,2.2675
2024-08-14 07:30:00,2024-08-14 07:30:00,direct_entry,2024-09-04 16:00:00,expiry,120.0000,127.5000,3.8172,1.5046,2.3126,0.0000,0.0000,2.3126
2024-08-16 05:45:00,2024-08-16 05:45:00,direct_entry,2024-09-11 16:00:00,expiry,127.5000,135.0000,3.7960,1.6873,2.1087,0.0000,0.0000,2.1087
2024-09-10 09:30:00,2024-09-10 09:30:00,direct_entry,2024-10-02 16:00:00,expiry,110.0000,117.5000,3.1763,1.1265,2.0498,8.9800,1.4800,-5.4502
2024-09-11 16:30:00,2024-09-11 16:30:00,direct_entry,2024-10-02 16:00:00,expiry,120.0000,127.5000,3.2292,1.2036,2.0256,0.0000,0.0000,2.0256
2024-10-07 14:00:00,2024-10-07 14:00:00,direct_entry,2024-10-30 16:00:00,expiry,132.5000,140.0000,4.1049,1.8184,2.2865,6.4100,0.0000,-4.1235
2024-10-17 07:00:00,2024-10-17 07:00:00,direct_entry,2024-11-13 16:00:00,expiry,142.5000,152.5000,5.0515,2.0161,3.0354,4.1200,0.0000,-1.0846
2024-11-07 16:30:00,2024-11-07 16:30:00,direct_entry,2024-12-04 16:00:00,expiry,152.5000,162.5000,5.0062,2.0795,2.9267,0.0000,0.0000,2.9267
2024-11-19 16:15:00,2024-11-19 16:15:00,direct_entry,2024-12-11 16:00:00,expiry,150.0000,160.0000,4.6434,1.7156,2.9278,0.0000,0.0000,2.9278
2025-01-03 12:00:00,2025-01-03 12:00:00,direct_entry,2025-01-29 16:00:00,expiry,147.5000,157.5000,4.6721,1.8370,2.8351,0.0000,0.0000,2.8351
