entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-18 11:45:00,2024-01-18 11:45:00,direct_entry,2024-02-09 16:00:00,expiry,420,453,9.2542,1.6589,7.5953,16.8400,0.0000,-9.2447
2024-02-22 14:30:00,2024-02-22 14:30:00,direct_entry,2024-03-15 16:00:00,expiry,447,482,9.6802,1.7252,7.9549,0.0000,0.0000,7.9549
2024-03-20 08:00:00,2024-03-20 08:00:00,direct_entry,2024-04-12 16:00:00,expiry,448,484,10.0058,1.7994,8.2065,0.0000,0.0000,8.2065
2024-04-16 13:15:00,2024-04-16 13:15:00,direct_entry,2024-05-10 16:00:00,expiry,440,476,10.0883,1.8210,8.2673,1.9200,0.0000,6.3473
2024-05-15 12:30:00,2024-05-15 12:30:00,direct_entry,2024-06-07 16:00:00,expiry,460,497,10.0675,1.7772,8.2903,2.5800,0.0000,5.7103
2024-07-02 11:45:00,2024-07-02 11:45:00,direct_entry,2024-07-26 16:00:00,expiry,493,533,11.0874,2.0202,9.0672,0.0000,0.0000,9.0672
2024-07-29 07:45:00,2024-07-29 07:45:00,direct_entry,2024-08-23 16:00:00,expiry,475,516,11.2825,1.9377,9.3448,4.8500,0.0000,4.4948
2024-08-30 08:30:00,2024-08-30 08:30:00,direct_entry,2024-09-20 16:00:00,expiry,483,521,10.5281,1.8113,8.7168,0.0000,0.0000,8.7168
2024-11-06 14:30:00,2024-11-06 14:30:00,direct_entry,2024-11-29 16:00:00,expiry,515,556,11.3554,2.0479,9.3075,0.0000,0.0000,9.3075
2024-12-04 05:15:00,2024-12-04 05:15:00,direct_entry,2024-12-27 16:00:00,expiry,530,573,11.8020,2.0871,9.7149,0.0000,0.0000,9.7149
2025-01-06 07:00:00,2025-01-06 07:00:00,direct_entry,2025-01-31 16:00:00,expiry,534,580,12.6332,2.1766,10.4566,0.0000,0.0000,10.4566
2025-02-03 18:00:00,2025-02-03 18:00:00,direct_entry,2025-02-28 16:00:00,expiry,533,577,12.1608,2.2094,9.9514,0.0000,0.0000,9.9514
2025-03-17 08:00:00,2025-03-17 08:00:00,direct_entry,2025-04-11 16:00:00,expiry,489,530,11.2961,2.0290,9.2670,0.0000,0.0000,9.2670
2025-04-15 10:15:00,2025-04-15 10:15:00,direct_entry,2025-05-09 16:00:00,expiry,467,506,10.7299,1.8681,8.8618,20.9500,0.0000,-12.0882
2025-05-14 12:30:00,2025-05-14 12:30:00,direct_entry,2025-06-06 16:00:00,expiry,528,571,11.7964,2.0512,9.7452,2.0700,0.0000,7.6752
2025-06-25 18:15:00,2025-06-25 18:15:00,direct_entry,2025-07-18 16:00:00,expiry,551,596,12.4078,2.1348,10.2730,10.2000,0.0000,0.0730
2025-08-05 07:15:00,2025-08-05 07:15:00,direct_entry,2025-08-29 16:00:00,expiry,577,625,13.3342,2.3567,10.9775,0.0000,0.0000,10.9775
2025-09-03 06:00:00,2025-09-03 06:00:00,direct_entry,2025-09-26 16:00:00,expiry,580,628,13.2101,2.2660,10.9441,16.5000,0.0000,-5.5559
2025-09-29 05:45:00,2025-09-29 05:45:00,direct_entry,2025-10-24 16:00:00,expiry,612,664,14.2533,2.5102,11.7432,4.9900,0.0000,6.7532
2025-10-27 06:45:00,2025-10-27 06:45:00,direct_entry,2025-11-21 16:00:00,expiry,638,692,14.8135,2.6218,12.1917,0.0000,0.0000,12.1917
2025-11-24 13:15:00,2025-11-24 13:15:00,direct_entry,2025-12-19 16:00:00,expiry,617,669,14.4993,2.5809,11.9184,0.2500,0.0000,11.6684
2025-12-22 09:30:00,2025-12-22 09:30:00,direct_entry,2026-01-16 16:00:00,expiry,632,685,14.6569,2.6314,12.0255,0.0000,0.0000,12.0255
2026-02-03 04:15:00,2026-02-03 04:15:00,direct_entry,2026-02-27 16:00:00,expiry,642,695,14.5518,2.5981,11.9537,0.0000,0.0000,11.9537
2026-03-04 06:30:00,2026-03-04 06:30:00,direct_entry,2026-03-27 16:00:00,expiry,615,665,13.7708,2.4272,11.3436,0.0000,0.0000,11.3436
