entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-18 11:45:00,2024-01-18 11:45:00,direct_entry,2024-02-09 16:00:00,expiry,420,453,9.2542,1.6589,7.5953,16.8400,0.0000,-9.2447
2024-01-19 15:30:00,2024-01-19 15:30:00,direct_entry,2024-02-09 16:00:00,expiry,429,461,8.9226,1.6515,7.2711,7.8400,0.0000,-0.5689
2024-01-19 16:30:00,2024-01-19 16:30:00,direct_entry,2024-02-09 16:00:00,expiry,430,463,8.9557,1.5642,7.3915,6.8400,0.0000,0.5515
2024-02-09 14:00:00,2024-02-09 14:00:00,direct_entry,2024-03-01 16:00:00,expiry,445,479,9.4976,1.7011,7.7965,0.4000,0.0000,7.3965
2024-02-22 14:30:00,2024-02-22 14:30:00,direct_entry,2024-03-15 16:00:00,expiry,447,482,9.6802,1.7252,7.9549,0.0000,0.0000,7.9549
2024-02-23 09:45:00,2024-02-23 09:45:00,direct_entry,2024-03-15 16:00:00,expiry,447,482,9.6068,1.6539,7.9529,0.0000,0.0000,7.9529
2024-02-29 14:15:00,2024-02-29 14:15:00,direct_entry,2024-03-22 16:00:00,expiry,446,482,9.8594,1.6686,8.1908,0.0000,0.0000,8.1908
2024-03-01 14:30:00,2024-03-01 14:30:00,direct_entry,2024-03-22 16:00:00,expiry,454,489,9.7220,1.7114,8.0106,0.0000,0.0000,8.0106
2024-03-20 08:00:00,2024-03-20 08:00:00,direct_entry,2024-04-12 16:00:00,expiry,448,484,10.0058,1.7994,8.2065,0.0000,0.0000,8.2065
2024-03-26 07:00:00,2024-03-26 07:00:00,direct_entry,2024-04-19 16:00:00,expiry,456,494,10.4705,1.8389,8.6316,0.0000,0.0000,8.6316
2024-04-09 09:45:00,2024-04-09 09:45:00,direct_entry,2024-05-03 16:00:00,expiry,451,488,10.1060,1.8029,8.3030,0.0000,0.0000,8.3030
2024-04-29 08:15:00,2024-04-29 08:15:00,direct_entry,2024-05-24 16:00:00,expiry,442,479,10.1941,1.8349,8.3592,15.9200,0.0000,-7.5608
2024-05-03 10:00:00,2024-05-03 10:00:00,direct_entry,2024-05-24 16:00:00,expiry,442,476,9.3007,1.6424,7.6584,15.9200,0.0000,-8.2616
2024-05-06 15:00:00,2024-05-06 15:00:00,direct_entry,2024-05-31 16:00:00,expiry,448,485,10.2868,1.8807,8.4061,3.2100,0.0000,5.1961
2024-05-07 09:45:00,2024-05-07 09:45:00,direct_entry,2024-05-31 16:00:00,expiry,449,486,10.2437,1.8273,8.4165,2.2100,0.0000,6.2065
2024-05-07 12:30:00,2024-05-07 12:30:00,direct_entry,2024-05-31 16:00:00,expiry,450,487,10.3785,1.8623,8.5162,1.2100,0.0000,7.3062
2024-05-15 12:30:00,2024-05-15 12:30:00,direct_entry,2024-06-07 16:00:00,expiry,460,497,10.0675,1.7772,8.2903,2.5800,0.0000,5.7103
2024-05-15 14:15:00,2024-05-15 14:15:00,direct_entry,2024-06-07 16:00:00,expiry,461,499,10.4171,1.7722,8.6449,1.5800,0.0000,7.0649
2024-05-20 11:30:00,2024-05-20 11:30:00,direct_entry,2024-06-14 16:00:00,expiry,463,503,10.9952,1.8748,9.1204,16.1700,0.0000,-7.0496
2024-05-23 08:45:00,2024-05-23 08:45:00,direct_entry,2024-06-14 16:00:00,expiry,470,507,10.2090,1.8186,8.3904,9.1700,0.0000,-0.7796
2024-05-28 13:45:00,2024-05-28 13:45:00,direct_entry,2024-06-21 16:00:00,expiry,468,506,10.5493,1.9160,8.6332,12.8200,0.0000,-4.1868
2024-06-05 09:30:00,2024-06-05 09:30:00,direct_entry,2024-06-28 16:00:00,expiry,467,504,10.2384,1.8727,8.3657,12.6300,0.0000,-4.2643
2024-06-05 13:15:00,2024-06-05 13:15:00,direct_entry,2024-06-28 16:00:00,expiry,470,508,10.6654,1.8947,8.7707,9.6300,0.0000,-0.8593
2024-07-02 11:45:00,2024-07-02 11:45:00,direct_entry,2024-07-26 16:00:00,expiry,493,533,11.0874,2.0202,9.0672,0.0000,0.0000,9.0672
2024-07-02 15:00:00,2024-07-02 15:00:00,direct_entry,2024-07-26 16:00:00,expiry,496,537,11.1619,1.9505,9.2114,0.0000,0.0000,9.2114
2024-07-05 12:30:00,2024-07-05 12:30:00,direct_entry,2024-07-26 16:00:00,expiry,504,543,10.8757,1.9135,8.9622,0.0000,0.0000,8.9622
2024-07-08 09:15:00,2024-07-08 09:15:00,direct_entry,2024-08-02 16:00:00,expiry,507,549,11.6558,2.1359,9.5199,0.0000,0.0000,9.5199
2024-07-08 12:00:00,2024-07-08 12:00:00,direct_entry,2024-08-02 16:00:00,expiry,507,549,11.6568,2.1283,9.5285,0.0000,0.0000,9.5285
2024-07-09 05:45:00,2024-07-09 05:45:00,direct_entry,2024-08-02 16:00:00,expiry,509,551,11.7581,2.1166,9.6415,0.0000,0.0000,9.6415
2024-07-22 15:00:00,2024-07-22 15:00:00,direct_entry,2024-08-16 16:00:00,expiry,492,534,11.5564,1.9987,9.5577,0.0000,0.0000,9.5577
2024-07-29 07:45:00,2024-07-29 07:45:00,direct_entry,2024-08-23 16:00:00,expiry,475,516,11.2825,1.9377,9.3448,4.8500,0.0000,4.4948
2024-07-29 08:45:00,2024-07-29 08:45:00,direct_entry,2024-08-23 16:00:00,expiry,476,516,11.0306,1.9735,9.0571,3.8500,0.0000,5.2071
