entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-04-19 16:00:00,2024-04-19 16:00:00,direct_entry,2024-05-01 16:00:00,expiry,409,387,6.1532842108914565,1.000430370549175,5.152853840342281,0.0,0.0,5.152853840342281
2024-05-31 04:00:00,2024-05-31 04:00:00,direct_entry,2024-06-12 16:00:00,expiry,445,420,6.9743379042079425,1.0850790535545016,5.889258850653441,0.0,0.0,5.889258850653441
2024-08-02 06:00:00,2024-08-02 06:00:00,direct_entry,2024-08-14 16:00:00,expiry,446,421,6.789214276789153,1.0398731747358312,5.749341102053322,0.0,0.0,5.749341102053322
2024-09-06 14:30:00,2024-09-06 14:30:00,direct_entry,2024-09-18 16:00:00,expiry,443,419,6.590931966136566,1.052999379753345,5.537932586383221,0.0,0.0,5.537932586383221
2024-11-15 14:30:00,2024-11-15 14:30:00,direct_entry,2024-11-27 16:00:00,expiry,489,462,7.384086025561913,1.1379843612638751,6.246101664298038,0.0,0.0,6.246101664298038
2024-12-31 14:30:00,2024-12-31 14:30:00,direct_entry,2025-01-08 16:00:00,expiry,507,484,6.456877966328534,1.0174754357484375,5.439402530580097,0.0,0.0,5.439402530580097
2025-02-25 06:00:00,2025-02-25 06:00:00,direct_entry,2025-03-05 16:00:00,expiry,512,488,6.643377121148973,1.0167634285788196,5.626613692570153,11.069999999999993,0.0,-5.44338630742984
2025-02-25 11:30:00,2025-02-25 11:30:00,direct_entry,2025-03-05 16:00:00,expiry,508,485,6.35270763505946,1.0091505050448646,5.343557130014595,7.069999999999993,0.0,-1.726442869985398
2025-03-06 15:00:00,2025-03-06 15:00:00,direct_entry,2025-03-19 16:00:00,expiry,482,454,7.674276847885039,1.154491314204499,6.51978553368054,1.1200000000000045,0.0,5.399785533680536
2025-04-21 09:00:00,2025-04-21 09:00:00,direct_entry,2025-04-30 16:00:00,expiry,433,412,5.811894238284907,0.9105541654893514,4.901340072795556,0.0,0.0,4.901340072795556
2025-04-21 14:00:00,2025-04-21 14:00:00,direct_entry,2025-04-30 16:00:00,expiry,424,404,5.546444366631306,0.896268631704892,4.650175734926414,0.0,0.0,4.650175734926414
2025-04-21 15:00:00,2025-04-21 15:00:00,direct_entry,2025-04-30 16:00:00,expiry,425,405,5.716730372982823,0.9383500478917952,4.778380325091028,0.0,0.0,4.778380325091028
2025-05-07 14:30:00,2025-05-07 14:30:00,direct_entry,2025-05-14 16:00:00,expiry,477,457,5.6827047246712254,0.9255910753675138,4.757113649303712,0.0,0.0,4.757113649303712
2025-05-07 15:30:00,2025-05-07 15:30:00,direct_entry,2025-05-14 16:00:00,expiry,478,458,5.43761853475425,0.8648674577090958,4.5727510770451545,0.0,0.0,4.5727510770451545
2025-06-12 08:30:00,2025-06-12 08:30:00,direct_entry,2025-06-25 16:00:00,expiry,524,494,8.40645721331606,1.3364921562426062,7.069965057073453,0.0,0.0,7.069965057073453
2025-08-20 11:00:00,2025-08-20 11:00:00,direct_entry,2025-08-27 16:00:00,expiry,557,534,6.3721173635191235,1.069746004297933,5.3023713592211905,0.0,0.0,5.3023713592211905
2025-08-21 13:30:00,2025-08-21 13:30:00,direct_entry,2025-09-03 16:00:00,expiry,555,524,8.651836261576335,1.4148367357476985,7.236999525828637,0.0,0.0,7.236999525828637
2025-11-07 08:30:00,2025-11-07 08:30:00,direct_entry,2025-11-19 16:00:00,expiry,600,567,9.159467536871603,1.4573891289860939,7.702078407885509,0.0,0.0,7.702078407885509
2025-11-14 09:30:00,2025-11-14 09:30:00,direct_entry,2025-11-26 16:00:00,expiry,597,564,9.17634228673117,1.4443995158282164,7.731942770902954,0.0,0.0,7.731942770902954
2025-11-18 11:00:00,2025-11-18 11:00:00,direct_entry,2025-11-26 16:00:00,expiry,591,564,7.36519254649383,1.1465665632876494,6.218625983206181,0.0,0.0,6.218625983206181
2026-01-14 08:00:00,2026-01-14 08:00:00,direct_entry,2026-01-21 16:00:00,expiry,617,590,7.376228243173728,1.1269970986466689,6.249231144527059,0.0,0.0,6.249231144527059
2026-01-14 13:30:00,2026-01-14 13:30:00,direct_entry,2026-01-21 16:00:00,expiry,610,585,7.0052280171687755,1.183691641051226,5.82153637611755,0.0,0.0,5.82153637611755
2026-01-20 16:30:00,2026-01-20 16:30:00,direct_entry,2026-01-28 16:00:00,expiry,601,575,7.298413960955401,1.2375880126465475,6.060825948308853,0.0,0.0,6.060825948308853
2026-01-30 13:30:00,2026-01-30 13:30:00,direct_entry,2026-02-11 16:00:00,expiry,615,581,9.351647288384726,1.446444671009921,7.905202617374805,1.830000000000041,0.0,6.075202617374764
