entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-08 14:15:00,2024-01-08 14:15:00,direct_entry,2024-01-26 16:00:00,expiry,175.0000,195.0000,5.5388,0.9192,4.6196,13.3800,0.0000,-8.7604
2024-02-05 10:00:00,2024-02-05 10:00:00,direct_entry,2024-02-23 16:00:00,expiry,197.5000,220.0000,6.2534,1.0538,5.1996,10.9900,0.0000,-5.7904
2024-03-01 09:25:00,2024-03-01 09:25:00,direct_entry,2024-03-15 16:00:00,expiry,220.0000,240.0000,5.2005,0.9724,4.2280,0.0000,0.0000,4.2280
2024-03-21 11:00:00,2024-03-21 11:00:00,direct_entry,2024-04-05 16:00:00,expiry,232.5000,257.5000,6.5795,1.0048,5.5747,0.0000,0.0000,5.5747
2024-04-23 14:45:00,2024-04-23 14:45:00,direct_entry,2024-05-10 16:00:00,expiry,212.5000,235.0000,6.3715,1.1443,5.2272,10.6000,0.0000,-5.3728
2024-05-15 08:00:00,2024-05-15 08:00:00,direct_entry,2024-05-31 16:00:00,expiry,232.5000,257.5000,6.5522,1.0648,5.4875,8.0100,0.0000,-2.5225
2024-06-05 14:45:00,2024-06-05 14:45:00,direct_entry,2024-06-21 16:00:00,expiry,260.0000,285.0000,6.9410,1.3537,5.5873,5.2000,0.0000,0.3873
2024-07-09 09:35:00,2024-07-09 09:35:00,direct_entry,2024-07-26 16:00:00,expiry,282.5000,312.5000,8.2460,1.4680,6.7781,0.0000,0.0000,6.7781
2024-07-31 09:30:00,2024-07-31 09:30:00,direct_entry,2024-08-16 16:00:00,expiry,247.5000,272.5000,6.3877,1.1265,5.2612,0.0000,0.0000,5.2612
2024-09-11 12:40:00,2024-09-11 12:40:00,direct_entry,2024-09-27 16:00:00,expiry,232.5000,255.0000,5.8671,1.1062,4.7609,15.2400,0.0000,-10.4791
2024-10-07 14:00:00,2024-10-07 14:00:00,direct_entry,2024-10-25 16:00:00,expiry,255.0000,282.5000,7.7079,1.4066,6.3013,0.0000,0.0000,6.3013
2024-10-29 13:20:00,2024-10-29 13:20:00,direct_entry,2024-11-15 16:00:00,expiry,262.5000,290.0000,7.3434,1.3056,6.0378,0.0000,0.0000,6.0378
2024-11-21 12:50:00,2024-11-21 12:50:00,direct_entry,2024-12-06 16:00:00,expiry,250.0000,275.0000,6.9442,1.2190,5.7252,0.0000,0.0000,5.7252
2024-12-13 15:35:00,2024-12-13 15:35:00,direct_entry,2024-12-27 16:00:00,expiry,255.0000,280.0000,6.5638,1.0817,5.4821,0.0000,0.0000,5.4821
2025-01-02 10:15:00,2025-01-02 10:15:00,direct_entry,2025-01-17 16:00:00,expiry,252.5000,277.5000,6.6069,1.1557,5.4512,5.3000,0.0000,0.1512
2025-01-22 10:15:00,2025-01-22 10:15:00,direct_entry,2025-02-07 16:00:00,expiry,275.0000,302.5000,7.1759,1.2958,5.8801,0.0000,0.0000,5.8801
2025-02-13 14:55:00,2025-02-13 14:55:00,direct_entry,2025-02-28 16:00:00,expiry,257.5000,282.5000,6.6017,1.1767,5.4251,0.0000,0.0000,5.4251
2025-03-03 06:55:00,2025-03-03 06:55:00,direct_entry,2025-03-21 16:00:00,expiry,240.0000,267.5000,7.1631,1.1637,5.9994,0.0000,0.0000,5.9994
2025-03-24 10:30:00,2025-03-24 10:30:00,direct_entry,2025-04-11 16:00:00,expiry,237.5000,262.5000,6.5500,1.2072,5.3428,0.0000,0.0000,5.3428
2025-04-14 09:25:00,2025-04-14 09:25:00,direct_entry,2025-05-02 16:00:00,expiry,212.5000,235.0000,5.9205,1.0862,4.8343,6.4700,0.0000,-1.6357
