entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-13 09:30:00,2024-02-13 09:30:00,direct_entry,2024-03-15 16:00:00,expiry,192.5000,167.5000,7.2612,1.0508,6.2105,0.0000,0.0000,6.2105
2024-04-19 16:15:00,2024-04-19 16:15:00,direct_entry,2024-05-17 16:00:00,expiry,192.5000,170.0000,6.4708,1.0367,5.4341,0.0000,0.0000,5.4341
2024-07-17 07:45:00,2024-07-17 07:45:00,direct_entry,2024-08-16 16:00:00,expiry,255.0000,222.5000,9.0873,1.3025,7.7849,8.4400,0.0000,-0.6551
2024-09-30 08:00:00,2024-09-30 08:00:00,direct_entry,2024-11-01 16:00:00,expiry,235.0000,205.0000,8.4929,1.2890,7.2039,0.0000,0.0000,7.2039
2024-11-15 12:15:00,2024-11-15 12:15:00,direct_entry,2024-12-13 16:00:00,expiry,232.5000,205.0000,7.8923,1.2419,6.6505,0.0000,0.0000,6.6505
2024-12-31 12:45:00,2024-12-31 12:45:00,direct_entry,2025-01-31 16:00:00,expiry,235.0000,205.0000,8.3892,1.2255,7.1637,0.0000,0.0000,7.1637
2025-03-26 14:00:00,2025-03-26 14:00:00,direct_entry,2025-04-25 16:00:00,expiry,215.0000,187.5000,8.1033,1.1780,6.9253,2.6500,0.0000,4.2753
2025-08-20 11:00:00,2025-08-20 11:00:00,direct_entry,2025-09-19 16:00:00,expiry,275.0000,240.0000,9.9166,1.4299,8.4867,0.0000,0.0000,8.4867
2025-10-30 16:00:00,2025-10-30 16:00:00,direct_entry,2025-11-28 16:00:00,expiry,352.5000,310.0000,12.1817,1.8939,10.2878,0.4900,0.0000,9.7978
2025-12-12 15:45:00,2025-12-12 15:45:00,direct_entry,2026-01-09 16:00:00,expiry,342.5000,302.5000,11.6652,1.8861,9.7791,0.0000,0.0000,9.7791
2026-02-19 13:00:00,2026-02-19 13:00:00,direct_entry,2026-03-20 16:00:00,expiry,395.0000,347.5000,13.8670,2.1946,11.6723,9.5000,0.0000,2.1723
2026-03-23 06:45:00,2026-03-23 06:45:00,direct_entry,2026-03-27 19:45:00,force_close,365.0000,320.0000,13.1510,2.1665,10.9845,0.0000,0.0000,10.9845
