entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-18 19:00:00,2024-01-18 19:00:00,direct_entry,2024-01-26 16:00:00,expiry,185.0000,197.5000,3.2894,0.5964,2.6930,3.3800,0.0000,-0.6870
2024-01-25 09:30:00,2024-01-25 09:30:00,direct_entry,2024-02-02 16:00:00,expiry,197.5000,210.0000,3.6550,0.7918,2.8632,0.0000,0.0000,2.8632
2024-02-05 08:30:00,2024-02-05 08:30:00,direct_entry,2024-02-16 16:00:00,expiry,197.5000,212.5000,4.1657,0.8657,3.2999,4.1600,0.0000,-0.8601
2024-02-08 14:00:00,2024-02-08 14:00:00,direct_entry,2024-02-16 16:00:00,expiry,202.5000,217.5000,4.2036,0.6961,3.5074,0.0000,0.0000,3.5074
2024-02-12 13:00:00,2024-02-12 13:00:00,direct_entry,2024-02-23 16:00:00,expiry,210.0000,227.5000,4.4354,0.7611,3.6742,0.0000,0.0000,3.6742
2024-02-14 19:30:00,2024-02-14 19:30:00,direct_entry,2024-02-23 16:00:00,expiry,207.5000,222.5000,3.9659,0.7154,3.2506,0.9000,0.0000,2.3506
2024-02-16 07:00:00,2024-02-16 07:00:00,direct_entry,2024-02-23 16:00:00,expiry,207.5000,222.5000,4.3239,0.6984,3.6254,0.9000,0.0000,2.7254
2024-03-07 09:00:00,2024-03-07 09:00:00,direct_entry,2024-03-15 16:00:00,expiry,235.0000,250.0000,4.1227,0.8614,3.2613,0.0000,0.0000,3.2613
2024-05-06 13:00:00,2024-05-06 13:00:00,direct_entry,2024-05-17 16:00:00,expiry,225.0000,245.0000,5.5450,0.8987,4.6463,5.2900,0.0000,-0.6437
2024-05-10 08:00:00,2024-05-10 08:00:00,direct_entry,2024-05-17 16:00:00,expiry,225.0000,240.0000,3.9387,0.6868,3.2519,5.2900,0.0000,-2.0381
2024-05-15 08:00:00,2024-05-15 08:00:00,direct_entry,2024-05-24 16:00:00,expiry,230.0000,247.5000,5.1594,0.9479,4.2114,14.3600,0.0000,-10.1486
2024-05-24 12:30:00,2024-05-24 12:30:00,direct_entry,2024-05-31 16:00:00,expiry,247.5000,265.0000,4.3894,0.6641,3.7253,0.0000,0.0000,3.7253
2024-05-28 13:30:00,2024-05-28 13:30:00,direct_entry,2024-06-07 16:00:00,expiry,255.0000,275.0000,5.1463,0.9016,4.2447,0.0000,0.0000,4.2447
2024-06-05 15:00:00,2024-06-05 15:00:00,direct_entry,2024-06-14 16:00:00,expiry,257.5000,277.5000,5.4732,0.9138,4.5594,10.5300,0.0000,-5.9706
2024-08-06 14:30:00,2024-08-06 14:30:00,direct_entry,2024-08-16 16:00:00,expiry,225.0000,242.5000,4.9939,0.9283,4.0657,21.5600,4.0600,-13.4343
2024-08-13 15:00:00,2024-08-13 15:00:00,direct_entry,2024-08-23 16:00:00,expiry,240.0000,257.5000,4.9851,1.0142,3.9709,8.6000,0.0000,-4.6291
2024-09-17 09:30:00,2024-09-17 09:30:00,direct_entry,2024-09-27 16:00:00,expiry,240.0000,257.5000,4.8128,0.9805,3.8323,7.4600,0.0000,-3.6277
2024-09-23 10:30:00,2024-09-23 10:30:00,direct_entry,2024-10-04 16:00:00,expiry,242.5000,262.5000,5.6663,1.0506,4.6157,5.1500,0.0000,-0.5343
2024-09-26 09:30:00,2024-09-26 09:30:00,direct_entry,2024-10-04 16:00:00,expiry,257.5000,277.5000,5.4402,0.8371,4.6031,0.0000,0.0000,4.6031
2024-10-11 15:00:00,2024-10-11 15:00:00,direct_entry,2024-10-18 16:00:00,expiry,260.0000,277.5000,5.1182,0.8971,4.2212,0.0000,0.0000,4.2212
2024-10-25 13:00:00,2024-10-25 13:00:00,direct_entry,2024-11-01 16:00:00,expiry,260.0000,277.5000,4.3221,0.7028,3.6194,0.0000,0.0000,3.6194
2024-11-07 13:00:00,2024-11-07 13:00:00,direct_entry,2024-11-15 16:00:00,expiry,265.0000,282.5000,5.0134,1.0020,4.0114,0.0000,0.0000,4.0114
2024-12-13 10:00:00,2024-12-13 10:00:00,direct_entry,2024-12-20 16:00:00,expiry,252.5000,270.0000,4.8802,0.8169,4.0633,0.0000,0.0000,4.0633
2024-12-16 10:30:00,2024-12-16 10:30:00,direct_entry,2024-12-27 16:00:00,expiry,255.0000,277.5000,6.3025,1.0476,5.2549,0.0000,0.0000,5.2549
2024-12-18 11:30:00,2024-12-18 11:30:00,direct_entry,2024-12-27 16:00:00,expiry,257.5000,277.5000,5.4197,0.9128,4.5070,0.0000,0.0000,4.5070
