entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-25 09:30:00,2024-01-25 09:30:00,direct_entry,2024-02-02 16:00:00,expiry,210,225,3.5675,0.4986,3.0689,0.0000,0.0000,3.0689
2024-02-12 13:00:00,2024-02-12 13:00:00,direct_entry,2024-02-23 16:00:00,expiry,215,230,4.8048,1.0329,3.7719,0.0000,0.0000,3.7719
2024-05-23 07:30:00,2024-05-23 07:30:00,direct_entry,2024-05-31 16:00:00,expiry,245,260,4.1723,0.8154,3.3569,0.0000,0.0000,3.3569
2024-05-28 13:30:00,2024-05-28 13:30:00,direct_entry,2024-06-07 16:00:00,expiry,245,265,5.5943,0.8171,4.7772,0.0000,0.0000,4.7772
2024-07-29 10:00:00,2024-07-29 10:00:00,direct_entry,2024-08-09 16:00:00,expiry,235,255,5.5013,0.8186,4.6828,0.0000,0.0000,4.6828
2024-08-07 09:30:00,2024-08-07 09:30:00,direct_entry,2024-08-16 16:00:00,expiry,215,230,3.5328,0.5683,2.9644,16.2300,1.2300,-12.0356
2024-08-22 09:30:00,2024-08-22 09:30:00,direct_entry,2024-08-30 16:00:00,expiry,240,255,3.6417,0.6432,2.9985,0.0000,0.0000,2.9985
2024-09-13 14:00:00,2024-09-13 14:00:00,direct_entry,2024-09-20 16:00:00,expiry,225,240,4.0329,0.5886,3.4444,0.0000,0.0000,3.4444
2024-09-24 13:30:00,2024-09-24 13:30:00,direct_entry,2024-10-04 16:00:00,expiry,230,250,5.1418,0.6371,4.5047,1.0800,0.0000,3.4247
2024-09-26 08:00:00,2024-09-26 08:00:00,direct_entry,2024-10-04 16:00:00,expiry,240,255,4.1784,0.7913,3.3870,0.0000,0.0000,3.3870
2024-10-14 14:00:00,2024-10-14 14:00:00,direct_entry,2024-10-25 16:00:00,expiry,245,260,4.5734,1.1334,3.4401,0.0000,0.0000,3.4401
2024-11-26 09:30:00,2024-11-26 09:30:00,direct_entry,2024-12-06 16:00:00,expiry,220,240,4.9317,0.5553,4.3764,0.0000,0.0000,4.3764
2024-12-13 08:30:00,2024-12-13 08:30:00,direct_entry,2024-12-20 16:00:00,expiry,225,240,3.9544,0.5879,3.3665,0.0000,0.0000,3.3665
2024-12-16 15:30:00,2024-12-16 15:30:00,direct_entry,2024-12-27 16:00:00,expiry,230,250,5.4201,0.7555,4.6646,0.0000,0.0000,4.6646
