entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-08 15:05:00,2024-01-08 15:05:00,direct_entry,2024-01-11 16:00:00,expiry,475,482,1.8834,0.2572,1.6263,1.2500,0.0000,0.3763
2024-01-19 14:15:00,2024-01-19 14:15:00,direct_entry,2024-01-22 16:00:00,expiry,484,490,1.6401,0.3056,1.3345,0.0000,0.0000,1.3345
2024-01-24 13:00:00,2024-01-24 13:00:00,direct_entry,2024-01-29 16:00:00,expiry,490,499,2.5123,0.3801,2.1322,1.2200,0.0000,0.9122
2024-02-02 11:55:00,2024-02-02 11:55:00,direct_entry,2024-02-05 16:00:00,expiry,495,502,1.9912,0.3137,1.6775,0.0000,0.0000,1.6775
2024-02-07 09:30:00,2024-02-07 09:30:00,direct_entry,2024-02-12 16:00:00,expiry,498,507,2.5767,0.4163,2.1603,2.7500,0.0000,-0.5897
2024-02-15 13:40:00,2024-02-15 13:40:00,direct_entry,2024-02-20 04:00:00,expiry,503,511,2.1903,0.3455,1.8448,0.0000,0.0000,1.8448
2024-02-22 09:00:00,2024-02-22 09:00:00,direct_entry,2024-02-26 16:00:00,expiry,506,514,2.3016,0.3913,1.9104,0.0000,0.0000,1.9104
2024-02-29 14:05:00,2024-02-29 14:05:00,direct_entry,2024-03-04 16:00:00,expiry,510,518,2.1237,0.3363,1.7874,2.1600,0.0000,-0.3726
2024-03-01 12:55:00,2024-03-01 12:55:00,direct_entry,2024-03-04 16:00:00,expiry,513,520,2.1719,0.3759,1.7960,0.0000,0.0000,1.7960
2024-03-06 11:55:00,2024-03-06 11:55:00,direct_entry,2024-03-11 16:00:00,expiry,513,522,2.7089,0.4642,2.2447,0.0000,0.0000,2.2447
2024-03-07 14:05:00,2024-03-07 14:05:00,direct_entry,2024-03-11 16:00:00,expiry,517,525,2.4541,0.4283,2.0258,0.0000,0.0000,2.0258
2024-03-08 10:15:00,2024-03-08 10:15:00,direct_entry,2024-03-11 16:00:00,expiry,519,526,2.1825,0.3965,1.7860,0.0000,0.0000,1.7860
2024-03-12 15:15:00,2024-03-12 15:15:00,direct_entry,2024-03-15 16:00:00,expiry,518,525,2.0846,0.3495,1.7351,0.0000,0.0000,1.7351
2024-03-20 07:50:00,2024-03-20 07:50:00,direct_entry,2024-03-25 16:00:00,expiry,518,527,2.7805,0.5033,2.2772,1.8000,0.0000,0.4772
2024-03-21 12:05:00,2024-03-21 12:05:00,direct_entry,2024-03-25 16:00:00,expiry,526,534,2.1981,0.3792,1.8189,0.0000,0.0000,1.8189
2024-03-28 10:05:00,2024-03-28 10:05:00,direct_entry,2024-04-01 16:00:00,expiry,525,533,2.4597,0.4543,2.0054,0.0000,0.0000,2.0054
2024-04-23 14:05:00,2024-04-23 14:05:00,direct_entry,2024-04-26 16:00:00,expiry,507,514,2.1278,0.3528,1.7750,1.3700,0.0000,0.4050
2024-04-24 08:00:00,2024-04-24 08:00:00,direct_entry,2024-04-29 16:00:00,expiry,509,518,2.4973,0.4158,2.0815,1.2000,0.0000,0.8815
2024-04-25 16:50:00,2024-04-25 16:50:00,direct_entry,2024-04-29 16:00:00,expiry,510,518,2.2227,0.3517,1.8710,0.2000,0.0000,1.6710
2024-05-06 10:15:00,2024-05-06 10:15:00,direct_entry,2024-05-09 16:00:00,expiry,516,523,1.9647,0.3354,1.6292,4.1200,0.0000,-2.4908
2024-05-09 16:30:00,2024-05-09 16:30:00,direct_entry,2024-05-13 16:00:00,expiry,522,530,2.3920,0.4099,1.9821,0.0000,0.0000,1.9821
2024-05-15 13:15:00,2024-05-15 13:15:00,direct_entry,2024-05-20 16:00:00,expiry,531,540,2.5574,0.4459,2.1115,0.0000,0.0000,2.1115
2024-05-16 07:30:00,2024-05-16 07:30:00,direct_entry,2024-05-20 16:00:00,expiry,532,541,2.5967,0.3996,2.1971,0.0000,0.0000,2.1971
2024-05-23 08:35:00,2024-05-23 08:35:00,direct_entry,2024-05-28 04:00:00,expiry,536,544,2.3468,0.4423,1.9045,0.0000,0.0000,1.9045
2024-06-05 11:45:00,2024-06-05 11:45:00,direct_entry,2024-06-10 16:00:00,expiry,534,544,2.8149,0.4173,2.3976,1.2500,0.0000,1.1476
2024-06-07 08:30:00,2024-06-07 08:30:00,direct_entry,2024-06-10 16:00:00,expiry,535,542,1.9798,0.3657,1.6140,0.2500,0.0000,1.3640
2024-06-27 10:15:00,2024-06-27 10:15:00,direct_entry,2024-07-01 16:00:00,expiry,548,557,2.6019,0.4120,2.1899,0.0000,0.0000,2.1899
2024-07-05 15:55:00,2024-07-05 15:55:00,direct_entry,2024-07-08 16:00:00,expiry,556,564,2.2889,0.3345,1.9543,0.0000,0.0000,1.9543
2024-07-12 13:55:00,2024-07-12 13:55:00,direct_entry,2024-07-15 16:00:00,expiry,565,572,2.1006,0.4105,1.6901,0.0000,0.0000,1.6901
2024-07-22 11:05:00,2024-07-22 11:05:00,direct_entry,2024-07-25 16:00:00,expiry,555,562,2.0242,0.3895,1.6347,0.0000,0.0000,1.6347
2024-08-06 14:55:00,2024-08-06 14:55:00,direct_entry,2024-08-09 13:25:00,stop_loss,529,536,2.0705,0.3592,1.7113,0.0000,0.0000,-3.3734
2024-08-07 10:10:00,2024-08-07 10:10:00,direct_entry,2024-08-12 16:00:00,expiry,533,542,2.4830,0.4380,2.0451,0.0000,0.0000,2.0451
2024-08-13 11:25:00,2024-08-13 11:25:00,direct_entry,2024-08-15 08:30:00,stop_loss,540,548,2.2943,0.3367,1.9576,0.0000,0.0000,-4.2147
2024-08-14 09:10:00,2024-08-14 09:10:00,direct_entry,2024-08-15 12:20:00,stop_loss,545,555,2.7835,0.4328,2.3507,0.0000,0.0000,-3.9014
2024-08-19 13:10:00,2024-08-19 13:10:00,direct_entry,2024-08-22 16:00:00,expiry,559,566,2.0766,0.4003,1.6763,0.0000,0.0000,1.6763
2024-08-29 10:55:00,2024-08-29 10:55:00,direct_entry,2024-09-03 04:00:00,expiry,564,573,2.6279,0.4365,2.1914,0.2200,0.0000,1.9714
2024-09-12 08:30:00,2024-09-12 08:30:00,direct_entry,2024-09-16 09:50:00,stop_loss,557,566,2.7263,0.4613,2.2650,0.0000,0.0000,-3.4468
2024-09-13 12:05:00,2024-09-13 12:05:00,direct_entry,2024-09-16 16:00:00,expiry,564,572,2.2440,0.3484,1.8956,0.0000,0.0000,1.8956
2024-09-18 14:35:00,2024-09-18 14:35:00,direct_entry,2024-09-23 16:00:00,expiry,568,578,2.7744,0.4449,2.3295,1.6100,0.0000,0.7195
2024-09-23 16:00:00,2024-09-23 16:00:00,direct_entry,2024-09-26 16:00:00,expiry,571,579,2.3248,0.3588,1.9660,1.3100,0.0000,0.6560
2024-10-04 16:00:00,2024-10-04 16:00:00,direct_entry,2024-10-07 16:00:00,expiry,575,582,1.9894,0.3808,1.6086,0.0000,0.0000,1.6086
2024-10-14 12:30:00,2024-10-14 12:30:00,direct_entry,2024-10-17 16:00:00,expiry,586,594,2.1085,0.3367,1.7719,0.0000,0.0000,1.7719
2024-11-06 04:40:00,2024-11-06 04:40:00,direct_entry,2024-11-08 14:35:00,stop_loss,592,602,2.9025,0.5423,2.3602,0.0000,0.0000,-3.8928
2024-11-22 10:00:00,2024-11-22 10:00:00,direct_entry,2024-11-25 16:00:00,expiry,597,605,2.3181,0.4112,1.9069,0.4900,0.0000,1.4169
2024-11-26 15:55:00,2024-11-26 15:55:00,direct_entry,2024-11-29 16:00:00,expiry,603,611,2.1272,0.3442,1.7831,0.0000,0.0000,1.7831
2024-11-29 16:50:00,2024-11-29 16:50:00,direct_entry,2024-12-02 16:00:00,expiry,605,613,2.2221,0.3656,1.8564,0.0000,0.0000,1.8564
2024-12-02 12:15:00,2024-12-02 12:15:00,direct_entry,2024-12-05 16:00:00,expiry,606,614,2.2446,0.3920,1.8527,0.2600,0.0000,1.5927
2024-12-04 15:50:00,2024-12-04 15:50:00,direct_entry,2024-12-09 16:00:00,expiry,610,620,3.0322,0.5653,2.4668,0.0000,0.0000,2.4668
2024-12-16 13:30:00,2024-12-16 13:30:00,direct_entry,2024-12-19 16:00:00,expiry,609,618,2.5315,0.3599,2.1716,0.0000,0.0000,2.1716
2025-01-03 14:40:00,2025-01-03 14:40:00,direct_entry,2025-01-06 10:50:00,stop_loss,594,602,2.3720,0.4016,1.9704,0.0000,0.0000,-3.0289
2025-01-06 07:05:00,2025-01-06 07:05:00,direct_entry,2025-01-10 04:00:00,expiry,598,606,2.3958,0.4457,1.9501,0.0000,0.0000,1.9501
2025-01-17 11:30:00,2025-01-17 11:30:00,direct_entry,2025-01-21 04:00:00,expiry,600,608,2.4281,0.4374,1.9907,0.0000,0.0000,1.9907
2025-01-22 08:35:00,2025-01-22 08:35:00,direct_entry,2025-01-27 16:00:00,expiry,609,619,2.9019,0.5529,2.3490,0.0000,0.0000,2.3490
2025-01-23 13:25:00,2025-01-23 13:25:00,direct_entry,2025-01-27 16:00:00,expiry,610,620,2.8047,0.4263,2.3784,0.0000,0.0000,2.3784
2025-02-13 11:15:00,2025-02-13 11:15:00,direct_entry,2025-02-18 04:00:00,expiry,610,619,2.5768,0.4788,2.0980,1.7100,0.0000,0.3880
2025-03-24 10:30:00,2025-03-24 10:30:00,direct_entry,2025-03-27 16:00:00,expiry,575,583,2.2003,0.3557,1.8447,0.0000,0.0000,1.8447
2025-04-08 10:20:00,2025-04-08 10:20:00,direct_entry,2025-04-09 13:30:00,stop_loss,525,532,1.9658,0.3449,1.6209,0.0000,0.0000,-3.4059
2025-04-09 14:10:00,2025-04-09 14:10:00,direct_entry,2025-04-09 15:50:00,stop_loss,537,546,2.5265,0.4431,2.0834,0.0000,0.0000,-3.4883
2025-04-14 09:30:00,2025-04-14 09:30:00,direct_entry,2025-04-17 16:00:00,expiry,544,552,2.3173,0.3542,1.9631,0.0000,0.0000,1.9631
2025-04-23 04:50:00,2025-04-23 04:50:00,direct_entry,2025-04-24 17:05:00,stop_loss,541,550,2.5908,0.4930,2.0978,0.0000,0.0000,-3.6099
2025-04-24 14:55:00,2025-04-24 14:55:00,direct_entry,2025-04-28 09:40:00,stop_loss,548,556,2.4454,0.4630,1.9823,0.0000,0.0000,-3.0675
2025-05-01 05:05:00,2025-05-01 05:05:00,direct_entry,2025-05-05 16:00:00,expiry,563,572,2.6415,0.4594,2.1821,0.0000,0.0000,2.1821
2025-05-02 14:45:00,2025-05-02 14:45:00,direct_entry,2025-05-05 16:00:00,expiry,569,576,1.9963,0.3818,1.6146,0.0000,0.0000,1.6146
2025-05-12 04:50:00,2025-05-12 04:50:00,direct_entry,2025-05-13 11:30:00,stop_loss,582,590,2.2843,0.4068,1.8775,0.0000,0.0000,-3.0762
2025-05-16 07:30:00,2025-05-16 07:30:00,direct_entry,2025-05-19 16:00:00,expiry,594,602,2.2920,0.4113,1.8806,0.3400,0.0000,1.5406
2025-06-03 11:45:00,2025-06-03 11:45:00,direct_entry,2025-06-06 16:00:00,expiry,597,605,2.3943,0.4238,1.9704,1.9400,0.0000,0.0304
2025-06-24 15:25:00,2025-06-24 15:25:00,direct_entry,2025-06-27 07:35:00,stop_loss,609,617,2.4849,0.4447,2.0402,0.0000,0.0000,-3.1001
2025-06-26 13:45:00,2025-06-26 13:45:00,direct_entry,2025-06-30 16:00:00,expiry,614,623,2.5417,0.4647,2.0770,3.7800,0.0000,-1.7030
2025-07-17 12:10:00,2025-07-17 12:10:00,direct_entry,2025-07-21 16:00:00,expiry,630,639,2.6266,0.5133,2.1133,0.0000,0.0000,2.1133
2025-07-24 14:20:00,2025-07-24 14:20:00,direct_entry,2025-07-28 16:00:00,expiry,638,648,2.8274,0.4622,2.3652,0.0000,0.0000,2.3652
2025-07-25 13:00:00,2025-07-25 13:00:00,direct_entry,2025-07-28 16:00:00,expiry,639,648,2.4231,0.3686,2.0546,0.0000,0.0000,2.0546
2025-08-05 06:30:00,2025-08-05 06:30:00,direct_entry,2025-08-08 16:00:00,expiry,635,643,2.3754,0.4837,1.8917,2.6000,0.0000,-0.7083
2025-08-06 14:35:00,2025-08-06 14:35:00,direct_entry,2025-08-11 16:00:00,expiry,635,646,3.3195,0.5711,2.7484,0.6800,0.0000,2.0684
2025-08-15 07:30:00,2025-08-15 07:30:00,direct_entry,2025-08-18 16:00:00,expiry,649,658,2.3809,0.3919,1.9891,0.0000,0.0000,1.9891
2025-08-22 13:45:00,2025-08-22 13:45:00,direct_entry,2025-08-25 16:00:00,expiry,648,657,2.5231,0.3982,2.1249,0.0000,0.0000,2.1249
2025-08-28 14:45:00,2025-08-28 14:45:00,direct_entry,2025-09-02 04:00:00,expiry,651,661,2.9298,0.5024,2.4274,0.0000,0.0000,2.4274
2025-09-04 13:30:00,2025-09-04 13:30:00,direct_entry,2025-09-08 16:00:00,expiry,649,659,2.8846,0.4935,2.3911,0.0000,0.0000,2.3911
2025-09-10 07:20:00,2025-09-10 07:20:00,direct_entry,2025-09-15 16:00:00,expiry,655,667,3.4150,0.5454,2.8695,5.5300,0.0000,-2.6605
2025-09-11 15:40:00,2025-09-11 15:40:00,direct_entry,2025-09-15 16:00:00,expiry,660,670,2.9940,0.5266,2.4674,0.5300,0.0000,1.9374
2025-09-15 11:00:00,2025-09-15 11:00:00,direct_entry,2025-09-18 16:00:00,expiry,663,672,2.6190,0.4513,2.1677,0.0000,0.0000,2.1677
2025-09-22 15:30:00,2025-09-22 15:30:00,direct_entry,2025-09-25 16:00:00,expiry,669,678,2.5938,0.4294,2.1644,0.0000,0.0000,2.1644
2025-09-29 04:50:00,2025-09-29 04:50:00,direct_entry,2025-10-02 16:00:00,expiry,667,677,2.8802,0.4465,2.4338,2.2400,0.0000,0.1938
2025-10-01 11:55:00,2025-10-01 11:55:00,direct_entry,2025-10-06 16:00:00,expiry,670,681,3.2448,0.6106,2.6342,1.7000,0.0000,0.9342
2025-10-15 05:15:00,2025-10-15 05:15:00,direct_entry,2025-10-20 16:00:00,expiry,669,681,3.4818,0.5897,2.8921,2.3400,0.0000,0.5521
2025-10-20 13:25:00,2025-10-20 13:25:00,direct_entry,2025-10-23 16:00:00,expiry,674,683,2.4919,0.4189,2.0729,0.0000,0.0000,2.0729
2025-10-21 12:50:00,2025-10-21 12:50:00,direct_entry,2025-10-24 16:00:00,expiry,674,683,2.5505,0.4366,2.1138,3.1800,0.0000,-1.0662
2025-10-27 16:05:00,2025-10-27 16:05:00,direct_entry,2025-10-30 16:00:00,expiry,687,696,2.7097,0.4758,2.2339,0.0000,0.0000,2.2339
2025-11-20 08:15:00,2025-11-20 08:15:00,direct_entry,2025-11-24 16:00:00,expiry,673,684,3.1414,0.5066,2.6348,0.0000,0.0000,2.6348
2025-11-24 13:05:00,2025-11-24 13:05:00,direct_entry,2025-11-26 05:50:00,stop_loss,671,680,2.7478,0.4838,2.2641,0.0000,0.0000,-3.3688
2025-11-25 12:45:00,2025-11-25 12:45:00,direct_entry,2025-11-28 07:10:00,stop_loss,676,685,2.5875,0.4487,2.1388,0.0000,0.0000,-3.5691
2025-11-26 11:55:00,2025-11-26 11:55:00,direct_entry,2025-12-01 16:00:00,expiry,684,696,3.4974,0.5894,2.9080,0.0000,0.0000,2.9080
2025-12-03 13:05:00,2025-12-03 13:05:00,direct_entry,2025-12-08 16:00:00,expiry,687,698,3.2587,0.6334,2.6253,0.0000,0.0000,2.6253
2025-12-11 14:50:00,2025-12-11 14:50:00,direct_entry,2025-12-15 16:00:00,expiry,691,702,3.2050,0.5164,2.6886,0.0000,0.0000,2.6886
2025-12-22 09:25:00,2025-12-22 09:25:00,direct_entry,2025-12-26 04:00:00,expiry,686,696,2.7781,0.4218,2.3563,4.2100,0.0000,-1.8537
2025-12-23 13:45:00,2025-12-23 13:45:00,direct_entry,2025-12-26 16:00:00,expiry,690,699,2.5659,0.4530,2.1129,0.1500,0.0000,1.9629
2026-01-06 13:00:00,2026-01-06 13:00:00,direct_entry,2026-01-09 16:00:00,expiry,693,702,2.6654,0.4865,2.1789,0.9700,0.0000,1.2089
2026-01-09 14:30:00,2026-01-09 14:30:00,direct_entry,2026-01-12 16:00:00,expiry,697,706,2.6406,0.4765,2.1642,0.0000,0.0000,2.1642
2026-01-12 15:00:00,2026-01-12 15:00:00,direct_entry,2026-01-15 16:00:00,expiry,698,707,2.6623,0.4808,2.1815,0.0000,0.0000,2.1815
2026-01-22 09:20:00,2026-01-22 09:20:00,direct_entry,2026-01-26 16:00:00,expiry,692,703,3.2057,0.5423,2.6634,0.6200,0.0000,2.0434
2026-02-06 11:40:00,2026-02-06 11:40:00,direct_entry,2026-02-09 14:20:00,stop_loss,690,699,2.6533,0.4867,2.1666,0.0000,0.0000,-3.5057
2026-02-25 07:25:00,2026-02-25 07:25:00,direct_entry,2026-03-02 16:00:00,expiry,693,705,3.3338,0.5768,2.7569,0.0000,0.0000,2.7569
2026-03-31 10:30:00,2026-03-31 10:30:00,direct_entry,2026-03-31 19:30:00,stop_loss,644,653,2.6744,0.4467,2.2277,0.0000,0.0000,-3.4282
2026-04-01 11:20:00,2026-04-01 11:20:00,direct_entry,2026-04-06 16:00:00,expiry,659,671,3.4762,0.5511,2.9251,0.0000,0.0000,2.9251
2026-04-06 12:50:00,2026-04-06 12:50:00,direct_entry,2026-04-07 18:30:00,stop_loss,660,669,2.5982,0.4339,2.1643,0.0000,0.0000,-3.4824
