entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-04-16 06:00:00,2024-04-16 06:00:00,direct_entry,2024-04-24 16:00:00,expiry,499,478,5.8806,0.9744,4.9062,0.0000,0.0000,4.9062
2024-05-31 07:00:00,2024-05-31 07:00:00,direct_entry,2024-06-12 16:00:00,expiry,516,489,7.4296,1.1497,6.2799,0.0000,0.0000,6.2799
2024-09-06 08:00:00,2024-09-06 08:00:00,direct_entry,2024-09-18 16:00:00,expiry,543,515,7.8677,1.2596,6.6081,0.0000,0.0000,6.6081
2024-10-03 11:00:00,2024-10-03 11:00:00,direct_entry,2024-10-16 16:00:00,expiry,561,531,8.3093,1.3115,6.9978,0.0000,0.0000,6.9978
2025-02-25 12:00:00,2025-02-25 12:00:00,direct_entry,2025-03-05 16:00:00,expiry,589,564,7.0425,1.1249,5.9177,6.4800,0.0000,-0.5623
2025-03-13 14:00:00,2025-03-13 14:00:00,direct_entry,2025-03-26 16:00:00,expiry,547,518,8.1721,1.3108,6.8612,0.0000,0.0000,6.8612
2025-04-09 04:00:00,2025-04-09 04:00:00,direct_entry,2025-04-16 16:00:00,expiry,493,473,5.5012,0.8746,4.6266,0.0000,0.0000,4.6266
2025-11-21 07:00:00,2025-11-21 07:00:00,direct_entry,2025-12-03 16:00:00,expiry,647,614,9.2339,1.5078,7.7261,0.0000,0.0000,7.7261
2025-12-11 10:00:00,2025-12-11 10:00:00,direct_entry,2025-12-24 16:00:00,expiry,677,640,10.1395,1.5345,8.6050,0.0000,0.0000,8.6050
2026-01-02 14:00:00,2026-01-02 14:00:00,direct_entry,2026-01-14 16:00:00,expiry,674,640,9.3413,1.5105,7.8307,0.0000,0.0000,7.8307
2026-02-17 08:00:00,2026-02-17 08:00:00,direct_entry,2026-02-25 16:00:00,expiry,672,643,7.8604,1.2158,6.6446,0.0000,0.0000,6.6446
2026-03-03 11:00:00,2026-03-03 11:00:00,direct_entry,2026-03-11 16:00:00,expiry,670,642,7.6627,1.2443,6.4184,0.0000,0.0000,6.4184
2026-03-20 16:00:00,2026-03-20 16:00:00,direct_entry,2026-03-27 19:00:00,force_close,643,610,9.1517,1.4341,7.7176,10.0200,0.0000,-2.3024
