entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-12 18:35:00,2024-01-12 18:35:00,direct_entry,2024-01-19 16:00:00,expiry,473,464,2.2721,0.3725,1.8996,0.0000,0.0000,1.8996
2024-02-20 05:25:00,2024-02-20 05:25:00,direct_entry,2024-02-27 16:00:00,expiry,495,485,2.6257,0.4223,2.2034,0.0000,0.0000,2.2034
2024-02-20 12:40:00,2024-02-20 12:40:00,direct_entry,2024-02-27 16:00:00,expiry,493,483,2.6621,0.4132,2.2489,0.0000,0.0000,2.2489
2024-02-23 17:35:00,2024-02-23 17:35:00,direct_entry,2024-03-01 16:00:00,expiry,505,495,2.6903,0.4271,2.2632,0.0000,0.0000,2.2632
2024-02-26 16:45:00,2024-02-26 16:45:00,direct_entry,2024-03-04 16:00:00,expiry,503,493,2.5182,0.3856,2.1326,0.0000,0.0000,2.1326
2024-03-05 14:05:00,2024-03-05 14:05:00,direct_entry,2024-03-12 16:00:00,expiry,505,495,2.8206,0.4668,2.3538,0.0000,0.0000,2.3538
2024-03-05 15:30:00,2024-03-05 15:30:00,direct_entry,2024-03-12 16:00:00,expiry,503,493,2.5756,0.4015,2.1741,0.0000,0.0000,2.1741
2024-03-08 13:05:00,2024-03-08 13:05:00,direct_entry,2024-03-15 16:00:00,expiry,510,500,2.5096,0.4005,2.1091,0.0000,0.0000,2.1091
2024-03-11 10:15:00,2024-03-11 10:15:00,direct_entry,2024-03-18 16:00:00,expiry,507,497,2.7335,0.4566,2.2769,0.0000,0.0000,2.2769
2024-03-14 15:35:00,2024-03-14 15:35:00,direct_entry,2024-03-21 16:00:00,expiry,510,500,2.5869,0.4138,2.1731,0.0000,0.0000,2.1731
2024-03-15 12:30:00,2024-03-15 12:30:00,direct_entry,2024-03-22 16:00:00,expiry,507,497,2.8315,0.4763,2.3552,0.0000,0.0000,2.3552
