
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
                           参数优化报告: UTurnBottomShortCall_SPY_M5_SHORT                            
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
排名    参数组合                             夏普       胜率         盈亏比      最大回撤       收益风险比        总收益率       最大持仓
----------------------------------------------------------------------------------------------------
1       {'option_days': 3, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 12, 'max_positions': 5, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 0.5} 1.60      74.07%       0.60       -1.61%       3.69          5.92%        3
2       {'option_days': 3, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 12, 'max_positions': 10, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 0.5} 1.60      74.07%       0.60       -1.61%       3.69          5.92%        3
3       {'option_days': 2, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 12, 'max_positions': 5, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 0.5} 1.60      69.44%       0.75       -1.44%       3.61          5.18%        2
4       {'option_days': 2, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 12, 'max_positions': 10, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 0.5} 1.60      69.44%       0.75       -1.44%       3.61          5.18%        2
5       {'option_days': 5, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 1, 'max_positions': 10, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 0.5} 1.52      73.29%       0.59       -2.47%       3.44          8.49%        7
6       {'option_days': 4, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 1, 'max_positions': 10, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 0.5} 1.58      71.92%       0.64       -2.42%       3.33          8.05%        7
7       {'option_days': 4, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 12, 'max_positions': 5, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 0.5} 1.67      73.15%       0.65       -1.99%       3.26          6.47%        3
8       {'option_days': 4, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 12, 'max_positions': 10, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 0.5} 1.67      73.15%       0.65       -1.99%       3.26          6.47%        3
9       {'option_days': 2, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.2, 'cooldown_hours': 12, 'max_positions': 5, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 0.5} 1.14      62.04%       0.87       -0.77%       3.23          2.50%        2
10      {'option_days': 2, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.2, 'cooldown_hours': 12, 'max_positions': 10, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 0.5} 1.14      62.04%       0.87       -0.77%       3.23          2.50%        2
11      {'option_days': 5, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 12, 'max_positions': 5, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 0.5} 1.49      75.00%       0.56       -2.05%       3.20          6.55%        3
