entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-24 09:00:00,2024-01-24 09:00:00,direct_entry,2024-02-16 16:00:00,expiry,496,533,10.3560,1.8662,8.4898,2.9500,0.0000,5.5398
2024-01-24 13:00:00,2024-01-24 13:00:00,direct_entry,2024-02-16 16:00:00,expiry,496,533,10.3981,1.8666,8.5315,2.9500,0.0000,5.5815
2024-02-02 08:00:00,2024-02-02 08:00:00,direct_entry,2024-02-23 16:00:00,expiry,498,534,9.8818,1.7215,8.1602,9.3700,0.0000,-1.2098
2024-02-09 11:00:00,2024-02-09 11:00:00,direct_entry,2024-03-01 16:00:00,expiry,508,545,10.2281,1.7586,8.4694,4.2200,0.0000,4.2494
2024-02-12 13:00:00,2024-02-12 13:00:00,direct_entry,2024-03-08 16:00:00,expiry,512,552,10.9612,1.9388,9.0223,0.1700,0.0000,8.8523
2024-03-20 08:00:00,2024-03-20 08:00:00,direct_entry,2024-04-12 16:00:00,expiry,525,564,10.8990,1.9779,8.9211,0.0000,0.0000,8.9211
2024-03-21 11:00:00,2024-03-21 11:00:00,direct_entry,2024-04-12 16:00:00,expiry,533,572,10.9002,1.9442,8.9561,0.0000,0.0000,8.9561
2024-04-01 08:00:00,2024-04-01 08:00:00,direct_entry,2024-04-26 16:00:00,expiry,534,576,11.7068,2.0810,9.6258,0.0000,0.0000,9.6258
2024-05-10 08:00:00,2024-05-10 08:00:00,direct_entry,2024-05-31 16:00:00,expiry,530,569,10.7682,1.8299,8.9383,0.0000,0.0000,8.9383
2024-06-17 04:00:00,2024-06-17 04:00:00,direct_entry,2024-07-12 16:00:00,expiry,553,596,12.0210,2.1891,9.8320,6.7300,0.0000,3.1020
2024-06-20 07:00:00,2024-06-20 07:00:00,direct_entry,2024-07-12 16:00:00,expiry,560,601,11.5032,2.0663,9.4368,0.0000,0.0000,9.4368
2024-07-05 16:00:00,2024-07-05 16:00:00,direct_entry,2024-07-26 16:00:00,expiry,564,604,11.0392,1.9603,9.0789,0.0000,0.0000,9.0789
2024-07-31 15:00:00,2024-07-31 15:00:00,direct_entry,2024-08-23 16:00:00,expiry,560,602,11.8053,2.0958,9.7095,2.0600,0.0000,7.6495
2024-08-22 10:00:00,2024-08-22 10:00:00,direct_entry,2024-09-13 16:00:00,expiry,570,612,11.8534,2.1050,9.7484,0.0000,0.0000,9.7484
2024-08-26 09:00:00,2024-08-26 09:00:00,direct_entry,2024-09-20 16:00:00,expiry,574,619,12.3977,2.1990,10.1987,0.0000,0.0000,10.1987
2024-09-17 09:00:00,2024-09-17 09:00:00,direct_entry,2024-10-11 16:00:00,expiry,575,619,12.2859,2.2019,10.0840,3.9900,0.0000,6.0940
2024-11-21 09:00:00,2024-11-21 09:00:00,direct_entry,2024-12-13 16:00:00,expiry,600,644,12.3851,2.2161,10.1690,3.7500,0.0000,6.4190
2024-12-02 15:00:00,2024-12-02 15:00:00,direct_entry,2024-12-27 16:00:00,expiry,615,663,13.3848,2.3850,10.9998,0.0000,0.0000,10.9998
2024-12-04 13:00:00,2024-12-04 13:00:00,direct_entry,2024-12-27 16:00:00,expiry,617,663,12.8449,2.3005,10.5443,0.0000,0.0000,10.5443
2025-01-16 06:00:00,2025-01-16 06:00:00,direct_entry,2025-02-07 16:00:00,expiry,605,650,12.5305,2.1921,10.3384,0.0000,0.0000,10.3384
2025-01-21 14:00:00,2025-01-21 14:00:00,direct_entry,2025-02-14 16:00:00,expiry,613,660,13.1753,2.3422,10.8332,0.0000,0.0000,10.8332
2025-01-22 06:00:00,2025-01-22 06:00:00,direct_entry,2025-02-14 16:00:00,expiry,616,663,13.0537,2.2737,10.7800,0.0000,0.0000,10.7800
2025-01-22 10:00:00,2025-01-22 10:00:00,direct_entry,2025-02-14 16:00:00,expiry,618,664,12.7391,2.2880,10.4510,0.0000,0.0000,10.4510
2025-01-22 12:00:00,2025-01-22 12:00:00,direct_entry,2025-02-14 16:00:00,expiry,618,665,13.0309,2.2589,10.7721,0.0000,0.0000,10.7721
2025-05-01 11:00:00,2025-05-01 11:00:00,direct_entry,2025-05-23 16:00:00,expiry,570,612,11.7735,2.0806,9.6929,9.0000,0.0000,0.6929
2025-05-02 15:00:00,2025-05-02 15:00:00,direct_entry,2025-05-23 16:00:00,expiry,576,618,11.6056,1.9784,9.6272,3.0000,0.0000,6.6272
2025-05-13 15:00:00,2025-05-13 15:00:00,direct_entry,2025-06-06 16:00:00,expiry,598,643,12.5746,2.2929,10.2817,1.3400,0.0000,8.9417
2025-05-16 08:00:00,2025-05-16 08:00:00,direct_entry,2025-06-06 16:00:00,expiry,601,645,12.2495,2.1071,10.1424,0.0000,0.0000,10.1424
2025-05-16 16:00:00,2025-05-16 16:00:00,direct_entry,2025-06-06 16:00:00,expiry,602,645,11.8370,2.0764,9.7606,0.0000,0.0000,9.7606
2025-06-11 11:00:00,2025-06-11 11:00:00,direct_entry,2025-07-07 04:00:00,expiry,614,661,13.0493,2.2442,10.8051,8.6300,0.0000,2.1751
2025-06-27 08:00:00,2025-06-27 08:00:00,direct_entry,2025-07-18 16:00:00,expiry,624,669,12.5219,2.2045,10.3173,3.5900,0.0000,6.7273
2025-07-09 10:00:00,2025-07-09 10:00:00,direct_entry,2025-08-01 16:00:00,expiry,633,680,13.1195,2.3744,10.7451,0.0000,0.0000,10.7451
2025-07-15 09:00:00,2025-07-15 09:00:00,direct_entry,2025-08-08 16:00:00,expiry,637,686,13.7365,2.4471,11.2893,1.2200,0.0000,10.0693
2025-07-21 14:00:00,2025-07-21 14:00:00,direct_entry,2025-08-15 16:00:00,expiry,642,693,14.0692,2.4300,11.6393,1.0900,0.0000,10.5493
2025-07-23 09:00:00,2025-07-23 09:00:00,direct_entry,2025-08-15 16:00:00,expiry,641,690,13.6043,2.3517,11.2526,2.0900,0.0000,9.1626
2025-08-13 10:00:00,2025-08-13 10:00:00,direct_entry,2025-09-05 16:00:00,expiry,655,705,13.9145,2.4098,11.5047,0.0000,0.0000,11.5047
2025-09-05 09:00:00,2025-09-05 09:00:00,direct_entry,2025-09-26 16:00:00,expiry,662,710,13.3832,2.3350,11.0482,0.0000,0.0000,11.0482
2025-09-09 08:00:00,2025-09-09 08:00:00,direct_entry,2025-10-03 16:00:00,expiry,661,712,14.3562,2.5546,11.8016,8.0200,0.0000,3.7816
