entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-08 15:05:00,2024-01-08 15:05:00,direct_entry,2024-01-24 16:00:00,expiry,481,511,8.2255,1.4217,6.8038,3.9000,0.0000,2.9038
2024-01-19 14:15:00,2024-01-19 14:15:00,direct_entry,2024-02-07 16:00:00,expiry,490,523,9.1874,1.6391,7.5484,7.8500,0.0000,-0.3016
2024-01-24 13:00:00,2024-01-24 13:00:00,direct_entry,2024-02-07 16:00:00,expiry,495,524,8.0222,1.3822,6.6399,2.8500,0.0000,3.7899
2024-02-02 11:55:00,2024-02-02 11:55:00,direct_entry,2024-02-21 16:00:00,expiry,502,536,9.3732,1.6566,7.7165,0.0000,0.0000,7.7165
2024-02-02 14:25:00,2024-02-02 14:25:00,direct_entry,2024-02-21 16:00:00,expiry,503,537,9.5237,1.6941,7.8296,0.0000,0.0000,7.8296
2024-02-07 09:30:00,2024-02-07 09:30:00,direct_entry,2024-02-21 16:00:00,expiry,503,533,8.2188,1.3816,6.8371,0.0000,0.0000,6.8371
2024-02-15 13:40:00,2024-02-15 13:40:00,direct_entry,2024-03-06 16:00:00,expiry,509,545,10.0844,1.7470,8.3374,0.8000,0.0000,7.5374
2024-02-22 09:00:00,2024-02-22 09:00:00,direct_entry,2024-03-13 16:00:00,expiry,513,549,9.8523,1.7215,8.1309,3.0200,0.0000,5.1109
2024-02-22 11:45:00,2024-02-22 11:45:00,direct_entry,2024-03-13 16:00:00,expiry,514,550,9.8985,1.7306,8.1679,2.0200,0.0000,6.1479
2024-02-22 14:30:00,2024-02-22 14:30:00,direct_entry,2024-03-13 16:00:00,expiry,516,552,10.1289,1.7936,8.3353,0.0200,0.0000,8.3153
2024-02-29 14:05:00,2024-02-29 14:05:00,direct_entry,2024-03-20 16:00:00,expiry,516,552,10.1565,1.8022,8.3543,4.7100,0.0000,3.6443
2024-02-29 15:55:00,2024-02-29 15:55:00,direct_entry,2024-03-20 16:00:00,expiry,517,553,9.8837,1.7300,8.1538,3.7100,0.0000,4.4438
2024-03-01 12:55:00,2024-03-01 12:55:00,direct_entry,2024-03-20 16:00:00,expiry,520,556,9.9244,1.6919,8.2324,0.7100,0.0000,7.5224
2024-03-01 14:15:00,2024-03-01 14:15:00,direct_entry,2024-03-20 16:00:00,expiry,521,557,9.9430,1.6977,8.2453,0.0000,0.0000,8.2453
2024-03-06 11:55:00,2024-03-06 11:55:00,direct_entry,2024-03-20 16:00:00,expiry,518,549,8.5740,1.4319,7.1421,2.7100,0.0000,4.4321
2024-03-07 14:05:00,2024-03-07 14:05:00,direct_entry,2024-03-27 16:00:00,expiry,524,561,10.2355,1.7653,8.4702,0.0000,0.0000,8.4702
2024-03-08 10:15:00,2024-03-08 10:15:00,direct_entry,2024-03-27 16:00:00,expiry,526,562,10.0512,1.7643,8.2870,0.0000,0.0000,8.2870
2024-03-12 15:15:00,2024-03-12 15:15:00,direct_entry,2024-03-27 16:00:00,expiry,524,556,8.8185,1.4962,7.3224,0.0000,0.0000,7.3224
2024-03-20 07:50:00,2024-03-20 07:50:00,direct_entry,2024-04-03 16:00:00,expiry,523,554,8.7342,1.5102,7.2240,0.0000,0.0000,7.2240
2024-03-21 12:05:00,2024-03-21 12:05:00,direct_entry,2024-04-10 16:00:00,expiry,532,570,10.5547,1.7976,8.7571,0.0000,0.0000,8.7571
2024-03-28 10:05:00,2024-03-28 10:05:00,direct_entry,2024-04-17 16:00:00,expiry,532,569,10.4001,1.8635,8.5366,0.0000,0.0000,8.5366
2024-03-28 11:30:00,2024-03-28 11:30:00,direct_entry,2024-04-17 16:00:00,expiry,532,570,10.4946,1.7840,8.7106,0.0000,0.0000,8.7106
2024-04-23 14:05:00,2024-04-23 14:05:00,direct_entry,2024-05-08 16:00:00,expiry,513,544,8.6636,1.5092,7.1544,4.0900,0.0000,3.0644
2024-04-24 08:00:00,2024-04-24 08:00:00,direct_entry,2024-05-08 16:00:00,expiry,514,544,8.3109,1.4591,6.8517,3.0900,0.0000,3.7617
2024-04-25 16:50:00,2024-04-25 16:50:00,direct_entry,2024-05-15 16:00:00,expiry,517,553,9.8662,1.7227,8.1436,12.0200,0.0000,-3.8764
2024-05-06 10:15:00,2024-05-06 10:15:00,direct_entry,2024-05-22 16:00:00,expiry,522,555,9.0485,1.5471,7.5014,8.3200,0.0000,-0.8186
2024-05-06 14:35:00,2024-05-06 14:35:00,direct_entry,2024-05-22 16:00:00,expiry,523,556,9.0651,1.5415,7.5236,7.3200,0.0000,0.2036
2024-05-09 16:30:00,2024-05-09 16:30:00,direct_entry,2024-05-29 16:00:00,expiry,529,566,10.2806,1.7959,8.4847,0.0000,0.0000,8.4847
2024-05-15 13:15:00,2024-05-15 13:15:00,direct_entry,2024-05-29 16:00:00,expiry,536,567,8.6934,1.5379,7.1555,0.0000,0.0000,7.1555
2024-05-15 16:00:00,2024-05-15 16:00:00,direct_entry,2024-05-29 16:00:00,expiry,536,568,8.8142,1.4594,7.3547,0.0000,0.0000,7.3547
2024-05-16 07:30:00,2024-05-16 07:30:00,direct_entry,2024-06-05 16:00:00,expiry,539,577,10.6766,1.8813,8.7953,0.0000,0.0000,8.7953
2024-05-23 08:35:00,2024-05-23 08:35:00,direct_entry,2024-06-12 16:00:00,expiry,543,581,10.5065,1.8543,8.6522,0.0000,0.0000,8.6522
2024-06-05 11:45:00,2024-06-05 11:45:00,direct_entry,2024-06-20 04:00:00,expiry,540,571,8.6026,1.5370,7.0656,10.3600,0.0000,-3.2944
2024-06-05 13:10:00,2024-06-05 13:10:00,direct_entry,2024-06-20 04:00:00,expiry,540,572,8.9020,1.5100,7.3920,10.3600,0.0000,-2.9680
2024-06-05 14:45:00,2024-06-05 14:45:00,direct_entry,2024-06-20 04:00:00,expiry,541,573,8.8487,1.4949,7.3538,9.3600,0.0000,-2.0062
2024-06-05 16:45:00,2024-06-05 16:45:00,direct_entry,2024-06-20 04:00:00,expiry,542,574,8.7836,1.4752,7.3084,8.3600,0.0000,-1.0516
2024-06-07 08:30:00,2024-06-07 08:30:00,direct_entry,2024-06-26 16:00:00,expiry,542,579,10.1652,1.7827,8.3826,3.1600,0.0000,5.2226
2024-06-07 13:00:00,2024-06-07 13:00:00,direct_entry,2024-06-26 16:00:00,expiry,545,582,10.1811,1.7877,8.3934,0.1600,0.0000,8.2334
2024-06-27 10:15:00,2024-06-27 10:15:00,direct_entry,2024-07-17 16:00:00,expiry,555,594,11.0136,1.9464,9.0672,1.8800,0.0000,7.1872
2024-07-05 15:55:00,2024-07-05 15:55:00,direct_entry,2024-07-24 16:00:00,expiry,564,602,10.5383,1.8696,8.6687,0.0000,0.0000,8.6687
2024-07-12 13:55:00,2024-07-12 13:55:00,direct_entry,2024-07-31 16:00:00,expiry,572,611,10.9256,1.9196,9.0060,0.0000,0.0000,9.0060
2024-07-22 11:05:00,2024-07-22 11:05:00,direct_entry,2024-08-07 16:00:00,expiry,561,596,9.8222,1.7314,8.0908,0.0000,0.0000,8.0908
2024-08-06 14:55:00,2024-08-06 14:55:00,direct_entry,2024-08-21 16:00:00,expiry,535,567,8.9985,1.5945,7.4040,25.7700,0.0000,-18.3660
2024-08-07 10:10:00,2024-08-07 10:10:00,direct_entry,2024-08-21 16:00:00,expiry,538,569,8.6535,1.5476,7.1059,22.7700,0.0000,-15.6641
2024-08-13 11:25:00,2024-08-13 11:25:00,direct_entry,2024-08-28 16:00:00,expiry,547,580,9.0090,1.5647,7.4444,10.8600,0.0000,-3.4156
2024-08-13 12:25:00,2024-08-13 12:25:00,direct_entry,2024-08-28 16:00:00,expiry,548,581,9.0102,1.5659,7.4443,9.8600,0.0000,-2.4157
