entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-19 15:15:00,2024-01-19 15:15:00,direct_entry,2024-02-07 16:00:00,expiry,490,523,9.2581,1.6550,7.6032,7.9600,0.0000,-0.3568
2024-02-09 07:45:00,2024-02-09 07:45:00,direct_entry,2024-02-28 16:00:00,expiry,508,542,9.4954,1.7325,7.7630,0.0000,0.0000,7.7630
2024-02-29 16:30:00,2024-02-29 16:30:00,direct_entry,2024-03-20 16:00:00,expiry,517,553,9.9684,1.7504,8.2180,4.1400,0.0000,4.0780
2024-03-28 11:30:00,2024-03-28 11:30:00,direct_entry,2024-04-17 16:00:00,expiry,532,569,10.4003,1.8591,8.5412,0.0000,0.0000,8.5412
2024-04-24 08:30:00,2024-04-24 08:30:00,direct_entry,2024-05-08 16:00:00,expiry,514,544,8.2480,1.4409,6.8071,2.8800,0.0000,3.9271
2024-05-09 09:30:00,2024-05-09 09:30:00,direct_entry,2024-05-29 16:00:00,expiry,526,563,10.1433,1.7658,8.3776,0.0000,0.0000,8.3776
2024-06-05 09:30:00,2024-06-05 09:30:00,direct_entry,2024-06-20 04:00:00,expiry,538,569,8.6402,1.5465,7.0937,12.3800,0.0000,-5.2863
2024-07-03 13:15:00,2024-07-03 13:15:00,direct_entry,2024-07-17 16:00:00,expiry,559,591,8.9809,1.6147,7.3662,0.0000,0.0000,7.3662
2024-07-22 11:00:00,2024-07-22 11:00:00,direct_entry,2024-08-07 16:00:00,expiry,562,597,9.6446,1.6897,7.9549,0.0000,0.0000,7.9549
2024-08-14 09:30:00,2024-08-14 09:30:00,direct_entry,2024-08-28 16:00:00,expiry,549,581,9.0610,1.6057,7.4553,8.8400,0.0000,-1.3847
2024-09-11 16:45:00,2024-09-11 16:45:00,direct_entry,2024-09-25 16:00:00,expiry,562,595,9.1122,1.5485,7.5637,8.4600,0.0000,-0.8963
2024-11-06 14:30:00,2024-11-06 14:30:00,direct_entry,2024-11-20 16:00:00,expiry,599,633,9.5006,1.7216,7.7790,0.0000,0.0000,7.7790
2024-11-21 14:00:00,2024-11-21 14:00:00,direct_entry,2024-12-11 16:00:00,expiry,604,646,11.7346,2.0831,9.6515,3.1100,0.0000,6.5415
2024-12-24 11:45:00,2024-12-24 11:45:00,direct_entry,2025-01-08 16:00:00,expiry,608,644,10.1057,1.8302,8.2756,0.0000,0.0000,8.2756
2025-01-15 10:30:00,2025-01-15 10:30:00,direct_entry,2025-01-29 16:00:00,expiry,600,635,9.7739,1.7140,8.0599,1.4600,0.0000,6.5999
2025-01-31 11:15:00,2025-01-31 11:15:00,direct_entry,2025-02-19 16:00:00,expiry,619,661,11.7749,2.0951,9.6798,0.0000,0.0000,9.6798
2025-03-17 15:30:00,2025-03-17 15:30:00,direct_entry,2025-04-02 16:00:00,expiry,577,613,10.1433,1.7746,8.3686,0.0000,0.0000,8.3686
2025-04-08 10:30:00,2025-04-08 10:30:00,direct_entry,2025-04-23 16:00:00,expiry,529,561,8.9708,1.5753,7.3954,6.5900,0.0000,0.8054
2025-05-16 16:15:00,2025-05-16 16:15:00,direct_entry,2025-06-04 16:00:00,expiry,604,645,11.3051,1.9758,9.3292,0.0000,0.0000,9.3292
2025-06-09 14:30:00,2025-06-09 14:30:00,direct_entry,2025-06-25 16:00:00,expiry,610,648,10.4008,1.8017,8.5991,0.0000,0.0000,8.5991
2025-06-27 12:30:00,2025-06-27 12:30:00,direct_entry,2025-07-16 16:00:00,expiry,626,669,11.8865,2.0559,9.8305,0.0000,0.0000,9.8305
2025-07-18 05:15:00,2025-07-18 05:15:00,direct_entry,2025-08-06 16:00:00,expiry,639,683,12.3850,2.1817,10.2033,0.0000,0.0000,10.2033
2025-08-13 10:00:00,2025-08-13 10:00:00,direct_entry,2025-08-27 16:00:00,expiry,654,693,10.7347,1.8071,8.9276,0.0000,0.0000,8.9276
2025-08-28 15:45:00,2025-08-28 15:45:00,direct_entry,2025-09-17 16:00:00,expiry,660,706,12.6808,2.2215,10.4593,0.0000,0.0000,10.4593
2025-09-29 05:45:00,2025-09-29 05:45:00,direct_entry,2025-10-15 16:00:00,expiry,675,718,11.8645,2.0300,9.8345,0.0000,0.0000,9.8345
2025-10-20 11:45:00,2025-10-20 11:45:00,direct_entry,2025-11-05 16:00:00,expiry,681,723,11.6740,2.0819,9.5921,0.0000,0.0000,9.5921
2025-11-10 05:45:00,2025-11-10 05:45:00,direct_entry,2025-11-26 16:00:00,expiry,688,731,11.8953,2.0996,9.7957,0.0000,0.0000,9.7957
2025-11-28 12:15:00,2025-11-28 12:15:00,direct_entry,2025-12-17 16:00:00,expiry,693,741,13.3400,2.2847,11.0554,0.0000,0.0000,11.0554
2025-12-22 05:45:00,2025-12-22 05:45:00,direct_entry,2026-01-07 16:00:00,expiry,693,737,12.2470,2.1158,10.1313,0.0000,0.0000,10.1313
2026-01-27 11:45:00,2026-01-27 11:45:00,direct_entry,2026-02-11 16:00:00,expiry,706,749,11.9240,2.0546,9.8694,0.0000,0.0000,9.8694
