entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-20 12:45:00,2024-02-20 12:45:00,direct_entry,2024-03-20 16:00:00,expiry,486,448,10.5574,1.6415,8.9159,0.0000,0.0000,8.9159
2024-03-22 18:45:00,2024-03-22 18:45:00,direct_entry,2024-04-24 16:00:00,expiry,510,468,11.6532,1.8238,9.8295,6.4500,0.0000,3.3795
2024-07-17 12:45:00,2024-07-17 12:45:00,direct_entry,2024-08-14 16:00:00,expiry,547,505,11.5107,1.7837,9.7270,2.3100,0.0000,7.4170
2024-09-04 15:15:00,2024-09-04 15:15:00,direct_entry,2024-10-02 16:00:00,expiry,540,499,11.3765,1.8048,9.5717,0.0000,0.0000,9.5717
2024-10-29 07:30:00,2024-10-29 07:30:00,direct_entry,2024-11-27 16:00:00,expiry,569,524,12.2275,1.8522,10.3752,0.0000,0.0000,10.3752
2024-12-09 15:45:00,2024-12-09 15:45:00,direct_entry,2025-01-08 16:00:00,expiry,592,546,12.7112,2.0429,10.6682,2.7000,0.0000,7.9682
2025-01-10 12:15:00,2025-01-10 12:15:00,direct_entry,2025-02-12 16:00:00,expiry,568,521,13.0578,2.0413,11.0165,0.0000,0.0000,11.0165
2025-02-25 06:00:00,2025-02-25 06:00:00,direct_entry,2025-03-26 16:00:00,expiry,584,538,12.7067,1.9593,10.7473,15.2900,0.0000,-4.5427
2025-04-04 05:30:00,2025-04-04 05:30:00,direct_entry,2025-05-07 16:00:00,expiry,522,479,11.8958,1.8840,10.0118,0.0000,0.0000,10.0118
2025-05-20 10:30:00,2025-05-20 10:30:00,direct_entry,2025-06-18 16:00:00,expiry,582,537,12.4558,1.9778,10.4780,0.0000,0.0000,10.4780
2025-08-01 11:30:00,2025-08-01 11:30:00,direct_entry,2025-09-03 16:00:00,expiry,610,560,13.7666,2.1810,11.5856,0.0000,0.0000,11.5856
2025-10-30 16:00:00,2025-10-30 16:00:00,direct_entry,2025-12-03 16:00:00,expiry,667,611,15.2386,2.3442,12.8944,0.0000,0.0000,12.8944
2026-01-14 10:00:00,2026-01-14 10:00:00,direct_entry,2026-02-11 16:00:00,expiry,677,625,14.2795,2.2211,12.0583,0.0000,0.0000,12.0583
2026-02-17 08:15:00,2026-02-17 08:15:00,direct_entry,2026-03-18 16:00:00,expiry,666,613,14.4733,2.1709,12.3024,5.6900,0.0000,6.6124
2026-03-19 09:30:00,2026-03-19 09:30:00,direct_entry,2026-03-27 19:45:00,force_close,643,589,14.8211,2.3042,12.5169,10.0200,0.0000,2.4969
